issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-10012,Sub-task,2018-08-01 11:55:10,2019-06-20 17:12:58
FLINK-10013,Bug,2018-08-01 16:37:05,2018-08-01 23:31:35
FLINK-10014,Improvement,2018-08-01 17:10:16,
FLINK-10015,Improvement,2018-08-01 17:58:50,
FLINK-10016,Improvement,2018-08-01 20:19:24,2018-08-01 23:31:08
FLINK-10017,Sub-task,2018-08-01 22:21:56,
FLINK-10018,New Feature,2018-08-01 22:41:12,
FLINK-10019,Bug,2018-08-02 02:36:47,
FLINK-10020,Improvement,2018-08-02 05:24:50,2018-08-17 13:26:55
FLINK-10021,Bug,2018-08-02 15:46:22,2018-08-02 16:01:53
FLINK-10022,New Feature,2018-08-02 19:24:04,2018-08-16 18:28:59
FLINK-10023,Task,2018-08-02 19:45:27,2019-06-20 17:13:35
FLINK-10024,Sub-task,2018-08-02 19:52:36,2019-06-20 17:13:27
FLINK-10025,Sub-task,2018-08-02 19:57:41,2019-06-20 17:12:27
FLINK-10026,Sub-task,2018-08-02 20:15:27,
FLINK-10027,Sub-task,2018-08-02 20:16:58,2018-08-03 01:03:40
FLINK-10028,Improvement,2018-08-02 20:21:21,2018-08-02 20:40:47
FLINK-10029,Sub-task,2018-08-02 20:49:21,2018-08-06 16:49:31
FLINK-10030,Bug,2018-08-02 20:56:00,
FLINK-10031,Bug,2018-08-02 21:06:51,
FLINK-10032,Bug,2018-08-02 21:13:14,
FLINK-10033,Bug,2018-08-03 03:00:40,2018-08-03 22:39:59
FLINK-10034,Sub-task,2018-08-03 03:38:31,2018-08-03 03:47:56
FLINK-10035,Bug,2018-08-03 03:51:10,2018-11-22 17:21:40
FLINK-10036,Bug,2018-08-03 10:12:03,
FLINK-10037,Bug,2018-08-03 11:38:36,
FLINK-10038,Improvement,2018-08-03 13:08:52,
FLINK-10039,Bug,2018-08-03 13:49:53,
FLINK-10040,Improvement,2018-08-03 16:13:43,
FLINK-10041,Sub-task,2018-08-03 16:15:28,2018-08-11 02:33:15
FLINK-10042,Sub-task,2018-08-03 16:16:06,2018-08-21 20:34:24
FLINK-10043,Sub-task,2018-08-03 16:24:36,2019-02-24 22:25:19
FLINK-10044,Sub-task,2018-08-03 16:28:33,2019-02-23 22:14:41
FLINK-10045,Sub-task,2018-08-03 17:05:32,
FLINK-10046,Sub-task,2018-08-03 17:09:48,
FLINK-10047,Bug,2018-08-03 18:05:39,
