issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
GEODE-4011,Bug,Fixed,Closed,2017/11/23 5:27,2017/12/5 23:00
GEODE-4012,Improvement,Won't Fix,Closed,2017/11/23 7:15,2019/1/8 11:46
GEODE-4013,Bug,Fixed,Closed,2017/11/23 8:39,2018/2/17 1:39
GEODE-4014,Bug,Fixed,Closed,2017/11/28 2:28,2017/11/29 3:22
GEODE-4015,Bug,Fixed,Closed,2017/11/28 2:35,2018/1/23 1:08
GEODE-4016,Sub-task,Fixed,Closed,2017/11/28 3:54,2018/1/10 1:24
GEODE-4017,Sub-task,Fixed,Closed,2017/11/28 6:18,2017/12/19 9:22
GEODE-4018,Bug,Invalid,Closed,2017/11/28 8:31,2017/11/29 2:28
GEODE-4019,Task,Invalid,Closed,2017/11/29 2:22,2017/11/29 2:23
GEODE-4020,Sub-task,Fixed,Closed,2017/11/29 2:25,2017/12/19 9:22
GEODE-4021,Sub-task,Fixed,Closed,2017/11/29 2:26,2017/12/19 9:22
GEODE-4022,Sub-task,Fixed,Closed,2017/11/29 2:28,2017/12/19 9:21
GEODE-4023,Improvement,Fixed,Closed,2017/11/29 5:29,2018/4/20 12:03
GEODE-4024,Wish,Unresolved,Open,2017/11/29 5:37,
GEODE-4025,Sub-task,Won't Fix,Closed,2017/11/29 5:42,2018/1/23 2:20
GEODE-4026,Task,Fixed,Closed,2017/11/29 11:43,2017/11/29 11:47
GEODE-4027,Improvement,Unresolved,Open,2017/11/29 14:22,
GEODE-4028,Bug,Duplicate,Closed,2017/11/30 4:30,2017/11/30 5:45
GEODE-4029,Bug,Fixed,Closed,2017/11/30 5:09,2017/12/5 22:59
GEODE-4030,Bug,Fixed,Closed,2017/11/30 6:05,2017/12/28 4:47
GEODE-4031,Sub-task,Fixed,Closed,2017/11/30 6:08,2018/1/23 2:08
GEODE-4032,Improvement,Implemented,Closed,2017/11/30 6:45,2019/1/8 11:55
GEODE-4033,Bug,Fixed,Closed,2017/11/30 7:11,2017/12/5 4:01
GEODE-4034,Bug,Fixed,Closed,2017/11/30 23:29,2017/12/13 4:50
GEODE-4035,Bug,Fixed,Closed,2017/12/1 1:08,2017/12/5 23:00
GEODE-4036,Bug,Cannot Reproduce,Closed,2017/12/1 2:26,2019/1/30 6:45
