issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
GEODE-7016,Bug,Unresolved,Open,2019/7/26 4:27,
GEODE-7017,Bug,Cannot Reproduce,Resolved,2019/7/26 4:30,2019/11/2 5:29
GEODE-7018,Improvement,Fixed,Closed,2019/7/26 5:00,2019/9/10 8:13
GEODE-7019,Bug,Fixed,Closed,2019/7/26 15:39,2019/8/13 23:02
GEODE-7020,Improvement,Unresolved,Open,2019/7/27 1:06,
GEODE-7021,Improvement,Unresolved,Open,2019/7/27 1:08,
GEODE-7022,Bug,Fixed,Closed,2019/7/29 23:29,2019/8/10 0:51
GEODE-7023,Bug,Unresolved,Open,2019/7/30 5:46,
GEODE-7024,Improvement,Fixed,Closed,2019/7/30 8:50,2019/8/1 23:40
GEODE-7025,Bug,Unresolved,Open,2019/7/30 19:35,
GEODE-7026,Bug,Fixed,Resolved,2019/7/31 1:04,2019/10/12 4:25
GEODE-7027,Bug,Fixed,Closed,2019/7/31 2:02,2019/7/31 5:27
GEODE-7028,Improvement,Abandoned,Resolved,2019/7/31 2:24,2019/7/31 4:26
GEODE-7029,Bug,Fixed,Closed,2019/7/31 2:44,2019/8/3 0:26
GEODE-7030,Bug,Fixed,Closed,2019/7/31 4:42,2019/8/3 0:26
GEODE-7031,Improvement,Fixed,Resolved,2019/7/31 5:29,2019/8/3 2:38
GEODE-7032,Bug,Unresolved,Open,2019/7/31 5:34,
GEODE-7033,Bug,Fixed,Closed,2019/7/31 6:07,2019/8/2 16:04
GEODE-7034,Bug,Unresolved,Open,2019/7/31 6:42,
GEODE-7035,Bug,Fixed,Resolved,2019/7/31 7:06,2019/9/12 6:01
GEODE-7036,Bug,Fixed,Resolved,2019/7/31 13:33,2019/8/14 2:20
GEODE-7037,Bug,Fixed,Closed,2019/8/1 2:10,2019/8/1 2:34
GEODE-7038,Bug,Fixed,Resolved,2019/8/1 4:44,2019/8/3 2:14
GEODE-7039,Improvement,Fixed,Resolved,2019/8/1 13:52,2019/9/4 15:25
GEODE-7040,Bug,Fixed,Resolved,2019/8/2 2:04,2019/11/28 0:57
GEODE-7041,Improvement,Fixed,Closed,2019/8/2 3:46,2019/8/3 4:59
GEODE-7042,Improvement,Fixed,Resolved,2019/8/2 5:03,2019/8/8 4:03
GEODE-7043,Bug,Unresolved,Open,2019/8/3 1:47,
GEODE-7044,Bug,Invalid,Closed,2019/8/3 5:05,2019/8/3 5:13
GEODE-7045,Bug,Unresolved,Open,2019/8/6 1:28,
GEODE-7046,Bug,Unresolved,Open,2019/8/6 7:05,
GEODE-7047,Improvement,Fixed,Resolved,2019/8/6 9:41,2019/8/6 9:55
GEODE-7048,Bug,Fixed,Resolved,2019/8/6 18:25,2019/8/10 4:38
GEODE-7049,Improvement,Fixed,Closed,2019/8/6 23:09,2019/9/25 15:42
GEODE-7050,Bug,Fixed,Closed,2019/8/7 0:28,2019/8/9 9:19
GEODE-7051,Wish,Fixed,Closed,2019/8/7 0:34,2019/8/8 6:23
GEODE-7052,Bug,Not A Problem,Closed,2019/8/7 0:36,2019/8/7 2:29
GEODE-7053,Bug,Unresolved,Open,2019/8/7 2:08,
GEODE-7054,Improvement,Unresolved,In Progress,2019/8/7 2:10,
GEODE-7055,Bug,Fixed,Closed,2019/8/7 6:42,2019/8/9 1:48
GEODE-7056,Wish,Fixed,Resolved,2019/8/7 23:39,2019/8/30 16:02
GEODE-7057,Improvement,Unresolved,Open,2019/8/8 2:17,
GEODE-7058,Wish,Fixed,Closed,2019/8/8 5:30,2019/8/8 7:40
GEODE-7059,Bug,Unresolved,Open,2019/8/8 6:29,
GEODE-7060,Bug,Fixed,Resolved,2019/8/8 7:02,2019/11/25 22:33
GEODE-7061,Bug,Fixed,Resolved,2019/8/8 18:28,2019/8/28 14:42
GEODE-7062,Bug,Fixed,Resolved,2019/8/8 23:06,2019/8/15 23:43
GEODE-7063,New Feature,Unresolved,Open,2019/8/9 0:01,
GEODE-7064,Improvement,Fixed,Resolved,2019/8/9 2:36,2019/9/10 6:27
GEODE-7065,Test,Duplicate,Resolved,2019/8/9 4:46,2019/11/9 2:28
GEODE-7066,Bug,Fixed,Resolved,2019/8/9 8:09,2019/8/27 1:13
GEODE-7067,Bug,Not A Problem,Closed,2019/8/9 14:49,2019/9/11 0:29
