issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
MAHOUT-2004,New Feature,Unresolved,Open,2017/7/15 5:04,
MAHOUT-2005,Bug,Unresolved,Open,2017/7/15 6:23,
MAHOUT-2006,Bug,Unresolved,Open,2017/7/15 13:48,
MAHOUT-2007,Bug,Fixed,Resolved,2017/7/16 6:27,2017/11/29 6:06
MAHOUT-2008,New Feature,Unresolved,Open,2017/7/16 8:46,
MAHOUT-2009,Bug,Unresolved,Open,2017/8/22 2:53,
MAHOUT-2010,Bug,Unresolved,Open,2017/8/22 2:56,
MAHOUT-2011,Bug,Unresolved,Open,2017/9/1 22:10,
MAHOUT-2012,Bug,Fixed,Resolved,2017/9/6 5:05,2017/9/25 20:38
MAHOUT-2013,Bug,Unresolved,Open,2017/9/18 2:12,
MAHOUT-2014,Improvement,Unresolved,Open,2017/9/22 4:27,
MAHOUT-2015,Sub-task,Unresolved,Open,2017/9/22 4:28,
MAHOUT-2016,Sub-task,Unresolved,Open,2017/9/22 4:28,
MAHOUT-2017,Sub-task,Unresolved,Open,2017/9/22 4:30,
MAHOUT-2018,Bug,Fixed,Resolved,2017/9/24 8:50,2017/10/1 3:38
MAHOUT-2019,Bug,Unresolved,Open,2017/10/3 9:25,
MAHOUT-2020,Bug,Fixed,Resolved,2017/10/4 4:16,2017/11/28 1:42
MAHOUT-2021,Wish,Unresolved,Open,2017/10/4 6:09,
MAHOUT-2022,Wish,Fixed,Resolved,2017/10/4 6:10,2017/11/29 6:05
MAHOUT-2023,Bug,Unresolved,Patch Available,2017/10/6 2:44,
MAHOUT-2024,Bug,Unresolved,Open,2017/10/6 10:13,
MAHOUT-2025,Task,Unresolved,In Progress,2017/10/6 14:49,
MAHOUT-2026,New Feature,Unresolved,Open,2017/10/9 0:08,
MAHOUT-2027,New Feature,Unresolved,Open,2017/11/3 2:43,
MAHOUT-2028,Proposal,Unresolved,Open,2017/11/18 17:32,
MAHOUT-2029,Bug,Unresolved,Patch Available,2018/2/9 6:50,
MAHOUT-2030,New Feature,Unresolved,Open,2018/2/28 4:16,
MAHOUT-2031,Epic,Unresolved,Open,2018/6/4 22:32,
MAHOUT-2032,Improvement,Fixed,Resolved,2018/6/4 22:33,2018/6/5 0:38
MAHOUT-2033,Bug,Fixed,Resolved,2018/6/4 22:34,2018/6/30 0:10
MAHOUT-2034,Improvement,Fixed,Resolved,2018/6/4 22:35,2018/6/27 21:14
MAHOUT-2035,Bug,Unresolved,Open,2018/6/4 22:35,
