issueKey,type,resolution,status,createdDateEpoch,resolvedDateEpoch
MNG-2871,Bug,Fixed,Closed,2007/3/12 22:49,2007/9/3 3:55
MNG-2872,New Feature,Duplicate,Closed,2007/3/13 0:23,2010/5/8 22:37
MNG-2873,Bug,Fixed,Closed,2007/3/13 22:57,2008/8/29 1:30
MNG-2874,Bug,Fixed,Closed,2007/3/14 14:05,2007/6/5 6:18
MNG-2875,Bug,Fixed,Closed,2007/3/15 0:37,2009/12/30 4:36
MNG-2876,Bug,Cannot Reproduce,Closed,2007/3/15 4:21,2014/6/13 4:23
MNG-2877,Bug,Fixed,Closed,2007/3/15 5:42,2007/3/19 3:04
MNG-2878,Bug,Fixed,Closed,2007/3/15 13:40,2007/9/11 1:35
MNG-2879,Bug,Won't Fix,Closed,2007/3/16 22:11,2009/12/30 2:45
MNG-2880,Bug,Fixed,Closed,2007/3/17 23:48,2007/4/8 20:40
MNG-2881,Improvement,Fixed,Closed,2007/3/19 3:48,2008/3/8 0:49
MNG-2883,Task,Fixed,Closed,2007/3/19 15:34,2008/3/15 0:07
MNG-2884,Improvement,Fixed,Closed,2007/3/19 21:50,2007/6/2 21:02
MNG-2885,Improvement,Fixed,Closed,2007/3/20 5:13,2007/4/8 6:37
MNG-2886,Improvement,Won't Fix,Closed,2007/3/20 19:04,2007/6/18 3:24
MNG-2888,Bug,Cannot Reproduce,Closed,2007/3/21 4:17,2008/3/8 4:12
MNG-2889,Improvement,Won't Fix,Closed,2007/3/22 2:33,2009/12/30 4:36
MNG-2890,Improvement,Won't Fix,Closed,2007/3/22 17:40,2007/6/5 6:23
MNG-2891,Bug,Fixed,Closed,2007/3/22 18:19,2007/3/22 19:52
MNG-2892,Improvement,Fixed,Closed,2007/3/22 20:29,2007/3/25 8:06
MNG-2893,Task,Unresolved,Open,2007/3/24 16:26,
MNG-2894,Task,Fixed,Closed,2007/3/24 16:27,2007/3/25 8:06
MNG-2896,Wish,Won't Fix,Closed,2007/3/24 21:14,2008/12/18 15:29
MNG-2897,Bug,Fixed,Closed,2007/3/25 2:31,2007/3/25 8:07
MNG-2898,Task,Fixed,Closed,2007/3/25 8:10,2007/3/25 21:09
MNG-2899,Bug,Fixed,Closed,2007/3/25 19:36,2007/3/26 2:45
MNG-2900,Bug,Fixed,Closed,2007/3/25 20:44,2007/3/26 16:51
MNG-2901,Bug,Won't Fix,Closed,2007/3/26 18:21,2009/12/30 2:50
MNG-2902,Improvement,Fixed,Closed,2007/3/26 21:52,2011/6/20 0:51
MNG-2903,Bug,Incomplete,Closed,2007/3/27 1:24,2014/1/23 4:32
MNG-2904,Improvement,Fixed,Closed,2007/3/27 15:47,2007/6/3 5:03
MNG-2905,Bug,Fixed,Closed,2007/3/27 18:34,2007/4/8 18:58
MNG-2906,Bug,Incomplete,Closed,2007/3/27 18:36,2014/1/23 4:31
MNG-2909,Bug,Fixed,Closed,2007/3/29 1:33,2007/11/6 6:51
MNG-2913,Bug,Fixed,Closed,2007/3/29 23:39,2007/6/1 2:18
MNG-2914,Bug,Duplicate,Closed,2007/3/30 1:42,2007/3/30 2:09
MNG-2916,New Feature,Unresolved,Open,2007/4/2 3:54,
MNG-2917,Bug,Incomplete,Closed,2007/4/2 13:54,2007/4/2 16:02
MNG-2918,New Feature,Duplicate,Closed,2007/4/2 15:13,2010/1/5 18:01
MNG-2919,Bug,Fixed,Closed,2007/4/2 15:13,2007/6/6 19:48
MNG-2921,Bug,Fixed,Closed,2007/4/3 15:04,2007/6/1 1:26
