relName,className,version,filePath,bug
src\java\org\apache\bcel\generic\LocalVariableInstruction.java,org.apache.bcel.generic.LocalVariableInstruction,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\LocalVariableInstruction.java,0.0
src\java\org\apache\bcel\util\ByteSequence.java,org.apache.bcel.util.ByteSequence,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\util\ByteSequence.java,0.0
src\java\org\apache\bcel\classfile\Utility.java,org.apache.bcel.classfile.Utility,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\Utility.java,0.0
src\java\org\apache\bcel\generic\Instruction.java,org.apache.bcel.generic.Instruction,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\Instruction.java,0.0
src\java\org\apache\bcel\generic\Type.java,org.apache.bcel.generic.Type,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\Type.java,0.0
src\java\org\apache\bcel\generic\ConstantPoolGen.java,org.apache.bcel.generic.ConstantPoolGen,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\ConstantPoolGen.java,0.0
src\java\org\apache\bcel\generic\ClassGenException.java,org.apache.bcel.generic.ClassGenException,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\ClassGenException.java,0.0
src\java\org\apache\bcel\verifier\exc\Utility.java,org.apache.bcel.verifier.exc.Utility,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\verifier\exc\Utility.java,0.0
src\java\org\apache\bcel\generic\ReturnInstruction.java,org.apache.bcel.generic.ReturnInstruction,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\ReturnInstruction.java,0.0
src\java\org\apache\bcel\generic\FieldOrMethod.java,org.apache.bcel.generic.FieldOrMethod,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\FieldOrMethod.java,0.0
src\java\org\apache\bcel\generic\CPInstruction.java,org.apache.bcel.generic.CPInstruction,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\CPInstruction.java,0.0
src\java\org\apache\bcel\classfile\ConstantCP.java,org.apache.bcel.classfile.ConstantCP,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\ConstantCP.java,0.0
src\java\org\apache\bcel\classfile\ConstantPool.java,org.apache.bcel.classfile.ConstantPool,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\ConstantPool.java,0.0
src\java\org\apache\bcel\generic\ObjectType.java,org.apache.bcel.generic.ObjectType,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\ObjectType.java,0.0
src\java\org\apache\bcel\classfile\ConstantNameAndType.java,org.apache.bcel.classfile.ConstantNameAndType,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\ConstantNameAndType.java,0.0
src\java\org\apache\bcel\classfile\ConstantUtf8.java,org.apache.bcel.classfile.ConstantUtf8,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\ConstantUtf8.java,0.0
src\java\org\apache\bcel\generic\LDC.java,org.apache.bcel.generic.LDC,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\LDC.java,0.0
src\java\org\apache\bcel\classfile\Constant.java,org.apache.bcel.classfile.Constant,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\Constant.java,0.0
src\java\org\apache\bcel\classfile\ConstantString.java,org.apache.bcel.classfile.ConstantString,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\ConstantString.java,0.0
src\java\org\apache\bcel\classfile\ConstantFloat.java,org.apache.bcel.classfile.ConstantFloat,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\ConstantFloat.java,0.0
src\java\org\apache\bcel\classfile\ConstantInteger.java,org.apache.bcel.classfile.ConstantInteger,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\ConstantInteger.java,0.0
src\java\org\apache\bcel\generic\LOOKUPSWITCH.java,org.apache.bcel.generic.LOOKUPSWITCH,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\LOOKUPSWITCH.java,0.0
src\java\org\apache\bcel\generic\Select.java,org.apache.bcel.generic.Select,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\Select.java,0.0
src\java\org\apache\bcel\generic\InstructionHandle.java,org.apache.bcel.generic.InstructionHandle,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\InstructionHandle.java,0.0
src\java\org\apache\bcel\generic\GETSTATIC.java,org.apache.bcel.generic.GETSTATIC,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\GETSTATIC.java,0.0
src\java\org\apache\bcel\generic\FieldInstruction.java,org.apache.bcel.generic.FieldInstruction,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\FieldInstruction.java,0.0
src\java\org\apache\bcel\generic\IFNULL.java,org.apache.bcel.generic.IFNULL,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\IFNULL.java,0.0
src\java\org\apache\bcel\generic\IfInstruction.java,org.apache.bcel.generic.IfInstruction,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\IfInstruction.java,0.0
src\java\org\apache\bcel\generic\IFNONNULL.java,org.apache.bcel.generic.IFNONNULL,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\IFNONNULL.java,0.0
src\java\org\apache\bcel\generic\IF_ACMPEQ.java,org.apache.bcel.generic.IF_ACMPEQ,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\IF_ACMPEQ.java,0.0
src\java\org\apache\bcel\generic\IF_ACMPNE.java,org.apache.bcel.generic.IF_ACMPNE,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\IF_ACMPNE.java,0.0
src\java\org\apache\bcel\verifier\structurals\Subroutines.java,org.apache.bcel.verifier.structurals.Subroutines,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\verifier\structurals\Subroutines.java,0.0
src\java\org\apache\bcel\generic\CodeExceptionGen.java,org.apache.bcel.generic.CodeExceptionGen,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\CodeExceptionGen.java,0.0
src\java\org\apache\bcel\generic\MethodGen.java,org.apache.bcel.generic.MethodGen,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\MethodGen.java,0.0
src\java\org\apache\bcel\generic\InstructionList.java,org.apache.bcel.generic.InstructionList,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\InstructionList.java,0.0
src\java\org\apache\bcel\generic\JsrInstruction.java,org.apache.bcel.generic.JsrInstruction,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\JsrInstruction.java,0.0
src\java\org\apache\bcel\generic\BranchInstruction.java,org.apache.bcel.generic.BranchInstruction,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\BranchInstruction.java,0.0
src\java\org\apache\bcel\generic\ASTORE.java,org.apache.bcel.generic.ASTORE,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\ASTORE.java,0.0
src\java\org\apache\bcel\verifier\exc\StructuralCodeConstraintException.java,org.apache.bcel.verifier.exc.StructuralCodeConstraintException,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\verifier\exc\StructuralCodeConstraintException.java,0.0
src\java\org\apache\bcel\generic\RET.java,org.apache.bcel.generic.RET,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\RET.java,0.0
src\java\org\apache\bcel\verifier\exc\AssertionViolatedException.java,org.apache.bcel.verifier.exc.AssertionViolatedException,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\verifier\exc\AssertionViolatedException.java,0.0
src\java\org\apache\bcel\generic\ATHROW.java,org.apache.bcel.generic.ATHROW,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\ATHROW.java,0.0
src\java\org\apache\bcel\generic\GotoInstruction.java,org.apache.bcel.generic.GotoInstruction,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\GotoInstruction.java,0.0
src\java\org\apache\bcel\util\Class2HTML.java,org.apache.bcel.util.Class2HTML,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\util\Class2HTML.java,0.0
src\java\org\apache\bcel\classfile\JavaClass.java,org.apache.bcel.classfile.JavaClass,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\JavaClass.java,0.0
src\java\org\apache\bcel\util\AttributeHTML.java,org.apache.bcel.util.AttributeHTML,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\util\AttributeHTML.java,0.0
src\java\org\apache\bcel\util\ConstantHTML.java,org.apache.bcel.util.ConstantHTML,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\util\ConstantHTML.java,0.0
src\java\org\apache\bcel\util\MethodHTML.java,org.apache.bcel.util.MethodHTML,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\util\MethodHTML.java,0.0
src\java\org\apache\bcel\classfile\Method.java,org.apache.bcel.classfile.Method,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\Method.java,0.0
src\java\org\apache\bcel\classfile\ClassParser.java,org.apache.bcel.classfile.ClassParser,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\ClassParser.java,0.0
src\java\org\apache\bcel\classfile\Attribute.java,org.apache.bcel.classfile.Attribute,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\classfile\Attribute.java,0.0
src\java\org\apache\bcel\util\CodeHTML.java,org.apache.bcel.util.CodeHTML,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\util\CodeHTML.java,0.0
src\java\org\apache\bcel\generic\CALOAD.java,org.apache.bcel.generic.CALOAD,v5.0,RELATIVE:\commons-bcel\commons-bcel-5.0\src\java\org\apache\bcel\generic\CALOAD.java,0.0
