relName,className,version,filePath,bug,type
src\java\org\apache\commons\configuration\ConfigurationMap.java,org.apache.commons.configuration.ConfigurationMap,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\ConfigurationMap.java,0.0,NON
src\java\org\apache\commons\configuration\ConfigurationKey.java,org.apache.commons.configuration.ConfigurationKey,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\ConfigurationKey.java,0.0,NON
src\java\org\apache\commons\configuration\CompositeConfiguration.java,org.apache.commons.configuration.CompositeConfiguration,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\CompositeConfiguration.java,1.0,NON
src\java\org\apache\commons\configuration\PropertiesConfiguration.java,org.apache.commons.configuration.PropertiesConfiguration,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\PropertiesConfiguration.java,0.0,NON
src\java\org\apache\commons\configuration\XMLConfiguration.java,org.apache.commons.configuration.XMLConfiguration,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\XMLConfiguration.java,0.0,NON
src\java\org\apache\commons\configuration\BaseConfiguration.java,org.apache.commons.configuration.BaseConfiguration,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\BaseConfiguration.java,0.0,NON
src\java\org\apache\commons\configuration\AbstractConfiguration.java,org.apache.commons.configuration.AbstractConfiguration,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\AbstractConfiguration.java,0.0,NON
src\java\org\apache\commons\configuration\ConfigurationConverter.java,org.apache.commons.configuration.ConfigurationConverter,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\ConfigurationConverter.java,0.0,NON
src\java\org\apache\commons\configuration\AbstractFileConfiguration.java,org.apache.commons.configuration.AbstractFileConfiguration,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\AbstractFileConfiguration.java,1.0,NON
src\java\org\apache\commons\configuration\ConfigurationException.java,org.apache.commons.configuration.ConfigurationException,v1.0,RELATIVE:\commons-configuration\commons-configuration-1.0\src\java\org\apache\commons\configuration\ConfigurationException.java,0.0,NON
