relName,className,version,filePath,bug
src\test\groovy\DummyMethodsJava.java,groovy.DummyMethodsJava,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\test\groovy\DummyMethodsJava.java,0.0
src\main\groovy\lang\MissingPropertyException.java,groovy.lang.MissingPropertyException,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\groovy\lang\MissingPropertyException.java,0.0
src\main\groovy\lang\GroovyRuntimeException.java,groovy.lang.GroovyRuntimeException,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\groovy\lang\GroovyRuntimeException.java,0.0
src\main\org\codehaus\groovy\ast\expr\FieldExpression.java,org.codehaus.groovy.ast.expr.FieldExpression,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\ast\expr\FieldExpression.java,0.0
src\main\org\codehaus\groovy\ast\ClassNode.java,org.codehaus.groovy.ast.ClassNode,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\ast\ClassNode.java,1.0
src\main\org\codehaus\groovy\ast\FieldNode.java,org.codehaus.groovy.ast.FieldNode,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\ast\FieldNode.java,0.0
src\main\org\codehaus\groovy\ast\expr\Expression.java,org.codehaus.groovy.ast.expr.Expression,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\ast\expr\Expression.java,0.0
src\main\org\codehaus\groovy\antlr\ASTRuntimeException.java,org.codehaus.groovy.antlr.ASTRuntimeException,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\antlr\ASTRuntimeException.java,0.0
src\test\groovy\JointJava.java,groovy.JointJava,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\test\groovy\JointJava.java,0.0
src\test\UberTestCaseJavaSourceGroovyPackagesSecurity.java,UberTestCaseJavaSourceGroovyPackagesSecurity,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\test\UberTestCaseJavaSourceGroovyPackagesSecurity.java,0.0
src\test\JavaSourceGroovyPackagesSecuritySuite.java,JavaSourceGroovyPackagesSecuritySuite,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\test\JavaSourceGroovyPackagesSecuritySuite.java,0.0
src\main\org\codehaus\groovy\runtime\ScriptBytecodeAdapter.java,org.codehaus.groovy.runtime.ScriptBytecodeAdapter,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\runtime\ScriptBytecodeAdapter.java,0.0
src\main\org\codehaus\groovy\runtime\metaclass\MissingMethodExceptionNoStack.java,org.codehaus.groovy.runtime.metaclass.MissingMethodExceptionNoStack,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\runtime\metaclass\MissingMethodExceptionNoStack.java,0.0
src\main\org\codehaus\groovy\runtime\metaclass\MissingPropertyExceptionNoStack.java,org.codehaus.groovy.runtime.metaclass.MissingPropertyExceptionNoStack,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\runtime\metaclass\MissingPropertyExceptionNoStack.java,0.0
src\main\org\codehaus\groovy\runtime\metaclass\MissingMethodExecutionFailed.java,org.codehaus.groovy.runtime.metaclass.MissingMethodExecutionFailed,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\runtime\metaclass\MissingMethodExecutionFailed.java,0.0
src\main\org\codehaus\groovy\runtime\typehandling\DefaultTypeTransformation.java,org.codehaus.groovy.runtime.typehandling.DefaultTypeTransformation,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\runtime\typehandling\DefaultTypeTransformation.java,1.0
src\main\org\codehaus\groovy\runtime\wrappers\GroovyObjectWrapper.java,org.codehaus.groovy.runtime.wrappers.GroovyObjectWrapper,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\runtime\wrappers\GroovyObjectWrapper.java,0.0
src\main\org\codehaus\groovy\runtime\wrappers\PojoWrapper.java,org.codehaus.groovy.runtime.wrappers.PojoWrapper,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\runtime\wrappers\PojoWrapper.java,0.0
src\main\org\codehaus\groovy\runtime\wrappers\Wrapper.java,org.codehaus.groovy.runtime.wrappers.Wrapper,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\runtime\wrappers\Wrapper.java,0.0
src\main\groovy\lang\Tuple.java,groovy.lang.Tuple,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\groovy\lang\Tuple.java,0.0
src\main\groovy\lang\Closure.java,groovy.lang.Closure,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\groovy\lang\Closure.java,0.0
src\main\groovy\lang\MissingMethodException.java,groovy.lang.MissingMethodException,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\groovy\lang\MissingMethodException.java,0.0
src\main\org\codehaus\groovy\runtime\InvokerHelper.java,org.codehaus.groovy.runtime.InvokerHelper,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\org\codehaus\groovy\runtime\InvokerHelper.java,1.0
src\main\groovy\lang\GroovySystem.java,groovy.lang.GroovySystem,v1.5.7,RELATIVE:\groovy\groovy-1.5.7\src\main\groovy\lang\GroovySystem.java,0.0
