"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","13.34","5.69","67.74","102.19","10.21","57.23","10.95","25.71"
"Metrics-Repo-2010","12.53","5.55","239.91","349.83","13.45","236.14","7.49","25.76"
"Metrics-Repo-2010","9.95","4.23","26.47","41.44","6.87","16.61","8.91","19.15"
"Metrics-Repo-2010","17.75","7.75","224.2","333.66","15.44","205","13.26","36.34"
"JIRA-HA-2019","5.63","0.94","2.43","9.14","5.69","33.59","2.63","10.62"
"JIRA-HA-2019","4.03","0.63","1.85","5.76","4.61","67.08","2.63","8.35"
"JIRA-HA-2019","4.37","0.75","1.91","7.47","4.35","17.19","1.88","8.13"
"JIRA-HA-2019","7.04","1.17","3.14","11.31","7.72","63.28","3.63","13.92"
"JIRA-RA-2019","2.57","0.95","1.44","4.59","3.94","12.5","3.01","12.75"
"JIRA-RA-2019","2.38","1.13","1.64","3.72","3.6","25.75","4.17","18.16"
"JIRA-RA-2019","1.83","0.69","1.03","3.56","2.9","5.73","1.91","7.48"
"JIRA-RA-2019","3.46","1.63","2.25","6.33","5.43","23.44","4.96","20.64"
"MA-SZZ-2020","18.89","1.63","23.54","31.94","7.2","39.11","2.8","28.12"
"MA-SZZ-2020","13.27","1.05","38.61","23.62","4.33","45.57","2.77","62.79"
"MA-SZZ-2020","15.47","1.35","14.59","26.38","6.17","28.68","2.13","16.41"
"MA-SZZ-2020","23.25","1.94","37.58","40.01","8.76","55.62","3.76","58.63"
