"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.77","0.84","1.23","3.47","2.19","63.41","1.6","11.39"
"ECLIPSE-2007","2.12","0.55","0.94","2.65","2.47","25.54","1.11","3.18"
"ECLIPSE-2007","0.69","0.22","0.19","0.53","0.3","47.37","0.87","9.02"
"ECLIPSE-2007","4.18","1.19","1.85","5.19","3.75","78.57","2.27","13.38"
"Metrics-Repo-2010","9.71","7.13","33.72","39.74","8.87","38.86","10.86","31.8"
"Metrics-Repo-2010","9.16","9.47","135.7","135.43","11.67","87.24","11.65","44.28"
"Metrics-Repo-2010","7.86","5.09","14.66","20.78","6.43","25.28","8.33","21.93"
"Metrics-Repo-2010","12.62","10.21","124.22","130.02","12.42","83.13","14.63","46.64"
"JIRA-HA-2019","6.06","1.51","2.84","11.96","12.43","45.06","3.82","19.82"
"JIRA-HA-2019","5.37","1.68","2.81","10.57","19.94","117.44","3.95","29.23"
"JIRA-HA-2019","4.49","1.09","2.09","8.82","8.09","22.94","2.69","13.6"
"JIRA-HA-2019","7.88","2.15","3.93","15.94","20.64","112.19","5.2","32.87"
"JIRA-RA-2019","7.4","1.74","3.58","13.35","10.11","76.22","3.2","15.75"
"JIRA-RA-2019","5.93","1.82","3.26","10.89","13.93","194.48","3.44","22.42"
"JIRA-RA-2019","5.95","1.33","2.8","10.75","7.39","39.36","2.41","11.05"
"JIRA-RA-2019","9.45","2.55","4.88","17.15","17","180.75","4.76","25.33"
"MA-SZZ-2020","6.3","0.77","1.64","10.47","4.63","6.07","2.48","11.24"
"MA-SZZ-2020","8.04","1.13","2.05","13.13","6.8","20.07","2.96","15.49"
"MA-SZZ-2020","5.35","0.64","1.38","8.88","3.82","3.8","2.11","9.44"
"MA-SZZ-2020","7.59","0.94","1.93","12.5","5.71","9.33","2.95","13.59"
