"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","21.78","1.57","5.33","15.07","4.86","77.94","16.73","16"
"ECLIPSE-2007","14.75","2.45","2.41","6.82","2.9","40.36","11.35","10.07"
"ECLIPSE-2007","12.07","0.12","2.7","7.2","1.84","39.22","7.06","10.06"
"ECLIPSE-2007","30.67","3","6.9","18.99","6.79","104.79","24.11","21.85"
"Metrics-Repo-2010","64.69","20.69","33.65","40.4","13.94","186.74","139.16","105.81"
"Metrics-Repo-2010","142.22","22.85","134.81","134.54","13.47","583.21","321.99","190.74"
"Metrics-Repo-2010","40.55","15.51","14.68","21.44","10.65","83.08","88.85","73.34"
"Metrics-Repo-2010","121.48","27.74","122.91","129.05","18.07","444.03","296.15","195.86"
"JIRA-HA-2019","10.8","3.69","3.35","13.8","11.42","79.63","154.79","54.24"
"JIRA-HA-2019","10.01","3.88","3.71","13.18","12.87","219.67","527.1","80.7"
"JIRA-HA-2019","8.11","2.78","2.27","9.98","8.27","39.32","44.36","35.79"
"JIRA-HA-2019","14.12","5.39","4.51","18.21","16.27","216.06","456.45","85.97"
"JIRA-RA-2019","11.84","4.33","3.24","12.15","9.9","128.38","203.85","221.73"
"JIRA-RA-2019","10.34","6.19","3.24","10.64","12.71","366.21","1172.45","606.8"
"JIRA-RA-2019","9.23","3.06","2.47","9.6","6.89","66.07","16.45","98.78"
"JIRA-RA-2019","15.95","7.18","4.48","16.34","15.46","356.9","934.81","489.61"
"MA-SZZ-2020","6.93","1.67","1.42","8.61","5.51","155.31","7.6","28.42"
"MA-SZZ-2020","7.54","2.15","1.46","9.29","9.24","1792.57","9.49","68.43"
"MA-SZZ-2020","6.04","1.41","1.24","7.46","4.32","25","6.46","21.64"
"MA-SZZ-2020","8.2","2.04","1.64","10.04","6.9","766.7","9.11","45.07"
