Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.175,0.275,0.0,0.55
JIRA-HA-2019,Ranked1,0.0,0.34375,0.65625,0.0,0.0
JIRA-RA-2019,Ranked1,0.15625,0.125,0.3125,0.0,0.40625
MA-SZZ-2020,Ranked1,0.0,0.0,0.8333333333333334,0.0,0.16666666666666666
Metrics-Repo-2010,Ranked2,0.3,0.175,0.25,0.175,0.1
JIRA-HA-2019,Ranked2,0.0,0.53125,0.34375,0.0,0.125
JIRA-RA-2019,Ranked2,0.21875,0.53125,0.25,0.0,0.0
MA-SZZ-2020,Ranked2,0.0,0.7916666666666666,0.0,0.0,0.20833333333333334
Metrics-Repo-2010,Ranked3,0.425,0.1,0.175,0.3,0.0
JIRA-HA-2019,Ranked3,0.0,0.0,0.0,0.65625,0.34375
JIRA-RA-2019,Ranked3,0.53125,0.0,0.34375,0.125,0.0
MA-SZZ-2020,Ranked3,0.20833333333333334,0.20833333333333334,0.0,0.4166666666666667,0.16666666666666666
