Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
ECLIPSE-2007,Ranked1,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
Metrics-Repo-2010,Ranked1,0.17543859649122806,0.2631578947368421,0.2631578947368421,0.08771929824561403,0.21052631578947367
JIRA-HA-2019,Ranked1,0.07692307692307693,0.10256410256410256,0.4358974358974359,0.10256410256410256,0.28205128205128205
JIRA-RA-2019,Ranked1,0.09523809523809523,0.11904761904761904,0.3333333333333333,0.07142857142857142,0.38095238095238093
MA-SZZ-2020,Ranked1,0.06341463414634146,0.1024390243902439,0.526829268292683,0.06341463414634146,0.24390243902439024
ECLIPSE-2007,Ranked2,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666
Metrics-Repo-2010,Ranked2,0.125,0.21428571428571427,0.21428571428571427,0.10714285714285714,0.3392857142857143
JIRA-HA-2019,Ranked2,0.07692307692307693,0.3076923076923077,0.1282051282051282,0.28205128205128205,0.20512820512820512
JIRA-RA-2019,Ranked2,0.07142857142857142,0.2857142857142857,0.23809523809523808,0.16666666666666666,0.23809523809523808
MA-SZZ-2020,Ranked2,0.13170731707317074,0.2975609756097561,0.12195121951219512,0.14146341463414633,0.3073170731707317
ECLIPSE-2007,Ranked3,0.0,0.0,0.0,0.0,1.0
Metrics-Repo-2010,Ranked3,0.17857142857142858,0.16071428571428573,0.10714285714285714,0.16071428571428573,0.39285714285714285
JIRA-HA-2019,Ranked3,0.20512820512820512,0.07692307692307693,0.07692307692307693,0.3333333333333333,0.3076923076923077
JIRA-RA-2019,Ranked3,0.19047619047619047,0.16666666666666666,0.09523809523809523,0.2619047619047619,0.2857142857142857
MA-SZZ-2020,Ranked3,0.1902439024390244,0.16585365853658537,0.0975609756097561,0.2731707317073171,0.2731707317073171
