relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity
core\src\main\java\org\apache\calcite\DataContext.java,0.0,0,5.05477007472721,3.3219280948873595,4,0.0,0,1.0,1,1,0,4,4,4,4,0,4,1,27,15,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,5,1,1,0,0,0,0,0.0
core\src\main\java\org\apache\calcite\Demo.java,1.5,2,1.92192809488736,3.33880436924461,1,0.5,3,6.5,0,0,1,1,2,2,2,1,1,1,15,12,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\calcite\adapter\clone\ArrayTable.java,1.42857142857143,3,6.2992041720951,5.620874905830539,5,0.7284313590846829,10,7.857142857142861,3,2,2,5,7,12,7,2,5,11,610,417,2,0,2,1,1,0,6,5,1,2,0,0,1,0.579365079365079,0.166666666666667,0,0,0,16,1,1,10,2,8,0,0.0
core\src\main\java\org\apache\calcite\adapter\clone\CloneSchema.java,2.0,4,4.57880892019076,5.67091037814058,3,1.26491106406735,10,13.2,1,1,2,3,5,17,5,2,3,13,81,38,1,0,1,1,1,0,4,12,1,1,0,0,1,0.492307692307692,0.0588235294117647,0,0,0,15,0,0,7,1,6,0,0.0
core\src\main\java\org\apache\calcite\adapter\clone\ColumnLoader.java,3.6,10,6.21647499494928,5.64475518704419,3,3.29241552663087,36,17.0,11,11,7,3,10,10,10,2,8,16,340,223,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0,0,0,12,5,2,12,0,12,0,0.0
core\src\main\java\org\apache\calcite\adapter\clone\ListTable.java,1.0,1,4.20184123230257,5.00196401592301,4,0.0,4,9.0,4,3,0,4,4,9,4,0,4,8,41,25,2,0,2,1,1,0,3,5,1,2,0,0,1,0.555555555555556,0.222222222222222,0,0,0,11,2,2,5,2,3,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\AggAddContext.java,0.0,0,3.25162916738782,2.92192809488736,4,0.0,0,1.0,0,0,0,4,4,4,4,0,4,0,6,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\AggContext.java,0.0,0,3.23890125660263,3.08496250072116,5,0.0,0,1.0,0,0,0,5,5,5,5,0,5,0,7,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\AggImpState.java,3.0,3,3.61436944588676,3.19615478093287,0,0.0,3,12.0,6,6,0,1,1,1,1,0,1,3,20,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,6,3,3,6,0,6,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\AggImplementor.java,0.0,0,3.73215889136457,3.630412660874,4,0.0,0,1.0,0,0,0,4,4,4,4,0,4,7,6,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,5,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\AggResetContext.java,0.0,0,2.3219280948873595,1.58496250072116,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\AggResultContext.java,0.0,0,1.58496250072116,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\CallImplementor.java,0.0,0,1.58496250072116,3.1699250014423104,1,0.0,0,4.0,0,0,0,1,1,1,1,0,1,3,6,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumUtils.java,3.4615384615384603,11,4.96023758360247,6.26470708498368,5,3.0537589601968,45,13.307692307692301,5,5,12,1,13,13,13,1,12,24,188,107,0,0,0,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,16,4,2,66,0,66,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableAggregate.java,7.0,15,3.80776357641719,7.026366416315381,0,5.71547606649408,21,90.0,14,0,0,3,3,61,3,0,3,16,272,131,3,0,3,0,0,0,3,58,0,3,0,0,1,0.1875,0.0,2,2,0,33,0,0,139,17,122,1,0.0036764705882352936
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableAggregateRule.java,1.5,2,2.23592635062903,4.454718997150629,1,0.5,3,11.0,6,0,0,2,2,34,2,0,2,2,24,10,2,0,2,0,0,0,2,32,0,2,0,0,1,0.148148148148148,0.0,2,2,0,12,0,0,23,8,15,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableBindable.java,1.0,1,4.730416151741,5.62285700269342,5,0.0,5,6.2,11,0,0,5,5,55,5,1,4,6,44,26,3,0,3,0,0,0,5,50,0,3,0,0,1,0.208333333333333,0.0,0,0,0,11,0,0,19,9,10,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableCalc.java,1.33333333333333,3,4.250826743851,6.537542708522952,5,0.7453559924999301,8,29.6666666666667,10,0,1,5,6,57,6,0,6,16,181,48,3,0,3,1,1,0,5,51,1,3,0,0,1,0.548076923076923,0.0526315789473684,1,1,0,30,0,0,172,10,162,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableCalcRule.java,1.0,1,2.23592635062903,4.08259792301094,2,0.0,2,6.0,6,0,0,2,2,33,2,0,2,1,14,7,2,0,2,1,1,0,1,31,1,2,0,0,1,0.12152777777777805,0.0606060606060606,1,1,0,10,0,0,16,9,7,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableCollect.java,1.0,1,3.78714396069814,5.46928240758211,3,0.0,3,10.6666666666667,10,0,0,3,3,54,3,0,3,8,34,16,3,0,3,0,0,0,3,51,0,3,0,0,1,0.1875,0.0,1,1,0,14,0,0,43,10,33,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableCollectRule.java,1.0,1,2.23592635062903,4.0761031709967215,2,0.0,2,8.0,6,0,0,2,2,33,2,0,2,1,18,8,2,0,2,1,1,0,1,31,1,2,0,0,1,0.12152777777777805,0.0606060606060606,1,1,0,9,0,0,20,8,12,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableConvention.java,1.0,1,4.221928094887359,4.02192809488736,8,0.0,8,2.0,2,2,0,8,8,8,8,0,8,3,20,13,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,4,1,1,0,0,0,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableCorrelate.java,1.6666666666666698,3,3.69011651759367,5.970760633802639,2,0.942809041582063,5,20.0,13,0,0,3,3,57,3,0,3,15,63,26,3,0,3,0,0,0,3,54,0,3,0,0,1,0.1875,0.0,1,1,0,20,0,0,86,15,71,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableCorrelateRule.java,1.0,1,2.23592635062903,4.05749020077239,2,0.0,2,9.5,6,0,0,2,2,33,2,0,2,1,21,7,2,0,2,1,1,0,1,31,1,2,0,0,1,0.12152777777777805,0.0606060606060606,1,1,0,10,0,0,33,11,22,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableFilter.java,1.0,1,3.72192809488736,5.0015703135171385,4,0.0,4,9.0,10,0,1,3,4,56,4,0,4,11,40,17,3,0,3,0,0,0,4,52,0,3,0,0,1,0.2,0.0,1,1,0,10,0,0,16,7,9,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableFilterRule.java,1.0,1,2.23592635062903,3.9788640881881,2,0.0,2,6.5,6,0,0,2,2,33,2,0,2,1,15,6,2,0,2,1,1,0,1,31,1,2,0,0,1,0.12152777777777805,0.0606060606060606,1,1,0,10,0,0,21,9,12,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableFilterToCalcRule.java,1.0,1,2.25162916738782,4.76184218813101,2,0.0,2,8.0,4,0,0,2,2,27,2,0,2,1,18,14,1,0,1,1,1,0,1,25,1,1,0,0,1,0.0961538461538461,0.037037037037037,0,0,0,12,0,0,21,3,18,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableInterpretable.java,2.0,4,5.33252687535178,6.32516569895635,4,1.30930734141595,14,14.142857142857098,11,0,4,3,7,57,7,1,6,18,118,69,3,0,3,0,0,0,7,50,0,3,0,0,1,0.21875,0.0,0,0,0,23,0,0,35,9,26,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableInterpreter.java,1.2,2,4.5137948768030896,5.67504541890849,4,0.4,6,7.2,10,1,1,4,5,49,5,0,5,12,40,21,2,0,2,2,2,0,3,44,2,2,0,0,1,0.34782608695652195,0.0816326530612245,0,0,0,20,0,0,35,14,21,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableInterpreterRule.java,1.0,1,2.5503407095463904,3.1820058147602097,2,0.0,2,3.5,7,1,0,2,2,33,2,1,1,1,11,6,2,0,2,1,1,0,1,31,1,2,0,0,1,0.12152777777777805,0.0606060606060606,1,1,0,4,1,1,8,5,3,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableIntersect.java,2.0,4,3.9754180179138303,5.41421224658023,2,1.4142135623731005,6,13.333333333333302,11,0,0,3,3,54,3,0,3,9,42,21,3,0,3,0,0,0,3,51,0,3,0,0,1,0.1875,0.0,1,1,0,14,0,0,35,7,28,1,0.023809523809523808
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableIntersectRule.java,1.5,2,2.23592635062903,4.1162996057017,1,0.5,3,7.0,6,0,0,2,2,33,2,0,2,1,16,10,2,0,2,1,1,0,1,31,1,2,0,0,1,0.12152777777777805,0.0606060606060606,1,1,0,9,0,0,17,8,9,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableJoin.java,2.0,5,4.4575751596784805,6.17964060386333,5,1.5,16,19.0,15,0,2,6,8,71,8,3,5,44,156,54,4,0,4,2,2,0,7,63,1,4,0,0,1,0.571875,0.0563380281690141,2,2,0,28,0,0,73,12,61,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableJoinRule.java,4.0,7,2.5,5.29037704224701,1,3.0,8,28.5,6,0,0,2,2,34,2,0,2,3,59,29,2,0,2,0,0,0,2,32,0,2,0,0,1,0.148148148148148,0.0,2,2,0,17,0,0,62,8,54,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableLimit.java,1.4,3,4.13753751126605,5.89118437587217,4,0.8,7,16.0,11,2,1,4,5,50,5,0,5,13,84,34,2,0,2,2,2,0,4,45,1,2,0,0,1,0.185024154589372,0.04,0,0,0,19,2,1,67,13,54,0,0.0
core\src\main\java\org\apache\calcite\adapter\enumerable\EnumerableLimitRule.java,2.0,3,2.52164063634332,4.456558888558151,1,1.0,4,16.0,4,0,0,2,2,27,2,0,2,1,34,13,1,0,1,1,1,0,1,25,1,1,0,0,1,0.0961538461538461,0.037037037037037,0,0,0,10,0,0,33,7,26,0,0.0
