relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity
src\main\java\org\apache\commons\math\ArgumentOutsideDomainException.java,1.0,1,2.52164063634332,1.9056390622295705,1,0.0,1,4.0,7,1,0,1,1,21,1,0,1,3,7,4,3,0,3,0,0,0,1,20,0,3,0,0,1,0.125,0.0,0,0,0,0,0,0,0,0,0,0,0.0
src\main\java\org\apache\commons\math\ConvergenceException.java,1.0,1,3.00531485689428,2.73215889136457,4,0.0,4,3.0,4,1,0,4,4,15,4,0,4,6,15,10,2,2,2,0,0,0,4,11,0,2,4,6,1,0.17777777777777806,0.0,0,0,0,0,0,0,9,9,0,0,0.0
src\main\java\org\apache\commons\math\ConvergingAlgorithm.java,0.0,0,3.66449777920046,3.54659356429494,10,0.0,0,1.0,0,0,0,10,10,10,10,0,10,3,12,11,0,0,0,0,0,0,10,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
src\main\java\org\apache\commons\math\ConvergingAlgorithmImpl.java,1.0,1,4.3349625007211605,4.00547324475009,11,0.0,11,3.63636363636364,7,7,0,11,11,11,11,1,10,5,49,36,0,2,0,0,0,0,11,0,0,0,3,15,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
src\main\java\org\apache\commons\math\DimensionMismatchException.java,1.0,1,2.72192809488736,1.9143411836123505,3,0.0,3,3.6666666666666696,6,3,0,3,3,14,3,0,3,2,16,12,2,0,2,0,0,0,3,11,0,2,0,0,1,0.166666666666667,0.0,0,0,0,0,0,0,0,0,0,0,0.0
src\main\java\org\apache\commons\math\DuplicateSampleAbscissaException.java,1.0,1,2.75,2.9139770731827497,2,0.0,2,3.5,4,1,0,2,2,13,2,0,2,3,10,6,2,0,2,0,0,0,2,11,0,2,0,0,1,0.148148148148148,0.0,0,0,0,0,0,0,1,1,0,0,0.0
src\main\java\org\apache\commons\math\Field.java,0.0,0,1.79248125036058,1.5,2,0.0,0,1.0,0,0,0,2,2,2,2,0,2,0,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
src\main\java\org\apache\commons\math\FieldElement.java,0.0,0,2.5858279391430403,2.49546184423832,5,0.0,0,1.0,0,0,0,5,5,5,5,0,5,4,7,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0
src\main\java\org\apache\commons\math\FunctionEvaluationException.java,1.0,1,2.6448496341833,3.0470330569767303,9,0.0,9,4.55555555555556,6,3,0,9,9,20,9,0,9,20,47,30,2,1,2,0,0,0,9,11,0,2,1,1,1,0.2,0.0,0,0,0,1,1,1,23,21,2,0,0.0
src\main\java\org\apache\commons\math\MathConfigurationException.java,1.0,1,3.14144607116552,2.73215889136457,4,0.0,4,3.0,4,1,0,4,4,15,4,0,4,6,15,10,2,0,2,0,0,0,4,11,0,2,0,0,1,0.17777777777777806,0.0,0,0,0,0,0,0,10,10,0,0,0.0
src\main\java\org\apache\commons\math\MathException.java,1.4166666666666698,3,4.0300416708143,4.70764796530163,8,0.6400954789890511,17,4.5,3,3,1,11,12,12,12,1,11,11,63,41,1,3,1,0,0,0,12,0,0,1,13,21,1,0.153846153846154,0.0,0,0,0,0,1,1,0,0,0,0,0.0
src\main\java\org\apache\commons\math\MathRuntimeException.java,1.20833333333333,3,4.7959262358788886,4.932403366122741,20,0.4982608642958921,29,8.625,3,3,14,10,24,24,24,2,22,36,216,120,1,2,1,0,0,0,24,0,0,1,3,5,1,0.16,0.0,0,0,0,0,1,1,0,0,0,0,0.0
src\main\java\org\apache\commons\math\MaxEvaluationsExceededException.java,1.0,1,2.11328333429487,2.3227569588974,3,0.0,3,4.0,6,2,0,3,3,18,3,0,3,4,16,11,3,0,3,0,0,0,3,15,0,3,0,0,1,0.1875,0.0,0,0,0,0,0,0,3,3,0,0,0.0
src\main\java\org\apache\commons\math\MaxIterationsExceededException.java,1.0,1,2.11328333429487,2.3227569588974,3,0.0,3,4.0,6,2,0,3,3,18,3,0,3,4,16,11,3,0,3,0,0,0,3,15,0,3,0,0,1,0.1875,0.0,0,0,0,0,0,0,3,3,0,0,0.0
src\main\java\org\apache\commons\math\MessagesResources_fr.java,1.0,1,2.5,2.3219280948873595,2,0.0,2,2.5,1,1,0,2,2,2,2,0,2,0,540,5,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,0,0,0,0,0.0
src\main\java\org\apache\commons\math\analysis\BinaryFunction.java,0.666666666666667,1,3.50816289599878,3.2368489059491403,3,0.471404520791032,2,5.66666666666667,6,6,0,3,3,3,3,0,3,4,55,28,0,1,0,6,0,6,3,0,0,0,6,6,0,0.0,0.0,0,0,0,2,6,1,0,0,0,0,0.0
src\main\java\org\apache\commons\math\analysis\BivariateRealFunction.java,0.0,0,2.3219280948873595,2.0,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,2,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0
