relName,bug
core\src\main\java\org\apache\mahout\classifier\AbstractVectorClassifier.java,0
core\src\main\java\org\apache\mahout\classifier\BayesFileFormatter.java,0
core\src\main\java\org\apache\mahout\classifier\ClassifierResult.java,0
core\src\main\java\org\apache\mahout\classifier\Classify.java,1
core\src\main\java\org\apache\mahout\classifier\ConfusionMatrix.java,1
core\src\main\java\org\apache\mahout\classifier\OnlineLearner.java,0
core\src\main\java\org\apache\mahout\classifier\ResultAnalyzer.java,0
core\src\main\java\org\apache\mahout\clustering\AbstractCluster.java,0
core\src\main\java\org\apache\mahout\clustering\Cluster.java,0
core\src\main\java\org\apache\mahout\clustering\ClusterObservations.java,0
core\src\main\java\org\apache\mahout\clustering\DistanceMeasureCluster.java,0
core\src\main\java\org\apache\mahout\clustering\GaussianAccumulator.java,0
core\src\main\java\org\apache\mahout\clustering\JsonDistanceMeasureAdapter.java,0
core\src\main\java\org\apache\mahout\clustering\JsonModelAdapter.java,0
core\src\main\java\org\apache\mahout\clustering\JsonModelDistributionAdapter.java,0
core\src\main\java\org\apache\mahout\clustering\Model.java,0
core\src\main\java\org\apache\mahout\clustering\ModelDistribution.java,0
core\src\main\java\org\apache\mahout\clustering\OnlineGaussianAccumulator.java,0
core\src\main\java\org\apache\mahout\clustering\RunningSumsGaussianAccumulator.java,0
core\src\main\java\org\apache\mahout\clustering\VectorModelClassifier.java,0
core\src\main\java\org\apache\mahout\clustering\WeightedVectorWritable.java,0
core\src\main\java\org\apache\mahout\common\AbstractJob.java,0
core\src\main\java\org\apache\mahout\common\CommandLineUtil.java,0
core\src\main\java\org\apache\mahout\common\FileLineIterable.java,0
core\src\main\java\org\apache\mahout\common\FileLineIterator.java,0
core\src\main\java\org\apache\mahout\common\HadoopUtil.java,0
core\src\main\java\org\apache\mahout\common\IntegerTuple.java,0
core\src\main\java\org\apache\mahout\common\IntPairWritable.java,0
core\src\main\java\org\apache\mahout\common\IntTuple.java,0
core\src\main\java\org\apache\mahout\common\IOUtils.java,0
core\src\main\java\org\apache\mahout\common\LongPair.java,0
core\src\main\java\org\apache\mahout\common\Pair.java,0
core\src\main\java\org\apache\mahout\common\Parameters.java,1
core\src\main\java\org\apache\mahout\common\StringRecordIterator.java,0
core\src\main\java\org\apache\mahout\common\StringTuple.java,0
core\src\main\java\org\apache\mahout\common\StringUtils.java,0
core\src\main\java\org\apache\mahout\common\Summarizable.java,0
core\src\main\java\org\apache\mahout\common\TimingStatistics.java,0
core\src\main\java\org\apache\mahout\df\Bagging.java,0
core\src\main\java\org\apache\mahout\df\DecisionForest.java,0
core\src\main\java\org\apache\mahout\df\DFUtils.java,0
core\src\main\java\org\apache\mahout\df\ErrorEstimate.java,0
core\src\main\java\org\apache\mahout\driver\MahoutDriver.java,1
core\src\main\java\org\apache\mahout\ep\EvolutionaryProcess.java,0
core\src\main\java\org\apache\mahout\ep\Mapping.java,0
core\src\main\java\org\apache\mahout\ep\Payload.java,0
core\src\main\java\org\apache\mahout\ep\State.java,0
core\src\main\java\org\apache\mahout\ep\ThreadedEvolutionaryProcess.java,0
core\src\main\java\org\apache\mahout\math\DenseMatrixWritable.java,0
core\src\main\java\org\apache\mahout\math\MatrixWritable.java,0
core\src\main\java\org\apache\mahout\math\MultiLabelVectorWritable.java,0
core\src\main\java\org\apache\mahout\math\Varint.java,0
core\src\main\java\org\apache\mahout\math\VarIntWritable.java,0
core\src\main\java\org\apache\mahout\math\VarLongWritable.java,0
core\src\main\java\org\apache\mahout\math\VectorWritable.java,1
core\src\main\java\org\apache\mahout\vectorizer\DefaultAnalyzer.java,0
core\src\main\java\org\apache\mahout\vectorizer\DictionaryVectorizer.java,2
core\src\main\java\org\apache\mahout\vectorizer\DocumentProcessor.java,1
core\src\main\java\org\apache\mahout\vectorizer\SparseVectorsFromSequenceFiles.java,1
core\src\main\java\org\apache\mahout\vectorizer\TF.java,0
core\src\main\java\org\apache\mahout\vectorizer\TFIDF.java,0
core\src\main\java\org\apache\mahout\vectorizer\Weight.java,0
core\src\main\java\org\apache\mahout\classifier\bayes\MultipleOutputFormat.java,1
core\src\main\java\org\apache\mahout\classifier\bayes\MultipleTextOutputFormat.java,1
core\src\main\java\org\apache\mahout\classifier\bayes\TestClassifier.java,2
core\src\main\java\org\apache\mahout\classifier\bayes\TrainClassifier.java,0
core\src\main\java\org\apache\mahout\classifier\discriminative\LinearModel.java,0
core\src\main\java\org\apache\mahout\classifier\discriminative\LinearTrainer.java,0
core\src\main\java\org\apache\mahout\classifier\discriminative\PerceptronTrainer.java,0
core\src\main\java\org\apache\mahout\classifier\discriminative\TrainingException.java,0
core\src\main\java\org\apache\mahout\classifier\discriminative\WinnowTrainer.java,0
core\src\main\java\org\apache\mahout\classifier\evaluation\Auc.java,0
core\src\main\java\org\apache\mahout\classifier\naivebayes\AbstractNaiveBayesClassifier.java,0
core\src\main\java\org\apache\mahout\classifier\naivebayes\BayesConstants.java,0
core\src\main\java\org\apache\mahout\classifier\naivebayes\ComplementaryNaiveBayesClassifier.java,0
core\src\main\java\org\apache\mahout\classifier\naivebayes\NaiveBayesModel.java,0
core\src\main\java\org\apache\mahout\classifier\naivebayes\StandardNaiveBayesClassifier.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\AbstractOnlineLogisticRegression.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\AdaptiveLogisticRegression.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\CrossFoldLearner.java,1
core\src\main\java\org\apache\mahout\classifier\sgd\CsvRecordFactory.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\DefaultGradient.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\ElasticBandPrior.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\Gradient.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\L1.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\L2.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\MixedGradient.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\ModelDissector.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\ModelSerializer.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\OnlineLogisticRegression.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\PriorFunction.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\RankingGradient.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\RecordFactory.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\TPrior.java,0
core\src\main\java\org\apache\mahout\classifier\sgd\UniformPrior.java,0
core\src\main\java\org\apache\mahout\clustering\canopy\Canopy.java,0
core\src\main\java\org\apache\mahout\clustering\canopy\CanopyClusterer.java,0
core\src\main\java\org\apache\mahout\clustering\canopy\CanopyConfigKeys.java,0
core\src\main\java\org\apache\mahout\clustering\canopy\CanopyDriver.java,0
core\src\main\java\org\apache\mahout\clustering\canopy\CanopyMapper.java,0
core\src\main\java\org\apache\mahout\clustering\canopy\CanopyReducer.java,0
core\src\main\java\org\apache\mahout\clustering\canopy\ClusterMapper.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\DirichletCluster.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\DirichletClusterer.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\DirichletClusterMapper.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\DirichletDriver.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\DirichletMapper.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\DirichletReducer.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\DirichletState.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\JsonClusterAdapter.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\JsonClusterModelAdapter.java,0
core\src\main\java\org\apache\mahout\clustering\dirichlet\UncommonDistributions.java,0
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansClusterer.java,0
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansClusterMapper.java,0
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansCombiner.java,0
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansConfigKeys.java,0
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansDriver.java,0
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansMapper.java,0
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansReducer.java,0
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\FuzzyKMeansUtil.java,0
core\src\main\java\org\apache\mahout\clustering\fuzzykmeans\SoftCluster.java,0
core\src\main\java\org\apache\mahout\clustering\kmeans\Cluster.java,0
core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansClusterer.java,1
core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansClusterMapper.java,0
core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansCombiner.java,0
core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansConfigKeys.java,0
core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansDriver.java,0
core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansMapper.java,0
core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansReducer.java,1
core\src\main\java\org\apache\mahout\clustering\kmeans\KMeansUtil.java,0
core\src\main\java\org\apache\mahout\clustering\kmeans\OutputLogFilter.java,0
core\src\main\java\org\apache\mahout\clustering\kmeans\RandomSeedGenerator.java,0
core\src\main\java\org\apache\mahout\clustering\lda\LDADriver.java,0
core\src\main\java\org\apache\mahout\clustering\lda\LDAInference.java,0
core\src\main\java\org\apache\mahout\clustering\lda\LDAMapper.java,0
core\src\main\java\org\apache\mahout\clustering\lda\LDAReducer.java,0
core\src\main\java\org\apache\mahout\clustering\lda\LDAState.java,0
core\src\main\java\org\apache\mahout\clustering\lda\LDAUtil.java,0
core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopy.java,0
core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopyClusterer.java,0
core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopyClusterMapper.java,0
core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopyConfigKeys.java,0
core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopyCreatorMapper.java,1
core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopyDriver.java,0
core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopyMapper.java,0
core\src\main\java\org\apache\mahout\clustering\meanshift\MeanShiftCanopyReducer.java,0
core\src\main\java\org\apache\mahout\clustering\minhash\HashFactory.java,1
core\src\main\java\org\apache\mahout\clustering\minhash\HashFunction.java,0
core\src\main\java\org\apache\mahout\clustering\minhash\MinHashDriver.java,0
core\src\main\java\org\apache\mahout\clustering\minhash\MinHashMapper.java,1
core\src\main\java\org\apache\mahout\clustering\minhash\MinHashReducer.java,1
core\src\main\java\org\apache\mahout\common\cache\Cache.java,0
core\src\main\java\org\apache\mahout\common\cache\HybridCache.java,0
core\src\main\java\org\apache\mahout\common\cache\LeastKCache.java,0
core\src\main\java\org\apache\mahout\common\cache\LFUCache.java,0
core\src\main\java\org\apache\mahout\common\cache\LRUCache.java,0
core\src\main\java\org\apache\mahout\common\commandline\DefaultOptionCreator.java,0
core\src\main\java\org\apache\mahout\common\commandline\MinhashOptionCreator.java,0
core\src\main\java\org\apache\mahout\common\distance\CosineDistanceMeasure.java,0
