relName,bug
src\java\org\apache\nutch\analysis\AnalyzerFactory.java,0
src\java\org\apache\nutch\analysis\CharStream.java,0
src\java\org\apache\nutch\analysis\CommonGrams.java,0
src\java\org\apache\nutch\analysis\FastCharStream.java,0
src\java\org\apache\nutch\analysis\NutchAnalysis.java,0
src\java\org\apache\nutch\analysis\NutchAnalysisConstants.java,0
src\java\org\apache\nutch\analysis\NutchAnalysisTokenManager.java,0
src\java\org\apache\nutch\analysis\NutchAnalyzer.java,0
src\java\org\apache\nutch\analysis\NutchDocumentAnalyzer.java,0
src\java\org\apache\nutch\analysis\NutchDocumentTokenizer.java,0
src\java\org\apache\nutch\analysis\ParseException.java,0
src\java\org\apache\nutch\analysis\Token.java,0
src\java\org\apache\nutch\analysis\TokenManager.java,0
src\java\org\apache\nutch\analysis\TokenMgrError.java,0
src\java\org\apache\nutch\clustering\HitsCluster.java,0
src\java\org\apache\nutch\clustering\OnlineClusterer.java,0
src\java\org\apache\nutch\clustering\OnlineClustererFactory.java,0
src\java\org\apache\nutch\crawl\AbstractFetchSchedule.java,0
src\java\org\apache\nutch\crawl\AdaptiveFetchSchedule.java,0
src\java\org\apache\nutch\crawl\Crawl.java,1
src\java\org\apache\nutch\crawl\CrawlDatum.java,1
src\java\org\apache\nutch\crawl\CrawlDb.java,0
src\java\org\apache\nutch\crawl\CrawlDbFilter.java,1
src\java\org\apache\nutch\crawl\CrawlDbMerger.java,0
src\java\org\apache\nutch\crawl\CrawlDbReader.java,0
src\java\org\apache\nutch\crawl\CrawlDbReducer.java,2
src\java\org\apache\nutch\crawl\DefaultFetchSchedule.java,0
src\java\org\apache\nutch\crawl\FetchSchedule.java,0
src\java\org\apache\nutch\crawl\FetchScheduleFactory.java,0
src\java\org\apache\nutch\crawl\Generator.java,3
src\java\org\apache\nutch\crawl\Injector.java,0
src\java\org\apache\nutch\crawl\Inlink.java,0
src\java\org\apache\nutch\crawl\Inlinks.java,0
src\java\org\apache\nutch\crawl\LinkDb.java,1
src\java\org\apache\nutch\crawl\LinkDbFilter.java,0
src\java\org\apache\nutch\crawl\LinkDbMerger.java,0
src\java\org\apache\nutch\crawl\LinkDbReader.java,0
src\java\org\apache\nutch\crawl\MapWritable.java,0
src\java\org\apache\nutch\crawl\MD5Signature.java,0
src\java\org\apache\nutch\crawl\NutchWritable.java,0
src\java\org\apache\nutch\crawl\Signature.java,0
src\java\org\apache\nutch\crawl\SignatureComparator.java,0
src\java\org\apache\nutch\crawl\SignatureFactory.java,0
src\java\org\apache\nutch\crawl\TextProfileSignature.java,0
src\java\org\apache\nutch\crawl\URLPartitioner.java,0
src\java\org\apache\nutch\fetcher\Fetcher.java,2
src\java\org\apache\nutch\fetcher\FetcherOutput.java,0
src\java\org\apache\nutch\fetcher\FetcherOutputFormat.java,2
src\java\org\apache\nutch\fetcher\OldFetcher.java,0
src\java\org\apache\nutch\html\Entities.java,0
src\java\org\apache\nutch\indexer\DeleteDuplicates.java,0
src\java\org\apache\nutch\indexer\FsDirectory.java,0
src\java\org\apache\nutch\indexer\HighFreqTerms.java,0
src\java\org\apache\nutch\indexer\Indexer.java,0
src\java\org\apache\nutch\indexer\IndexerMapReduce.java,0
src\java\org\apache\nutch\indexer\IndexerOutputFormat.java,0
src\java\org\apache\nutch\indexer\IndexingException.java,0
src\java\org\apache\nutch\indexer\IndexingFilter.java,0
src\java\org\apache\nutch\indexer\IndexingFilters.java,0
src\java\org\apache\nutch\indexer\IndexMerger.java,0
src\java\org\apache\nutch\indexer\IndexSorter.java,0
src\java\org\apache\nutch\indexer\NutchDocument.java,0
src\java\org\apache\nutch\indexer\NutchField.java,0
src\java\org\apache\nutch\indexer\NutchIndexWriter.java,0
src\java\org\apache\nutch\indexer\NutchIndexWriterFactory.java,0
src\java\org\apache\nutch\indexer\NutchSimilarity.java,0
src\java\org\apache\nutch\metadata\CreativeCommons.java,0
src\java\org\apache\nutch\metadata\DublinCore.java,0
src\java\org\apache\nutch\metadata\Feed.java,0
src\java\org\apache\nutch\metadata\HttpHeaders.java,0
src\java\org\apache\nutch\metadata\Metadata.java,0
src\java\org\apache\nutch\metadata\MetaWrapper.java,0
src\java\org\apache\nutch\metadata\Nutch.java,0
src\java\org\apache\nutch\metadata\Office.java,0
src\java\org\apache\nutch\metadata\SpellCheckedMetadata.java,0
src\java\org\apache\nutch\net\URLFilter.java,0
src\java\org\apache\nutch\net\URLFilterChecker.java,0
src\java\org\apache\nutch\net\URLFilterException.java,0
src\java\org\apache\nutch\net\URLFilters.java,0
src\java\org\apache\nutch\net\URLNormalizer.java,0
src\java\org\apache\nutch\net\URLNormalizerChecker.java,0
src\java\org\apache\nutch\net\URLNormalizers.java,0
src\java\org\apache\nutch\ontology\Ontology.java,0
src\java\org\apache\nutch\ontology\OntologyFactory.java,0
src\java\org\apache\nutch\parse\HTMLMetaTags.java,0
src\java\org\apache\nutch\parse\HtmlParseFilter.java,0
src\java\org\apache\nutch\parse\HtmlParseFilters.java,0
src\java\org\apache\nutch\parse\Outlink.java,0
src\java\org\apache\nutch\parse\OutlinkExtractor.java,0
src\java\org\apache\nutch\parse\Parse.java,0
src\java\org\apache\nutch\parse\ParseCallable.java,0
src\java\org\apache\nutch\parse\ParseData.java,0
src\java\org\apache\nutch\parse\ParseException.java,0
src\java\org\apache\nutch\parse\ParseImpl.java,0
src\java\org\apache\nutch\parse\ParseOutputFormat.java,2
src\java\org\apache\nutch\parse\ParsePluginList.java,0
src\java\org\apache\nutch\parse\ParsePluginsReader.java,0
src\java\org\apache\nutch\parse\Parser.java,0
src\java\org\apache\nutch\parse\ParserChecker.java,0
src\java\org\apache\nutch\parse\ParseResult.java,0
src\java\org\apache\nutch\parse\ParserFactory.java,0
src\java\org\apache\nutch\parse\ParserNotFound.java,0
src\java\org\apache\nutch\parse\ParseSegment.java,1
src\java\org\apache\nutch\parse\ParseStatus.java,0
src\java\org\apache\nutch\parse\ParseText.java,0
src\java\org\apache\nutch\parse\ParseUtil.java,0
src\java\org\apache\nutch\plugin\CircularDependencyException.java,0
src\java\org\apache\nutch\plugin\Extension.java,1
src\java\org\apache\nutch\plugin\ExtensionPoint.java,0
src\java\org\apache\nutch\plugin\MissingDependencyException.java,0
src\java\org\apache\nutch\plugin\Pluggable.java,0
src\java\org\apache\nutch\plugin\Plugin.java,0
src\java\org\apache\nutch\plugin\PluginClassLoader.java,0
src\java\org\apache\nutch\plugin\PluginDescriptor.java,0
src\java\org\apache\nutch\plugin\PluginManifestParser.java,0
src\java\org\apache\nutch\plugin\PluginRepository.java,0
src\java\org\apache\nutch\plugin\PluginRuntimeException.java,0
src\java\org\apache\nutch\protocol\Content.java,0
src\java\org\apache\nutch\protocol\EmptyRobotRules.java,0
src\java\org\apache\nutch\protocol\Protocol.java,0
src\java\org\apache\nutch\protocol\ProtocolException.java,0
src\java\org\apache\nutch\protocol\ProtocolFactory.java,1
src\java\org\apache\nutch\protocol\ProtocolNotFound.java,0
src\java\org\apache\nutch\protocol\ProtocolOutput.java,0
src\java\org\apache\nutch\protocol\ProtocolStatus.java,0
src\java\org\apache\nutch\protocol\RobotRules.java,0
src\java\org\apache\nutch\scoring\ScoringFilter.java,0
src\java\org\apache\nutch\scoring\ScoringFilterException.java,0
src\java\org\apache\nutch\scoring\ScoringFilters.java,0
src\java\org\apache\nutch\searcher\DistributedSearch.java,0
src\java\org\apache\nutch\searcher\DistributedSearchBean.java,0
src\java\org\apache\nutch\searcher\DistributedSegmentBean.java,0
src\java\org\apache\nutch\searcher\FetchedSegments.java,0
src\java\org\apache\nutch\searcher\FieldQueryFilter.java,0
src\java\org\apache\nutch\searcher\Hit.java,0
src\java\org\apache\nutch\searcher\HitContent.java,0
src\java\org\apache\nutch\searcher\HitDetailer.java,0
src\java\org\apache\nutch\searcher\HitDetails.java,0
src\java\org\apache\nutch\searcher\HitInlinks.java,0
