relName,bug
src\main\java\org\apache\tika\metadata\SpellCheckedMetadata.java,0
src\main\java\org\apache\tika\mime\Clause.java,0
src\main\java\org\apache\tika\mime\HexCoDec.java,0
src\main\java\org\apache\tika\mime\MagicClause.java,0
src\main\java\org\apache\tika\mime\MimeTypeException.java,0
src\main\java\org\apache\tika\mime\Operator.java,0
src\main\java\org\apache\tika\utils\StringUtil.java,0
src\main\java\org\apache\tika\utils\RereadableInputStream.java,0
src\main\java\org\apache\tika\parser\pdf\PDFParser.java,1
src\main\java\org\apache\tika\parser\microsoft\FilteredStringWriter.java,0
src\main\java\org\apache\tika\parser\microsoft\Slide.java,0
src\main\java\org\apache\tika\parser\microsoft\TextBox.java,0
src\main\java\org\apache\tika\parser\microsoft\Word6CHPBinTable.java,0
src\main\java\org\apache\tika\parser\microsoft\WordTextPiece.java,0
src\main\java\org\apache\tika\mime\MagicMatch.java,0
src\main\java\org\apache\tika\parser\microsoft\ExcelEventParser.java,0
src\main\java\org\apache\tika\exception\TikaException.java,0
src\main\java\org\apache\tika\exception\CauseIOException.java,0
src\main\java\org\apache\tika\sax\AppendableAdaptor.java,0
src\main\java\org\apache\tika\parser\pdf\PDF2XHTML.java,1
src\main\java\org\apache\tika\parser\microsoft\ExcelParser.java,0
src\main\java\org\apache\tika\parser\microsoft\OfficeParser.java,0
src\main\java\org\apache\tika\parser\microsoft\PowerPointExtractor.java,0
src\main\java\org\apache\tika\parser\microsoft\PowerPointParser.java,0
src\main\java\org\apache\tika\parser\microsoft\Word6Extractor.java,0
src\main\java\org\apache\tika\parser\microsoft\WordParser.java,0
src\main\java\org\apache\tika\parser\microsoft\WordTextBuffer.java,0
src\main\java\org\apache\tika\parser\opendocument\OpenOfficeParser.java,0
src\main\java\org\apache\tika\parser\xml\XMLParser.java,0
src\main\java\org\apache\tika\mime\Magic.java,0
src\main\java\org\apache\tika\utils\Utils.java,0
src\main\java\org\apache\tika\config\TikaConfig.java,0
src\main\java\org\apache\tika\mime\MimeTypesFactory.java,0
src\main\java\org\apache\tika\mime\MimeTypesReader.java,0
src\main\java\org\apache\tika\parser\AutoDetectParser.java,0
src\main\java\org\apache\tika\metadata\Metadata.java,0
src\main\java\org\apache\tika\metadata\TikaMetadataKeys.java,0
src\main\java\org\apache\tika\parser\ParserPostProcessor.java,0
src\main\java\org\apache\tika\utils\RegexUtils.java,0
src\main\java\org\apache\tika\parser\EmptyParser.java,0
src\main\java\org\apache\tika\sax\ContentHandlerDecorator.java,0
src\main\java\org\apache\tika\sax\TeeContentHandler.java,0
src\main\java\org\apache\tika\sax\WriteOutContentHandler.java,0
src\main\java\org\apache\tika\sax\XHTMLContentHandler.java,3
src\main\java\org\apache\tika\utils\ParseUtils.java,0
src\main\java\org\apache\tika\parser\html\HtmlParser.java,0
src\main\java\org\apache\tika\parser\rtf\RTFParser.java,0
src\main\java\org\apache\tika\parser\txt\TXTParser.java,0
src\main\java\org\apache\tika\parser\opendocument\OpenOfficeEntityResolver.java,0
src\main\java\org\apache\tika\parser\microsoft\PPTConstants.java,0
src\main\java\org\apache\tika\metadata\CreativeCommons.java,0
src\main\java\org\apache\tika\metadata\DublinCore.java,0
src\main\java\org\apache\tika\metadata\HttpHeaders.java,0
src\main\java\org\apache\tika\metadata\MSOffice.java,0
src\main\java\org\apache\tika\metadata\TikaMimeKeys.java,0
src\main\java\org\apache\tika\parser\Parser.java,0
src\main\java\org\apache\tika\parser\ParserDecorator.java,0
src\main\java\org\apache\tika\parser\ErrorParser.java,0
src\main\java\org\apache\tika\mime\MimeType.java,1
src\main\java\org\apache\tika\mime\MimeTypes.java,1
src\main\java\org\apache\tika\mime\Patterns.java,0
