name,original_length,intersection_length,percent
ant-1.3.csv,125,124,0.992
ant-1.4.csv,178,177,0.994382022
ant-1.5.csv,293,290,0.989761092
ant-1.6.csv,351,350,0.997150997
ant-1.7.csv,745,740,0.993288591
camel-1.0.csv,339,339,1
camel-1.2.csv,608,590,0.970394737
camel-1.4.csv,872,841,0.964449541
camel-1.6.csv,965,927,0.960621762
forrest-0.6.csv,6,6,1
forrest-0.7.csv,29,29,1
forrest-0.8.csv,32,30,0.9375
jedit-3.2.csv,272,259,0.952205882
jedit-4.0.csv,306,293,0.95751634
jedit-4.1.csv,312,300,0.961538462
jedit-4.2.csv,367,355,0.967302452
jedit-4.3.csv,492,487,0.989837398
log4j-1.0.csv,135,115,0.851851852
log4j-1.1.csv,109,103,0.944954128
log4j-1.2.csv,205,193,0.941463415
lucene-2.0.csv,195,186,0.953846154
lucene-2.2.csv,247,234,0.947368421
lucene-2.4.csv,340,330,0.970588235
poi-1.5.csv,237,235,0.991561181
poi-2.0.csv,314,309,0.984076433
poi-2.5.csv,385,380,0.987012987
poi-3.0.csv,442,438,0.990950226
pbeans-1.0.csv,26,26,1
pbeans-2.0.csv,51,51,1
synapse-1.0.csv,157,157,1
synapse-1.1.csv,222,222,1
synapse-1.2.csv,256,256,1
velocity-1.4.csv,196,195,0.994897959
velocity-1.5.csv,214,214,1
velocity-1.6.csv,229,229,1
xalan-2.4.csv,723,676,0.934993084
xalan-2.5.csv,803,762,0.948941469
xalan-2.6.csv,885,875,0.988700565
xalan-2.7.csv,909,899,0.9889989
xerces-0.init.csv,162,162,1
xerces-1.2.csv,440,438,0.995454545
xerces-1.3.csv,453,451,0.995584989
xerces-1.4.csv,588,331,0.56292517
