className,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug,bugDensity
org.apache.poi.hssf.record.MergeCellsRecord,15,2,0,6,35,41,3,4,13,0.69047619,363,0.666666667,0,0.47826087,0.5166666670000001,1,6,23.0,2,1.1333,0,0.0
org.apache.poi.hssf.usermodel.HSSFCell,30,1,0,20,104,87,5,16,22,0.7482758620000001,1151,0.6,4,0.0,0.146153846,0,0,36.7,20,2.9,1,0.0008688097306689834
org.apache.poi.util.StringUtil,12,1,0,14,37,66,14,0,10,1.090909091,494,1.0,0,0.0,0.273809524,0,0,40.08333333,10,2.5833,1,0.0020242914979757085
org.apache.poi.poifs.property.Parent,4,1,0,3,4,6,1,2,4,2.0,4,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,0,0.0
org.apache.poi.hssf.record.formula.AreaPtg,29,2,0,7,53,100,2,6,28,0.75,556,0.8888888890000001,3,0.212121212,0.221674877,1,2,17.86206897,5,1.0345,1,0.0017985611510791368
org.apache.poi.hssf.usermodel.HSSFErrorConstants,0,1,0,0,0,0,0,0,0,2.0,7,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0
org.apache.poi.hssf.eventmodel.ERFListener,1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0
org.apache.poi.hssf.record.formula.AbstractFunctionPtg,16,2,2,6,31,102,3,3,11,0.933333333,9849,0.75,1,0.176470588,0.19047619,0,0,614.0625,5,1.1875,1,0.0001015331505736623
org.apache.poi.poifs.property.Child,4,1,0,3,4,6,3,0,4,2.0,4,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0
org.apache.poi.hssf.record.LeftMarginRecord,12,2,0,6,23,46,2,4,10,0.818181818,122,0.5,0,0.55,0.4,1,6,9.0,2,0.8333,0,0.0
org.apache.poi.hssf.record.RecordFormatException,1,4,0,124,2,0,124,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,0,0.0
org.apache.poi.hssf.record.aggregates.RowRecordsAggregate,14,2,0,3,30,35,1,2,12,0.673076923,173,0.0,0,0.458333333,0.328571429,1,5,11.07142857,5,1.3571,0,0.0
org.apache.poi.poifs.storage.BlockWritable,1,1,0,9,1,0,9,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0
org.apache.poi.util.IntegerField,11,1,0,7,17,9,4,3,11,0.25,85,1.0,0,0.0,0.522727273,0,0,6.545454545,1,0.6364,0,0.0
org.apache.poi.hssf.record.NameRecord,62,2,0,14,108,1491,5,10,56,0.957965532,1284,0.487179487,0,0.15942029,0.203629032,1,6,19.08064516,6,1.4032,0,0.0
org.apache.poi.poifs.filesystem.DocumentNode,9,2,0,9,17,30,3,7,6,0.75,55,1.0,1,0.529411765,0.4074074070000001,1,1,5.0,1,0.8889,0,0.0
org.apache.poi.hpsf.PropertySetFactory,2,1,0,6,8,1,0,6,2,2.0,28,0.0,0,0.0,0.5,0,0,13.0,1,0.5,1,0.03571428571428571
org.apache.poi.util.ShortField,11,1,0,5,21,9,2,3,11,0.25,92,1.0,0,0.0,0.454545455,0,0,7.181818182000001,1,0.6364,0,0.0
org.apache.poi.poifs.common.POIFSConstants,0,1,0,0,0,0,0,0,0,2.0,4,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0
org.apache.poi.hssf.record.formula.GreaterThanPtg,10,2,0,4,14,45,2,2,10,1.111111111,67,0.333333333,0,0.272727273,0.32,0,0,5.4,1,0.8,1,0.01492537313432836
org.apache.poi.hpsf.Section,12,1,0,7,30,48,2,5,9,0.818181818,322,1.0,2,0.0,0.5,0,0,25.25,4,1.4167,1,0.003105590062111801
org.apache.poi.hssf.model.Model,0,1,0,4,0,0,4,0,0,2.0,0,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0
org.apache.poi.poifs.filesystem.POIFSWriterEvent,5,1,0,5,6,2,3,2,4,0.75,36,1.0,2,0.0,0.36,0,0,5.4,1,0.8,0,0.0
org.apache.poi.poifs.storage.DocumentBlock,10,2,0,5,19,5,2,3,8,0.740740741,223,1.0,0,0.3,0.228571429,1,2,21.0,3,1.2,0,0.0
org.apache.poi.poifs.dev.POIFSViewEngine,4,1,0,2,24,4,1,1,2,0.333333333,146,1.0,0,0.0,0.466666667,0,0,35.25,3,1.25,0,0.0
org.apache.poi.hssf.record.RightMarginRecord,12,2,0,6,23,46,2,4,10,0.818181818,122,0.5,0,0.55,0.4,1,6,9.0,2,0.8333,0,0.0
org.apache.poi.poifs.property.DocumentProperty,7,2,0,6,14,9,5,2,5,0.5,48,1.0,1,0.848484848,0.342857143,0,0,5.714285714,1,0.7143,0,0.0
org.apache.poi.util.LittleEndianConsts,0,1,0,1,0,0,1,0,0,2.0,5,0.0,0,0.0,0.0,0,0,0.0,0,0.0,0,0.0
org.apache.poi.hssf.record.StringRecord,17,2,0,9,32,74,5,4,13,0.75,224,0.75,0,0.44,0.294117647,1,6,11.94117647,2,1.1176,0,0.0
org.apache.poi.hssf.record.formula.OperationPtg,5,2,18,21,6,10,20,1,5,1.25,13,0.0,0,0.636363636,0.6,0,0,1.0,1,0.8,0,0.0
org.apache.poi.util.LongField,11,1,0,5,21,9,2,3,11,0.25,92,1.0,0,0.0,0.454545455,0,0,7.181818182000001,1,0.6364,0,0.0
org.apache.poi.hssf.record.BOFRecord,22,2,0,8,35,169,5,3,20,0.946778711,316,0.352941176,0,0.3666666670000001,0.443181818,1,6,12.59090909,2,0.9091,1,0.0031645569620253164
org.apache.poi.poifs.storage.BigBlock,4,1,4,5,6,6,4,1,1,2.0,15,0.0,0,0.0,0.666666667,0,0,2.75,1,0.75,0,0.0
org.apache.poi.hssf.eventmodel.ModelFactoryListener,1,1,0,2,1,0,1,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0
org.apache.poi.poifs.storage.ListManagedBlock,1,1,0,13,1,0,13,0,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0
org.apache.poi.hssf.record.UnknownRecord,10,2,0,8,21,0,5,3,7,0.388888889,156,1.0,0,0.578947368,0.5,1,6,14.4,3,1.1,0,0.0
org.apache.poi.hpsf.SummaryInformation,19,3,0,4,29,171,1,3,19,1.0555555559999998,128,0.0,0,0.581395349,0.526315789,0,0,5.684210526,1,0.9474,1,0.0078125
org.apache.poi.poifs.eventfilesystem.POIFSReaderListener,1,1,0,4,1,0,3,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0,0.0
org.apache.poi.util.BitField,18,1,0,32,19,107,32,0,18,0.382352941,170,1.0,0,0.0,0.433333333,0,0,8.333333332999999,2,1.2222,0,0.0
org.apache.poi.util.BlockingInputStream,10,2,0,0,19,0,0,0,10,0.0,86,1.0,0,0.5,0.32,1,2,7.5,1,0.9,0,0.0
org.apache.poi.hssf.model.Workbook,84,1,0,87,269,2582,45,43,46,0.907321594,3213,1.0,4,0.0,0.16867469899999998,0,0,37.0952381,19,1.9286,1,0.00031123560535325237
org.apache.poi.hssf.record.formula.LessThanPtg,10,2,0,4,14,45,2,2,10,1.111111111,67,0.333333333,0,0.272727273,0.32,0,0,5.4,1,0.8,1,0.01492537313432836
org.apache.poi.poifs.filesystem.EntryNode,10,1,2,6,14,19,3,4,6,0.611111111,71,1.0,2,0.0,0.325,0,0,5.9,3,1.3,0,0.0
org.apache.poi.hpsf.PropertySet,22,1,1,14,56,197,4,10,16,0.8138528140000001,378,0.545454545,1,0.0,0.369047619,0,0,15.68181818,4,1.0455,1,0.002645502645502645
org.apache.poi.poifs.filesystem.BATManaged,2,1,0,5,2,1,5,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0
org.apache.poi.hssf.record.aggregates.ValueRecordsAggregate,14,2,0,8,34,41,1,7,12,0.711538462,225,0.0,0,0.458333333,0.28571428600000004,1,5,14.78571429,9,2.0,1,0.004444444444444445
org.apache.poi.hssf.record.PaletteRecord,13,2,0,8,32,52,4,4,11,0.933333333,1216,0.4,0,0.55,0.415384615,1,6,92.15384615,4,1.3846,1,0.0008223684210526315
org.apache.poi.hssf.record.Margin,2,1,0,5,2,1,5,0,2,2.0,2,0.0,0,0.0,0.75,0,0,0.0,1,1.0,0,0.0
org.apache.poi.hpsf.TypeReader,2,1,0,3,16,1,1,2,2,2.0,231,0.0,0,0.0,0.5,0,0,114.5,17,8.5,0,0.0
org.apache.poi.hssf.model.FormulaParser,54,1,0,32,140,651,3,29,7,0.766925638,1806,0.705882353,1,0.0,0.174004193,0,0,32.12962963,14,3.0556,1,0.0011074197120708748
