"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","6.65","6.74","3.11","6.48","4.64","2.56","94.4","2.65","2.25"
"ECLIPSE-2007","7.19","5.07","4.66","9.37","5.93","3.33","106.19","2.16","1.92"
"ECLIPSE-2007","[0.19,11.38]","[1.3,10.08]","[0.36,5.82]","[0.9,11.95]","[0.2,8.36]","[0.63,4.49]","[0,164.2]","[0.41,4.09]","[0.74,4.42]"
"Metrics-Repo-2010","58.23","21.08","23.07","31.06","26.78","19.61","119.23","75.36","230.25"
"Metrics-Repo-2010","103.31","30.56","33.12","43.24","34.8","26.06","357.16","398.61","1609.68"
"Metrics-Repo-2010","[38.97,98.6]","[14.09,31.42]","[15.93,33.59]","[23.53,48.29]","[19.65,37.42]","[14.32,28.24]","[48.17,242.83]","[20,343.96]","[14.22,1093.38]"
"JIRA-HA-2019","20.59","10.88","11.37","22.66","13.71","25.34","78.65","7.92","4.75"
"JIRA-HA-2019","54.63","38.59","35.93","49.92","30.94","85.75","183.28","13.02","7.6"
"JIRA-HA-2019","[10.87,65.81]","[4.22,36.14]","[5.11,33.93]","[13.68,61.88]","[8.21,37.3]","[9.89,93.45]","[41.11,171.79]","[5.41,16.61]","[3.22,8.46]"
"JIRA-RA-2019","21.99","8.25","7.48","40.67","13.48","12.84","6.81","12.82","6.18"
"JIRA-RA-2019","84.14","18.19","23.59","190.07","40.82","15.31","22.66","14.01","10.69"
"JIRA-RA-2019","[8.33,85.77]","[4.34,16.95]","[3.58,22.7]","[10.74,158.92]","[6.57,37.79]","[8.97,18.37]","[2.62,17.96]","[9.48,17.42]","[4.07,10.97]"
"MA-SZZ-2020","8.94","3.25","3.35","9.07","7.22","9.16","89.12","12.93","10.75"
"MA-SZZ-2020","8","3.91","3.05","8.34","6.05","12.35","360.47","25.18","15.55"
"MA-SZZ-2020","[7.96,10.01]","[2.82,3.94]","[2.95,3.78]","[8.08,10.31]","[6.42,8.12]","[7.89,11.55]","[54.21,162.15]","[10.35,18.46]","[9,13.23]"
"IND-JLMIV+R-2020","13.43","6.86","4.39","14.42","11.78","24.95","1029.47","10.96","232.29"
"IND-JLMIV+R-2020","22.62","35.75","9.15","26.22","29.1","88.79","15356.1","19.61","3835.71"
"IND-JLMIV+R-2020","[11.67,18.13]","[4.42,15.59]","[3.72,6.52]","[12.49,20.58]","[9.74,18.68]","[17.89,41.9]","[124.86,4621.18]","[9.42,14.68]","[8.4,1571.37]"
