"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","70.29","1.56","1.86","7.21","8.42","0","0.5","4.76"
"ECLIPSE-2007","96.72","2.54","2.53","9.24","14.2","0","0.71","7.66"
"ECLIPSE-2007","2.71","0.02","0.2","0.84","0","0","0.01","0"
"ECLIPSE-2007","129.75","3.05","3.38","12.87","16.7","0","0.94","9.3"
"Metrics-Repo-2010","34.29","4.21","39.5","57.44","6.39","9.08","45.79","44.42"
"Metrics-Repo-2010","74.87","5.91","113.41","124.79","9.16","26.76","99.77","87.53"
"Metrics-Repo-2010","21.61","2.95","20.06","33.9","4.48","4.27","27.36","27.9"
"Metrics-Repo-2010","68.73","6.21","88.65","107.52","9.49","19.83","83.65","77.63"
"JIRA-HA-2019","13.81","3.54","3.57","19.32","6.96","16.67","4.6","32.87"
"JIRA-HA-2019","14.13","7.77","10.16","43.01","6.6","67.21","4.83","128.55"
"JIRA-HA-2019","9.98","1.99","1.56","10.79","5.1","3.85","3.28","10.87"
"JIRA-HA-2019","18.81","8.43","9.13","43.26","9.3","66.87","6.38","135.27"
"JIRA-RA-2019","12.78","3.99","2.65","113.3","12.02","20.24","4.75","14.92"
"JIRA-RA-2019","15.76","7.31","4","657.1","22.55","66.42","7.47","24.03"
"JIRA-RA-2019","8.8","2.46","1.69","10.48","7.54","7.14","2.86","9.44"
"JIRA-RA-2019","18.24","7.47","4.42","518.09","22.85","58.26","7.73","24.95"
"MA-SZZ-2020","29.31","1.59","3.99","27.7","6.4","23.19","9.04","49.01"
"MA-SZZ-2020","54.62","3.09","5","86.45","6.65","41.18","17.51","142.69"
"MA-SZZ-2020","23.58","1.28","3.32","20","5.58","18.27","7.04","33"
"MA-SZZ-2020","40.23","2.23","4.93","57.79","7.46","29.88","11.88","75.03"
