"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","25.57","8.9","1.86","7.21","42.12","0","3.9","17.29"
"ECLIPSE-2007","20.36","14.94","2.53","9.24","72.31","0","6.26","29.37"
"ECLIPSE-2007","5.08","0.06","0.2","0.84","0","0","0.04","0"
"ECLIPSE-2007","39.14","17.6","3.38","12.87","83.99","0","7.59","34.36"
"Metrics-Repo-2010","151.6","14.75","39.5","57.44","33.16","35.33","430.92","89.27"
"Metrics-Repo-2010","394.45","23.02","113.41","124.79","100.64","130.31","2600.22","227.68"
"Metrics-Repo-2010","73.85","9.68","20.06","33.9","18.23","14.77","72.04","48.23"
"Metrics-Repo-2010","297.34","22.72","88.65","107.52","91.81","93.79","2479.63","186.7"
"JIRA-HA-2019","51.42","10.76","3.57","19.32","9.93","51.95","71.54","59.41"
"JIRA-HA-2019","116.75","25.49","10.16","43.01","10.54","200.43","202.08","110.63"
"JIRA-HA-2019","27.89","5.69","1.56","10.79","7.09","6.23","35.55","34.69"
"JIRA-HA-2019","121.49","26.66","9.13","43.26","13.92","165.58","238.86","108.29"
"JIRA-RA-2019","112.64","11.15","2.65","113.3","17.11","35.07","68.47","55.19"
"JIRA-RA-2019","440.88","18.39","4","657.1","33.06","116.9","178.7","124.77"
"JIRA-RA-2019","32.13","7.08","1.69","10.48","10.73","12.19","28.92","29.91"
"JIRA-RA-2019","477.24","19.2","4.42","518.09","33.93","102.11","153.02","127.97"
"MA-SZZ-2020","110.22","5.27","3.99","27.7","10.64","180.23","1387.45","162.26"
"MA-SZZ-2020","324.81","14.68","5","86.45","10.6","1291.06","15183.14","339.43"
"MA-SZZ-2020","77.98","4.01","3.32","20","9.31","78.28","187.81","121.62"
"MA-SZZ-2020","174.15","9.19","4.93","57.79","12.26","561.04","5808.52","210.09"
