"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.2","0.41","0.17","0.61","1.08","1","0","0.84","1.98"
"ECLIPSE-2007","1.08","0.54","0.14","0.55","0.98","0.51","0","0.95","2.87"
"ECLIPSE-2007","[0.52,2.44]","[0,0.75]","[0.04,0.26]","[0.15,0.97]","[0.29,1.71]","[0.64,1.59]","[0,0]","[0.11,1.45]","[0,3.73]"
"Metrics-Repo-2010","17.35","3.32","16.23","21.27","24.21","4.62","14.53","61.47","22.79"
"Metrics-Repo-2010","39.58","3.82","32.92","30.08","31.96","4.3","36.62","100.16","38.54"
"Metrics-Repo-2010","[11.17,39.26]","[2.56,4.56]","[10.1,29.44]","[14.64,30.53]","[17.77,34.35]","[3.72,6]","[7.6,29.53]","[39.14,92.36]","[14.4,37.39]"
"JIRA-HA-2019","6.46","1.59","1.85","9.24","7.12","3.46","13.68","33.22","12.56"
"JIRA-HA-2019","7.72","2.16","3.31","11.32","8.74","5.29","29.09","97.37","44.94"
"JIRA-HA-2019","[4.58,9.57]","[1.11,2.43]","[1.17,3.97]","[6.4,13.84]","[4.87,10.47]","[2.29,6.16]","[6.41,24.36]","[15.36,109.45]","[4.09,40.66]"
"JIRA-RA-2019","14.55","5.08","13.21","48.24","20.9","6.56","13.17","60.58","9.56"
"JIRA-RA-2019","38.24","20.37","67.95","251.54","72.71","17.35","30.93","154.46","19.46"
"JIRA-RA-2019","[7.85,44.91]","[1.43,18.88]","[1.84,48.25]","[8.38,241.2]","[8.57,66.06]","[3.46,19.96]","[5.74,26.41]","[30.13,144.62]","[5.8,21.28]"
"MA-SZZ-2020","4.77","4.63","1.98","8.23","5.85","6.56","3.83","77.2","5.39"
"MA-SZZ-2020","11.31","19.54","3.58","17.53","13.56","23.45","16.64","304.42","12.54"
"MA-SZZ-2020","[3.74,7.18]","[2.6,8.59]","[1.56,2.57]","[6.27,10.98]","[4.48,8.59]","[4.12,10.76]","[2.06,6.52]","[44.04,132.92]","[4.19,7.77]"
"IND-JLMIV+R-2020","20.47","8.33","6.06","36.45","30.45","15.49","27.85","77.57","11.24"
"IND-JLMIV+R-2020","35.2","27.14","36.11","150.19","114.01","34.84","87.13","276.34","12.06"
"IND-JLMIV+R-2020","[17.47,26.17]","[5.74,11.78]","[3.49,15.68]","[25.66,65.36]","[21.82,53.76]","[12.04,20.8]","[20.66,41.27]","[55.51,128.9]","[9.98,12.78]"
