"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","5.69","0.92","5.96","9.74","1.58","2.5","7.21","5.95"
"Metrics-Repo-2010","7.82","0.9","10.83","13.73","2.03","11.04","11.16","9.3"
"Metrics-Repo-2010","3.99","0.7","3.7","6.56","1.1","0","4.65","3.52"
"Metrics-Repo-2010","9.95","1.3","11.27","15.55","2.48","6.25","11.9","9.24"
"JIRA-HA-2019","6.7","0.59","5.74","15.69","3.82","14.58","3.24","11.66"
"JIRA-HA-2019","5.67","0.52","4.5","9.84","4.28","31.32","4.72","24.98"
"JIRA-HA-2019","5.22","0.44","4.31","12.53","2.65","6.25","2.13","5.16"
"JIRA-HA-2019","9.56","0.8","7.37","19.57","5.88","28.65","5.71","24.84"
"JIRA-RA-2019","6.45","0.42","4.63","21.17","3.23","25","2.16","14.4"
"JIRA-RA-2019","7.18","0.53","4.52","24.94","5.22","64.34","2.4","21.95"
"JIRA-RA-2019","4.39","0.3","3.35","14.01","2.05","9.38","1.46","8.84"
"JIRA-RA-2019","9.35","0.71","6.82","31.98","6.06","58.83","3.1","26.92"
"MA-SZZ-2020","6.61","1.11","63.62","63.4","8.48","45","2.44","14.59"
"MA-SZZ-2020","5.74","1.12","232.81","196.08","10.11","93.97","2.81","12.11"
"MA-SZZ-2020","5.11","0.8","18.77","24.92","6.01","25.5","1.85","11.23"
"MA-SZZ-2020","8.37","1.43","177.41","158.94","11.8","83.95","3.48","18.16"
