"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.57","0.75","3.28","8.03","6.24","2.78","22.22","2.37","1.93"
"ECLIPSE-2007","0.71","0.35","1.71","3.24","1.7","2.03","38.49","1.82","1.14"
"ECLIPSE-2007","[3.81,5.04]","[0.36,0.97]","[2.14,4.32]","[5.55,10.08]","[4.7,7.36]","[0.5,4.08]","[0,44.44]","[1.2,3.46]","[0.71,2.68]"
"Metrics-Repo-2010","7.73","4.96","22.25","28.41","23.03","9.47","21.02","74.13","40.84"
"Metrics-Repo-2010","7.38","7.52","51.36","51.99","32.72","14.42","70.83","175.65","91.78"
"Metrics-Repo-2010","[6.07,10.03]","[3.46,7.74]","[14.06,47.16]","[20.05,54]","[16.89,35.16]","[6.5,14.1]","[7.28,52.06]","[44.79,157.86]","[24.4,82.11]"
"JIRA-HA-2019","8.74","1.37","5.71","18.61","7.6","6.86","36.03","130.16","15.36"
"JIRA-HA-2019","9.86","1.49","7.85","22.29","7.93","6.14","56.52","561.04","16.26"
"JIRA-HA-2019","[6.02,12.64]","[1.01,2.03]","[3.77,9.66]","[13.33,27.33]","[5.7,10.4]","[5.3,9.54]","[21.79,55.38]","[35.79,568.65]","[11.07,21.98]"
"JIRA-RA-2019","6.82","0.94","3.74","13.18","6.46","5.7","32.79","29.96","10.48"
"JIRA-RA-2019","4.45","1.06","3.29","8.44","4.68","6.02","47.5","45.31","10.27"
"JIRA-RA-2019","[5.49,8.2]","[0.7,1.35]","[2.88,4.86]","[10.69,15.58]","[5.12,7.93]","[4.22,7.83]","[21.03,49.32]","[19.17,48.34]","[7.98,14.47]"
"MA-SZZ-2020","4.69","0.82","4.28","11.37","6.42","6.58","11.85","86.07","9.19"
"MA-SZZ-2020","4.33","0.75","4.76","12.23","5.63","10.09","35.63","454.7","9.62"
"MA-SZZ-2020","[4.14,5.33]","[0.72,0.94]","[3.73,5.12]","[9.89,13.35]","[5.66,7.27]","[5.55,8.32]","[7.8,17.98]","[49.34,203.95]","[7.97,10.64]"
"IND-JLMIV+R-2020","9.38","1.4","9.51","36.14","29.96","13.87","37.81","72.36","16.67"
"IND-JLMIV+R-2020","22.39","2.55","84.69","372.78","360.61","30.25","81.34","181.6","26.1"
"IND-JLMIV+R-2020","[7.8,14]","[1.21,1.87]","[4.4,33.81]","[13.79,165.61]","[8.63,114.51]","[11.64,20.51]","[29.45,49.75]","[56.78,99.74]","[14.03,20.14]"
