"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.89","2.17","13.3","29.82","12.2","5.34","66.67","24.76","20.61"
"ECLIPSE-2007","1.25","0.32","1.35","7.37","6.02","2.74","76.38","14.7","4.04"
"ECLIPSE-2007","[4.13,5.63]","[1.91,2.37]","[11.8,14.17]","[21.58,34.56]","[7.71,15.98]","[2.18,6.96]","[0,116.67]","[12.36,34.31]","[16.02,23.15]"
"Metrics-Repo-2010","9.05","5.83","16.2","25.46","19.01","8.91","24.12","107.46","33.32"
"Metrics-Repo-2010","9.49","5.49","16.44","23.31","19.32","10.46","83.77","311.9","45.84"
"Metrics-Repo-2010","[6.93,11.79]","[4.64,7.62]","[12.47,21.39]","[20.52,32.1]","[14.61,23.84]","[6.61,12.29]","[10.62,74.13]","[55.36,302.8]","[24.12,50.9]"
"JIRA-HA-2019","17.08","5.16","14.32","38.83","18.3","15.96","47.07","209.66","30.88"
"JIRA-HA-2019","24.38","5.59","26.06","68.02","26.34","16.73","103.4","562","36.38"
"JIRA-HA-2019","[11.6,28.89]","[3.82,7.37]","[8.73,26.12]","[25.26,80.52]","[12.23,29.29]","[11.77,22.39]","[24.28,96.28]","[93.29,506.2]","[22.95,48.28]"
"JIRA-RA-2019","13.39","3.33","21.54","80.64","14.16","8.63","46.07","41.66","15.09"
"JIRA-RA-2019","29.37","7.3","110.14","443.49","38.79","7.83","70.44","58.05","18.86"
"JIRA-RA-2019","[7.58,29.83]","[2.02,7.82]","[3.39,108.34]","[9.27,431.68]","[7.34,44.48]","[6.58,11.4]","[28.4,72.5]","[28.94,67.54]","[10.79,22.85]"
"MA-SZZ-2020","13.3","3.14","10.36","23.96","14.71","11.05","35.04","125.42","28.82"
"MA-SZZ-2020","16.48","8.45","11.16","25.62","14.47","11.01","70.33","429.05","41.46"
"MA-SZZ-2020","[11.38,15.94]","[2.33,4.96]","[9.12,12.1]","[20.99,28.16]","[12.92,17.04]","[9.66,12.7]","[26.61,46.29]","[82.95,210.27]","[23.7,35.47]"
"IND-JLMIV+R-2020","10.21","2.38","10.48","38.24","32.39","16.74","39.43","134.12","21.47"
"IND-JLMIV+R-2020","22.77","5.31","85.15","378.33","373.42","28.53","87.95","841.38","34.37"
"IND-JLMIV+R-2020","[8.62,16.75]","[1.91,3.21]","[5.25,34.63]","[15.48,127.66]","[10.02,120.46]","[14.48,22.52]","[31.54,53.63]","[65.88,324.3]","[18.22,26.27]"
