"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","17.13","2.43","9.37","18.33","6.15","137.62","11.98","25.49"
"ECLIPSE-2007","10.36","2.44","12.21","21.71","4.19","108.72","5.78","27.91"
"ECLIPSE-2007","5.87","0.66","0.95","2.12","2.15","74.85","5.76","8.29"
"ECLIPSE-2007","23.93","3.95","16.84","31.96","8.94","200.39","15.78","41.96"
"Metrics-Repo-2010","50.46","19.12","16.2","25.46","23.2","107.66","143.24","99.83"
"Metrics-Repo-2010","133.67","20.26","16.44","23.31","23.22","474.88","334.57","239.77"
"Metrics-Repo-2010","28.31","14.85","12.42","19.96","18.03","34.53","85.23","56.59"
"Metrics-Repo-2010","126.81","26.09","21.08","32.7","30.22","421.37","281.41","212.7"
"JIRA-HA-2019","34.57","14.19","14.26","39.01","22.12","76.94","83.43","44.45"
"JIRA-HA-2019","51.14","16.3","26.05","68","25.28","217.09","180.55","51.69"
"JIRA-HA-2019","23.04","10.23","8.18","26.1","15.82","34.97","44.52","31.14"
"JIRA-HA-2019","55.38","20.84","27.67","79.3","33.1","215.49","180.39","61.55"
"JIRA-RA-2019","98.06","8.97","22.68","84.32","11.67","91.46","56.33","76.3"
"JIRA-RA-2019","395.02","22.45","110.03","443.16","10.65","227.04","132.63","200.38"
"JIRA-RA-2019","16.8","4.97","4.25","12.39","8.63","45.86","29.27","40.51"
"JIRA-RA-2019","360.62","29.61","96.52","373.64","15.63","197.25","124.37","235.94"
"MA-SZZ-2020","390.37","8.03","10.97","25.99","24.34","405.3","58.21","126.14"
"MA-SZZ-2020","3806.85","9.57","12.76","24.28","29.65","1901.63","103.22","266.85"
"MA-SZZ-2020","106.8","6.85","9.43","23.11","21.31","233.32","45.28","100.72"
"MA-SZZ-2020","1444.03","9.42","12.87","29.6","30.09","823.61","73.96","182.24"
