"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","14.91","10.25","0.58","2.29","6.37","2.98","158.77","10.36","1.61"
"ECLIPSE-2007","17.25","14.76","0.75","2.83","8.39","3.25","275","17.43","1.99"
"ECLIPSE-2007","[1.9,34.48]","[0.41,27.23]","[0.1,1.02]","[0.48,5.55]","[0.7,11.48]","[0.98,4.9]","[0,317.54]","[0.27,30.48]","[0.26,3.9]"
"Metrics-Repo-2010","103.99","9.37","8.46","13.73","12.31","16.49","36.59","34.54","16.42"
"Metrics-Repo-2010","351.7","9.58","10.8","13.41","12.59","20.49","72.08","156.12","18.62"
"Metrics-Repo-2010","[42.38,262.63]","[7.28,12.51]","[6.23,11.85]","[10.72,17.65]","[9.43,16.26]","[11.92,22.98]","[22.2,62.68]","[12.67,134.97]","[12.2,21.83]"
"JIRA-HA-2019","33.56","18.11","1.82","11.43","9.71","10.19","37.44","12.5","6.96"
"JIRA-HA-2019","71.87","65.69","2.4","11.71","11.71","14.34","80.01","21.99","9.97"
"JIRA-HA-2019","[18.3,69.65]","[6.39,67.8]","[1.21,2.77]","[8.46,15.56]","[6.74,13.93]","[6.88,16.4]","[19.44,73.56]","[7.53,24.38]","[4.54,11.66]"
"JIRA-RA-2019","27.68","12.24","2.16","12.18","10.36","12.35","113.74","15.27","6.44"
"JIRA-RA-2019","44.52","26.52","2.55","15.33","12.5","13.23","446.27","28.69","7.42"
"JIRA-RA-2019","[18.06,46.14]","[7.42,30.48]","[1.5,3.16]","[9.15,20.52]","[7.51,15.83]","[8.72,16.9]","[37.28,441.61]","[9.56,31.68]","[4.57,9.33]"
"MA-SZZ-2020","4.26","2.83","0.88","3.65","3.3","2.95","6.34","39.3","36.19"
"MA-SZZ-2020","10.83","11.52","2.18","7.21","6.53","7.92","35.9","184.8","182.42"
"MA-SZZ-2020","[3.28,6.93]","[1.75,5.72]","[0.64,1.27]","[2.83,4.83]","[2.58,4.55]","[2.13,4.44]","[2.71,14.25]","[21.49,79.27]","[19.79,77.58]"
"IND-JLMIV+R-2020","10.81","4.97","0.92","10.81","11.88","8.08","19.87","9.09","7.39"
"IND-JLMIV+R-2020","13.62","17.39","3","24.69","42.11","9.58","62.01","10.78","12.24"
"IND-JLMIV+R-2020","[9.51,12.77]","[3.56,8.04]","[0.7,1.45]","[8.87,15.38]","[8.88,22.36]","[7.09,9.26]","[14.74,29.17]","[7.98,10.34]","[6.22,9.08]"
