"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","18.53","6.28","112.27","172.99","11.97","47.99","16.59","33.53"
"Metrics-Repo-2010","24.91","5.69","452.78","650.7","16.17","101.97","35.26","32.21"
"Metrics-Repo-2010","13.59","4.75","26.82","37.79","8.48","24.13","10.01","24.04"
"Metrics-Repo-2010","33.02","8.34","442.83","632.32","20.5","90.96","40.4","45.59"
"JIRA-HA-2019","9.64","3.05","3.7","12.44","8.54","33.59","3.81","10.5"
"JIRA-HA-2019","9.73","3.22","5.8","14.81","8.71","112.09","2.93","7.66"
"JIRA-HA-2019","6.94","2.16","2.39","8.96","5.97","9.38","2.94","7.91"
"JIRA-HA-2019","14.08","4.39","7.5","20.73","12.57","103.05","4.91","13.32"
"JIRA-RA-2019","9.46","1.96","3.94","15.12","7.39","27.6","2.84","10.37"
"JIRA-RA-2019","11.37","2.16","5.79","26.33","6.51","67.02","3.46","12.74"
"JIRA-RA-2019","6.37","1.33","2.48","9.32","5.62","9.77","1.95","7.12"
"JIRA-RA-2019","15.15","2.79","7.26","34.46","10.06","60.42","4.6","16.15"
"MA-SZZ-2020","17.24","4.73","375.88","187.85","16.77","74.59","24.74","313"
"MA-SZZ-2020","15.41","2.94","1611.33","715.31","17.51","89.9","38.28","703.53"
"MA-SZZ-2020","13.51","3.96","105.04","65.2","12.37","55.2","15.99","157.58"
"MA-SZZ-2020","22.66","5.64","1481.64","673.5","22.51","108.24","37.18","603.69"
