"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","21.67","1.7","1.7","4.69","2.04","6316.95","8.69","6.76"
"ECLIPSE-2007","30.48","1.33","2.69","7.22","1.67","6136.11","0.93","8.05"
"ECLIPSE-2007","3.68","0.44","0","0.01","0.28","217.39","8.06","0.86"
"ECLIPSE-2007","39.39","2.59","3.29","9.02","3.15","10407.47","9.25","11.79"
"Metrics-Repo-2010","169.96","18.44","15.48","22.43","12.21","75.73","172.99","185.15"
"Metrics-Repo-2010","790.9","23.7","20.56","21.9","12.32","178.8","527.29","384.69"
"Metrics-Repo-2010","48.01","13.4","11.5","17.75","9.35","40.39","82.95","111.11"
"Metrics-Repo-2010","607.22","27.07","23.36","29.25","16.26","142.79","437.58","336.33"
"JIRA-HA-2019","59.3","21.34","7.13","25.83","21.55","301.41","76.99","115.85"
"JIRA-HA-2019","229.2","43.13","8.44","27.08","22.08","1106.8","247.05","290.52"
"JIRA-HA-2019","19.98","12","5.08","19.43","16.49","88.47","34.6","59.45"
"JIRA-HA-2019","243.85","46.53","10.57","35.73","30.11","942.3","233.85","265.96"
"JIRA-RA-2019","64.53","362.75","13.25","43.02","20.24","124.34","103.45","92.16"
"JIRA-RA-2019","236.6","1898.01","54.96","179.63","26.27","191.26","313.76","269.44"
"JIRA-RA-2019","15.1","51.83","3.87","13.58","14.49","82.95","42.18","34.78"
"JIRA-RA-2019","202.58","1575.84","48.73","156.52","31.8","201.64","279.74","261.39"
"MA-SZZ-2020","27.85","11.54","6.06","26.25","16.61","253.96","34.89","54.66"
"MA-SZZ-2020","43.88","19.17","8.99","34.08","21.22","1991.04","94.43","178.35"
"MA-SZZ-2020","23.2","9.47","4.99","22.07","13.93","86.21","24.51","38.11"
"MA-SZZ-2020","35.6","15.01","7.51","31.47","19.86","874.83","51.49","92.25"
