"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.54","0.32","1.56","5.02","1.4","20","0.15","1.71"
"ECLIPSE-2007","1.68","0.25","1.66","5.05","0.98","34.64","0.12","0.78"
"ECLIPSE-2007","1.49","0.08","0.52","1.7","0.66","0","0.07","1.04"
"ECLIPSE-2007","3.54","0.49","2.55","8.06","2.02","40","0.22","2.21"
"Metrics-Repo-2010","6.56","2.82","7.6","11.76","4.47","16.89","6.46","17.74"
"Metrics-Repo-2010","9.19","3.17","11.17","13.9","5.5","30.3","7.6","19.54"
"Metrics-Repo-2010","4.76","2.08","5.28","8.69","3.29","10.32","4.96","13.23"
"Metrics-Repo-2010","9.76","3.8","11.02","15.59","6.39","26.91","8.93","23.54"
"JIRA-HA-2019","11.56","0.92","1.02","9.14","6.13","13.34","2.32","10.01"
"JIRA-HA-2019","28.03","0.94","1.29","16.28","10.39","28.77","2.28","16.23"
"JIRA-HA-2019","5.51","0.68","0.72","5.7","3.62","5.86","1.74","6.25"
"JIRA-HA-2019","27.08","1.29","1.54","18.01","10.32","24.35","3.16","17.35"
"JIRA-RA-2019","10.32","0.69","3.16","18.41","3.52","21.24","1.41","6.55"
"JIRA-RA-2019","36.78","0.76","11.85","66.71","3.19","47.86","1.54","6.32"
"JIRA-RA-2019","4.38","0.5","1.21","7.46","2.68","10.88","1.06","4.94"
"JIRA-RA-2019","33.8","0.99","10.63","60.22","4.68","43.37","2.09","8.8"
"MA-SZZ-2020","1.81","0.38","0.35","2.01","1.72","1.86","1.24","6.37"
"MA-SZZ-2020","4.32","0.87","0.69","3.22","3.54","9.22","1.73","10.32"
"MA-SZZ-2020","1.38","0.28","0.28","1.57","1.28","0.93","1.01","5.19"
"MA-SZZ-2020","2.91","0.54","0.47","2.45","2.29","3.68","1.52","8.04"
