"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","7.11","1.33","7.92","14.13","2.16","1.25","14.75","9.22"
"Metrics-Repo-2010","10.15","1.35","10.89","22.93","3.14","7.91","56.15","21.1"
"Metrics-Repo-2010","4.63","0.92","5.1","8.86","1.34","0","5.07","4.07"
"Metrics-Repo-2010","11.23","1.78","11.65","24.62","3.46","3.75","50.43","17.62"
"JIRA-HA-2019","24.48","1.31","1.68","11.23","4.32","3.12","8.99","46.42"
"JIRA-HA-2019","30.12","1.34","2.43","10.01","6.28","17.68","10.78","108.89"
"JIRA-HA-2019","16.39","0.92","1.06","8.19","2.77","0","5.83","20.07"
"JIRA-HA-2019","38.95","1.84","2.87","15.41","7.26","9.38","13.47","104.11"
"JIRA-RA-2019","6.22","0.43","0.87","4.56","1.25","0","0.76","4.42"
"JIRA-RA-2019","10.39","0.62","1.18","5.36","1.59","0","1.06","7.88"
"JIRA-RA-2019","3.62","0.26","0.56","2.99","0.84","0","0.48","2.56"
"JIRA-RA-2019","11.92","0.71","1.48","6.67","2.06","0","1.3","8.2"
"MA-SZZ-2020","58.84","0.77","19.36","39.84","2.31","16.49","5.14","56.91"
"MA-SZZ-2020","95.42","0.93","34.75","67.66","2.68","44.15","9.67","177.37"
"MA-SZZ-2020","37.72","0.54","11.14","25.47","1.66","7.34","2.92","15.14"
"MA-SZZ-2020","96.35","1.08","31.53","67.72","3.07","34.72","8.36","141.98"
