"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.96","2.09","3.11","6.48","4.64","1.48","50","3.29","6.5"
"ECLIPSE-2007","3.35","1.54","4.66","9.37","5.93","1.9","50","4.29","4.61"
"ECLIPSE-2007","[0.08,5.14]","[0.43,3.11]","[0.36,8.49]","[0.9,11.95]","[0.2,11.37]","[0.37,2.57]","[0,83.33]","[0.35,8.21]","[3.53,9.27]"
"Metrics-Repo-2010","10.26","5.55","23.07","31.06","26.78","6.83","16.6","29.8","46.43"
"Metrics-Repo-2010","10.12","7.11","33.12","43.24","34.8","8.7","31.07","70.46","128.79"
"Metrics-Repo-2010","[7.95,13.19]","[4.07,7.81]","[16.28,35.03]","[23.5,51.32]","[19.71,38.68]","[5.12,10.35]","[9.66,26.67]","[16.79,57.32]","[25.88,111.46]"
"JIRA-HA-2019","8.53","2.13","11.37","22.66","13.71","12.02","44.44","4.47","23.61"
"JIRA-HA-2019","11.13","3.61","35.93","49.92","30.94","23.11","85.36","6.36","40.02"
"JIRA-HA-2019","[5.98,13.81]","[1.39,4.05]","[5.02,37.3]","[13.57,59.76]","[8.18,33.53]","[6.84,23.1]","[23.5,79.49]","[3.1,8]","[14.14,42.56]"
"JIRA-RA-2019","9.81","2.86","7.48","40.67","13.48","9.76","5.95","4.57","12.93"
"JIRA-RA-2019","27.96","5.46","23.59","190.07","40.82","10.6","19.76","6.33","19.98"
"JIRA-RA-2019","[5.19,26.71]","[1.64,5.45]","[3.54,22.73]","[10.64,161.33]","[6.74,44.98]","[7.09,13.71]","[1.19,13.1]","[3.22,7.15]","[8.43,21.38]"
"MA-SZZ-2020","5.04","1.23","3.35","9.07","7.22","6.38","20.89","5.57","33.04"
"MA-SZZ-2020","5.02","1.34","3.05","8.34","6.05","8.73","43.5","7.82","96.13"
"MA-SZZ-2020","[4.37,5.78]","[1.05,1.41]","[2.98,3.81]","[8.04,10.26]","[6.49,8.1]","[5.5,8.09]","[15.62,27.43]","[4.67,6.91]","[23.27,52.77]"
"IND-JLMIV+R-2020","5.87","0.82","2.66","9.13","7.81","7.43","20.27","6.32","22.12"
"IND-JLMIV+R-2020","6.79","0.9","2.97","10.34","8.89","9.37","47.25","5.22","28.86"
"IND-JLMIV+R-2020","[4.79,7.47]","[0.67,1.01]","[2.19,3.4]","[7.45,11.62]","[6.44,10.07]","[5.95,9.71]","[13.98,32.43]","[5.49,7.6]","[17.07,28.25]"
