"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.2","0.41","0.17","0.61","1.08","1","0","0.51","1.61"
"ECLIPSE-2007","1.08","0.54","0.14","0.55","0.98","0.51","0","0.46","2.06"
"ECLIPSE-2007","[0.52,2.12]","[0,0.75]","[0.04,0.26]","[0.15,0.97]","[0.29,1.71]","[0.64,1.32]","[0,0]","[0.23,0.78]","[0,2.92]"
"Metrics-Repo-2010","17.35","3.32","16.23","21.27","24.21","4.62","14.53","13.84","18.58"
"Metrics-Repo-2010","39.58","3.82","32.92","30.08","31.96","4.3","36.62","21.08","32.91"
"Metrics-Repo-2010","[11.11,39.2]","[2.55,4.56]","[10.15,29.45]","[14.65,30.53]","[17.74,34.39]","[3.71,6]","[7.6,29.53]","[9.52,20.89]","[12.17,30.76]"
"JIRA-HA-2019","6.46","1.59","1.85","9.24","7.12","3.46","13.68","2.61","6.46"
"JIRA-HA-2019","7.72","2.16","3.31","11.32","8.74","5.29","29.09","4.05","13.75"
"JIRA-HA-2019","[4.58,9.57]","[1.11,2.43]","[1.17,3.73]","[6.4,13.84]","[4.86,10.46]","[2.28,6.16]","[6.41,24.52]","[1.79,4.58]","[3.96,16.64]"
"JIRA-RA-2019","14.55","5.08","13.21","48.24","20.9","6.56","13.17","3.63","11.04"
"JIRA-RA-2019","38.24","20.37","67.95","251.54","72.71","17.35","30.93","6.53","23.98"
"JIRA-RA-2019","[7.9,44.74]","[1.43,18.88]","[1.85,48.25]","[8.42,241.2]","[8.66,66.9]","[3.47,19.96]","[5.57,26.41]","[2.28,7.59]","[6.57,26.01]"
"MA-SZZ-2020","4.77","4.63","1.98","8.23","5.85","6.56","3.83","1.9","6.07"
"MA-SZZ-2020","11.31","19.54","3.58","17.53","13.56","23.45","16.64","4.74","10.07"
"MA-SZZ-2020","[3.74,7.18]","[2.6,8.59]","[1.56,2.57]","[6.28,10.99]","[4.47,8.59]","[4.12,10.76]","[2.06,6.53]","[1.4,2.8]","[4.82,7.68]"
"IND-JLMIV+R-2020","20.47","8.33","6.06","36.45","30.45","15.49","27.85","3.98","17.14"
"IND-JLMIV+R-2020","35.2","27.14","36.11","150.19","114.01","34.84","87.13","4.98","24.24"
"IND-JLMIV+R-2020","[17.48,26.17]","[5.75,11.81]","[3.5,15.65]","[25.67,65.29]","[21.87,53.8]","[12.04,20.8]","[20.66,41.25]","[3.45,4.63]","[14.87,21.13]"
