"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","9.98","2.24","3.28","8.03","6.24","4.49","30.08","2.31","1.43"
"ECLIPSE-2007","1.57","1.14","1.71","3.24","1.7","3.28","52.1","2.63","2.47"
"ECLIPSE-2007","[8.35,11.02]","[1.01,2.99]","[2.14,4.32]","[5.55,10.08]","[4.7,7.36]","[0.81,6.58]","[0,60.16]","[0.44,3.94]","[0,2.85]"
"Metrics-Repo-2010","38.06","16.99","22.25","28.41","23.03","21.78","55.64","91.89","109.21"
"Metrics-Repo-2010","62.66","29.92","51.36","51.99","32.72","28.48","211.55","148.19","185.4"
"Metrics-Repo-2010","[26.56,61.52]","[11.24,28.32]","[13.95,47.08]","[20.08,54.35]","[16.79,35.15]","[15.56,30.16]","[14.59,157.99]","[62.96,150.17]","[70.57,174.62]"
"JIRA-HA-2019","13.29","3.41","5.71","18.61","7.6","8.6","71.63","45.65","50.67"
"JIRA-HA-2019","14.95","3.71","7.85","22.29","7.93","7.45","169.55","83.51","65.92"
"JIRA-HA-2019","[9.25,19.29]","[2.5,5.02]","[3.77,9.66]","[13.33,27.33]","[5.7,10.4]","[6.63,11.5]","[38.53,173.05]","[28.08,87.51]","[34.9,77.03]"
"JIRA-RA-2019","10.1","2.31","3.74","13.18","6.46","7.09","72.13","28.29","40.38"
"JIRA-RA-2019","6.03","2.76","3.29","8.44","4.68","7.68","155.96","46.95","83.7"
"JIRA-RA-2019","[8.27,11.89]","[1.72,3.54]","[2.88,4.87]","[10.69,15.58]","[5.12,7.91]","[5.15,9.76]","[39.23,149.47]","[17.73,49.13]","[23.74,89.2]"
"MA-SZZ-2020","8.6","2.05","4.28","11.37","6.42","8.59","25.38","87.47","117.95"
"MA-SZZ-2020","8.21","1.98","4.76","12.23","5.63","12.74","121.27","433.31","292.93"
"MA-SZZ-2020","[7.61,9.91]","[1.8,2.36]","[3.73,5.12]","[9.89,13.35]","[5.66,7.27]","[7.32,11.03]","[14.45,54.4]","[46.37,177.67]","[81.63,170.59]"
"IND-JLMIV+R-2020","18.03","3.87","9.51","36.14","29.96","22.33","149.99","85.47","119.07"
"IND-JLMIV+R-2020","95.07","11.07","84.69","372.78","360.61","120.46","899.06","787.54","244.26"
"IND-JLMIV+R-2020","[11.98,39.84]","[3.14,6.23]","[4.4,33.81]","[13.79,165.61]","[8.63,114.51]","[14.69,51.5]","[84.81,329.27]","[36.05,267.78]","[96.2,153.36]"
