"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","8","0.9","0.6","1.9","1.1","1.8","111.4","2.6","1.4"
"ECLIPSE-2007","9.2","0.8","0.3","0.9","1.2","1.1","121.1","0.9","1.7"
"ECLIPSE-2007","[1.9,13.5]","[0.1,1.4]","[0.3,0.8]","[1.1,2.5]","[0.1,2.5]","[0.6,2.5]","[0,191.5]","[1.9,3.6]","[0,2.5]"
"Metrics-Repo-2010","60.7","8.3","7.2","11.5","10.9","11","43","94.3","121.2"
"Metrics-Repo-2010","184.2","9.4","11.1","14.6","13.2","14.1","96.6","250.6","470.2"
"Metrics-Repo-2010","[26.8,133.3]","[6.2,11]","[4.7,10.7]","[8,15.4]","[8,14.9]","[8.2,16]","[24.6,76.5]","[44.2,182]","[36.9,378.4]"
"JIRA-HA-2019","12.3","2.1","1.1","9.2","8.6","7.2","13.3","19","14.8"
"JIRA-HA-2019","24.3","2","1.2","13.2","18.2","11.1","34.5","29","17.8"
"JIRA-HA-2019","[7.1,24.9]","[1.6,2.9]","[0.7,1.5]","[6.1,15.5]","[4.5,17.8]","[4.7,12.2]","[5.2,27.2]","[11.7,30.3]","[10.5,22]"
"JIRA-RA-2019","10.2","1.3","1.8","9.6","7.1","3.9","41.8","11.1","35.7"
"JIRA-RA-2019","16.6","1.7","2.6","12","13","3.8","136.5","17.1","82.9"
"JIRA-RA-2019","[6.5,16.9]","[1,2.3]","[1.3,2.9]","[6.9,14.4]","[4.6,14.5]","[3.1,5.4]","[15.9,131.9]","[7.5,18.6]","[19.8,82.2]"
"MA-SZZ-2020","1","0.3","0.3","1.5","0.9","0.8","27.6","3.4","15.3"
"MA-SZZ-2020","1.6","0.8","0.6","2.6","1.6","1.6","227.5","6.1","54.1"
"MA-SZZ-2020","[0.8,1.2]","[0.2,0.5]","[0.2,0.4]","[1.1,1.8]","[0.7,1.2]","[0.6,1.1]","[9,97.1]","[2.7,4.4]","[10,28.5]"
"IND-JLMIV+R-2020","3.6","0.8","0.5","4.4","3.2","3.8","76.5","2.2","20.5"
"IND-JLMIV+R-2020","7.3","1.6","1.2","8.1","6.2","6.7","409.2","3.4","147.1"
"IND-JLMIV+R-2020","[2.6,5.2]","[0.6,1.2]","[0.3,0.8]","[3.1,6.5]","[2.3,4.7]","[2.7,5.3]","[24.6,210.1]","[1.7,3.1]","[5.5,78.7]"
