"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","6.8","1.2","1.3","3.7","4.1","5.2","491","9.3","6.2"
"ECLIPSE-2007","3.4","1.3","0.2","0.6","1","1","672.2","4.9","1.7"
"ECLIPSE-2007","[4.3,8.9]","[0.1,2]","[1.1,1.4]","[3.1,4.1]","[3.4,4.7]","[4.2,5.9]","[95.1,1267.1]","[6,12.2]","[4.2,7.2]"
"Metrics-Repo-2010","55.6","13.1","9.1","15","14.1","15.4","155.9","764","88.4"
"Metrics-Repo-2010","154.7","13.2","9.4","12.8","13.1","16.5","542.4","3576.4","126.5"
"Metrics-Repo-2010","[27.2,120.6]","[10.1,17.1]","[7.1,12]","[12.1,18.7]","[11.3,18.7]","[11.6,19.9]","[68.6,505.8]","[149.5,2695]","[60.7,130.1]"
"JIRA-HA-2019","9","3.6","2.7","11.2","8.4","10.7","52.4","329.4","116.3"
"JIRA-HA-2019","8.4","2.9","2.5","9.5","8.7","13.9","89.3","1789.1","281.9"
"JIRA-HA-2019","[6.7,12.4]","[2.9,4.7]","[2,3.7]","[8.7,14.6]","[6.4,12.5]","[7.1,16.4]","[29.4,89.4]","[35.7,1495.4]","[54.5,253]"
"JIRA-RA-2019","8.2","2.7","2.7","9.8","6.5","10.7","194.2","43.6","65.6"
"JIRA-RA-2019","6.6","3.9","3.2","10.2","5.4","9.3","506.7","119.4","103.9"
"JIRA-RA-2019","[6.4,10.4]","[1.9,4.6]","[1.9,3.9]","[6.9,13.2]","[5,8.3]","[8.3,13.7]","[95,480.3]","[21.1,118.4]","[45.3,121.8]"
"MA-SZZ-2020","4.3","0.5","1","6.4","3.3","2.3","14.6","5.7","13.5"
"MA-SZZ-2020","5.3","0.8","1.2","8","3.8","3.3","94.3","10.8","31.8"
"MA-SZZ-2020","[3.6,5]","[0.4,0.6]","[0.9,1.2]","[5.4,7.6]","[2.8,3.8]","[1.9,2.8]","[5.2,33.7]","[4.5,7.6]","[10.4,20.2]"
"IND-JLMIV+R-2020","7.1","1.5","1.5","9.3","5.3","8.7","215.8","6.6","15.3"
"IND-JLMIV+R-2020","7.2","2.2","2.3","8.9","5.2","13.1","1543","10.4","20.8"
"IND-JLMIV+R-2020","[5.9,8.6]","[1.2,2.1]","[1.2,2.2]","[7.8,11.3]","[4.4,6.4]","[6.8,12.2]","[22.3,870.3]","[5.1,9.3]","[12.2,20.8]"
