"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","196.3","5.74","1.53","5.85","4","5.01","1.3","13.57","5.67"
"ECLIPSE-2007","302.65","1.73","0.4","0.72","0.9","0.53","0.1","1.8","0.93"
"ECLIPSE-2007","[15.96,372.88]","[3.76,6.81]","[1.22,1.78]","[5.35,6.29]","[3.4,4.55]","[4.41,5.35]","[1.19,1.36]","[11.59,14.74]","[4.6,6.25]"
"Metrics-Repo-2010","128.13","22.13","63.75","76.7","50.81","60.58","36.33","201.19","116.52"
"Metrics-Repo-2010","419.8","28.57","135.68","142.57","125.9","141.63","86.04","720.02","460.3"
"Metrics-Repo-2010","[63.08,356.19]","[16.31,30.77]","[38.78,119.21]","[50.71,138.31]","[28.37,103.6]","[34.82,125.44]","[21.49,78.5]","[73.64,525.39]","[44.7,461.86]"
"JIRA-HA-2019","53.49","13.04","2.47","17.73","11.69","14.79","3.38","63.93","56.6"
"JIRA-HA-2019","99.5","9.3","1.74","14.68","8.86","11.22","4.04","53.1","100.06"
"JIRA-HA-2019","[31.51,106.11]","[10.4,16.07]","[1.97,3.02]","[13.22,22.47]","[9.23,14.95]","[11.65,18.74]","[2.46,5.49]","[51.27,84.22]","[35.1,108.33]"
"JIRA-RA-2019","32.18","8.81","2.4","14.15","9.31","11.13","6.95","67.25","77.68"
"JIRA-RA-2019","73.53","8","2.43","13.23","8.75","9.12","20.18","145.44","200.87"
"JIRA-RA-2019","[18.37,72.53]","[6.8,11.76]","[1.77,3.23]","[10.62,19.18]","[6.94,12.22]","[8.65,13.98]","[2.76,19.12]","[37.83,148.36]","[33.95,177.25]"
"MA-SZZ-2020","11.62","3.51","2.56","6.64","4.37","4.88","11.14","27.14","39.41"
"MA-SZZ-2020","24.59","4.08","3.13","6.71","4.6","4.65","116.62","76.06","74.09"
"MA-SZZ-2020","[9.05,17.97]","[2.93,4.17]","[2.09,3.11]","[5.52,7.73]","[3.62,5.11]","[4.22,5.71]","[1.77,66.71]","[18.83,44.6]","[30.48,53.85]"
"IND-JLMIV+R-2020","41.83","5.6","2.15","68.89","111.33","9.58","44.79","60.84","58.63"
"IND-JLMIV+R-2020","111.22","5.9","3","332.3","608.97","9.96","218.16","116.24","87.52"
"IND-JLMIV+R-2020","[28.62,92.62]","[4.63,6.93]","[1.69,3.14]","[25.19,173.15]","[31.26,294.92]","[8.07,11.66]","[20.1,132.4]","[42.52,91.18]","[46.61,83.05]"
