"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.28","1.41","2.23","5.14","2.98","0.46","0","2.78","4.86"
"ECLIPSE-2007","0.29","0.2","0.13","0.83","0.74","0.04","0","0.09","0.63"
"ECLIPSE-2007","[0.98,1.47]","[1.19,1.54]","[2.1,2.31]","[4.2,5.56]","[2.15,3.45]","[0.41,0.49]","[0,0]","[2.7,2.84]","[4.5,5.59]"
"Metrics-Repo-2010","11.08","6.64","109.88","119.58","59.04","7.71","12.87","13.27","14.04"
"Metrics-Repo-2010","11.89","6.91","475.06","479.46","185.97","11.81","57.22","17.1","15.16"
"Metrics-Repo-2010","[8.38,14.75]","[5.07,8.85]","[40.32,351.61]","[50.96,434.84]","[31.52,156.58]","[5.56,11.83]","[3.51,43.35]","[9.72,18.25]","[10.79,18.69]"
"JIRA-HA-2019","5.72","4.9","5.42","14.9","9.76","8.03","0","7.97","14.41"
"JIRA-HA-2019","8.98","4.16","4.13","12.5","6.41","7.32","0","7.34","13.74"
"JIRA-HA-2019","[3.58,10.13]","[3.84,6.43]","[4.29,6.88]","[11.62,19.52]","[7.8,11.84]","[5.99,10.85]","[0,0]","[5.99,10.88]","[10.83,19.54]"
"JIRA-RA-2019","5","4.44","4.26","13.12","7.48","6.91","0","7.1","13.19"
"JIRA-RA-2019","5.05","5.18","5.32","13.39","8.07","6.36","0","6.8","15.93"
"JIRA-RA-2019","[3.66,6.8]","[3.24,7.01]","[2.98,6.46]","[9.25,17.91]","[5.34,10.23]","[5.12,9.05]","[0,0]","[5.09,9.23]","[9.87,20.41]"
"MA-SZZ-2020","2.18","1.36","2.71","5.77","3.82","2.79","0.57","2.6","5.85"
"MA-SZZ-2020","2.17","1.5","3.18","6.12","4.16","2.58","3.87","3.05","6.85"
"MA-SZZ-2020","[1.86,2.53]","[1.16,1.65]","[2.25,3.22]","[4.85,6.75]","[3.24,4.5]","[2.44,3.23]","[0.16,1.47]","[2.12,3.07]","[4.87,7.03]"
"IND-JLMIV+R-2020","22.65","2.36","4.36","12.83","11.82","15.75","18.46","6.45","18.06"
"IND-JLMIV+R-2020","31.47","2.27","3.61","8.59","14.78","22.44","73.49","4.26","15.36"
"IND-JLMIV+R-2020","[19.51,27.09]","[2.12,2.66]","[3.98,4.78]","[11.92,13.93]","[10.43,13.89]","[13.45,18.7]","[11.95,30.58]","[5.96,6.95]","[16.43,20.05]"
