"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.59","1.87","2.56","6.18","4.14","1.16","0","3.91","5"
"ECLIPSE-2007","0.73","0.52","0.42","0.3","0.3","0.48","0","0.51","0.5"
"ECLIPSE-2007","[0.76,2.03]","[1.27,2.18]","[2.19,2.83]","[5.88,6.38]","[3.84,4.34]","[0.63,1.47]","[0,0]","[3.34,4.24]","[4.48,5.33]"
"Metrics-Repo-2010","11.74","7.66","86.11","95.84","51.24","7.59","0","13.68","14.76"
"Metrics-Repo-2010","12.25","7.29","334.27","336.93","151.68","10.51","0","16.78","14.34"
"Metrics-Repo-2010","[8.96,15.19]","[6,9.97]","[37.82,314.1]","[46.54,344.13]","[28.6,121.97]","[5.71,11.55]","[0,0]","[10.45,19.53]","[11.52,18.94]"
"JIRA-HA-2019","4.74","5.16","4.82","16.49","10.1","9.46","0","8.78","16.25"
"JIRA-HA-2019","6.11","4.03","3.69","13.81","7.4","8.21","0","7.6","16.22"
"JIRA-HA-2019","[3.39,7.49]","[4.06,6.55]","[3.76,6.18]","[12.65,21.28]","[7.98,12.55]","[7.25,12.46]","[0,0]","[6.72,11.72]","[12.03,22.76]"
"JIRA-RA-2019","4.71","3.8","3.6","13.53","7.73","6.96","0.83","7.47","11.59"
"JIRA-RA-2019","5.98","3.39","3.36","13","7.66","5.94","5.27","6.62","10.72"
"JIRA-RA-2019","[3.32,7.21]","[2.93,4.98]","[2.69,4.85]","[9.9,17.94]","[5.66,10.29]","[5.26,9.02]","[0,2.5]","[5.58,9.82]","[8.48,15.22]"
"MA-SZZ-2020","2.47","1.32","2.63","5.54","4","2.9","1.78","2.56","4.29"
"MA-SZZ-2020","2.35","1.64","3.39","6.52","4.43","2.93","10.7","3.18","5.58"
"MA-SZZ-2020","[2.11,2.87]","[1.07,1.6]","[2.16,3.27]","[4.63,6.59]","[3.37,4.8]","[2.5,3.36]","[0.52,4.22]","[2.07,3.09]","[3.59,5.29]"
"IND-JLMIV+R-2020","24.76","2.31","4","11.12","13.1","13.33","8.29","6.31","16.49"
"IND-JLMIV+R-2020","31.02","2.31","4.17","8.44","15.25","15.94","33.3","4.16","11.26"
"IND-JLMIV+R-2020","[21.49,28.38]","[2.06,2.57]","[3.57,4.52]","[10.22,12.09]","[11.66,14.98]","[11.7,15.25]","[5.12,13.08]","[5.84,6.75]","[15.25,17.84]"
