"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.77","1.66","1.55","5.87","4","0.6","0","2.11","4.2"
"ECLIPSE-2007","0.92","0.41","0.18","0.51","0.66","0.83","0","1.3","1.18"
"ECLIPSE-2007","[4.01,5.49]","[1.29,1.93]","[1.42,1.66]","[5.55,6.17]","[3.59,4.77]","[0.05,1.1]","[0,0]","[1.1,2.93]","[3.46,4.9]"
"Metrics-Repo-2010","13.32","7.7","54.25","65.2","29.97","8.29","1.17","14.2","15.89"
"Metrics-Repo-2010","15.31","8.31","138.28","142.39","46.62","12.12","8.83","15.1","18.9"
"Metrics-Repo-2010","[10.12,18.06]","[5.95,10.39]","[32.57,139.38]","[39.74,134.79]","[22.08,50.4]","[5.91,12.08]","[0,3.51]","[10.66,18.6]","[12.31,22.57]"
"JIRA-HA-2019","9.33","5.37","3.35","16.45","11.18","8.64","0.64","9.33","18.15"
"JIRA-HA-2019","10.9","4.11","2.42","14.45","8.45","7.14","4","7.39","25.54"
"JIRA-HA-2019","[6.43,13.29]","[4.22,6.73]","[2.73,4.12]","[12.36,21.22]","[8.94,14.5]","[6.65,11.1]","[0,1.92]","[7.21,11.85]","[12.86,31.07]"
"JIRA-RA-2019","6.43","3.7","3.51","14.15","8.76","5.78","0","5.85","11.83"
"JIRA-RA-2019","7.4","3.92","5.14","13.17","8.01","5.19","0","5.24","9.53"
"JIRA-RA-2019","[4.62,9.35]","[2.54,5.08]","[2.49,6.69]","[10.23,18.25]","[6.57,11.77]","[4.27,7.49]","[0,0]","[4.33,7.58]","[9.07,14.92]"
"MA-SZZ-2020","2.6","1.7","2.5","6.67","4.34","2.61","0.72","2.44","4.68"
"MA-SZZ-2020","2.71","4.93","2.85","7.19","4.55","2.78","8","3.09","7.62"
"MA-SZZ-2020","[2.2,3.06]","[1.23,4.66]","[2.09,2.98]","[5.55,7.82]","[3.66,5.15]","[2.21,3.11]","[0,3.14]","[2.01,2.99]","[3.78,6.22]"
"IND-JLMIV+R-2020","17.31","2.71","3.57","13.97","10.85","13.36","18.14","6.36","16.41"
"IND-JLMIV+R-2020","22.27","5.46","3.21","9.22","10.55","15.82","81.91","4.72","12.5"
"IND-JLMIV+R-2020","[15.19,20.16]","[2.29,3.7]","[3.22,3.96]","[12.94,15.02]","[9.68,12.09]","[11.8,15.47]","[11.07,30.89]","[5.84,6.93]","[15.13,18.09]"
