"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","40.66","6.17","1.55","5.87","4","4.74","1.3","19.41","6.68"
"ECLIPSE-2007","42.91","0.8","0.18","0.51","0.66","0.71","0.1","8.5","1.35"
"ECLIPSE-2007","[14.04,90.16]","[5.7,6.63]","[1.42,1.75]","[5.55,6.45]","[3.59,4.44]","[4.13,5.21]","[1.19,1.36]","[11.7,25.02]","[5.28,7.58]"
"Metrics-Repo-2010","96.41","37.4","54.25","65.2","29.97","37.84","26.08","57.54","31.38"
"Metrics-Repo-2010","241.76","73.69","138.28","142.39","46.62","47.16","71.07","111.59","62.17"
"Metrics-Repo-2010","[54.23,196.34]","[25.12,67.97]","[31.65,131.95]","[41.16,134.41]","[21.92,48.89]","[27.08,51.59]","[15.46,60.8]","[37.6,105.68]","[18.43,53.8]"
"JIRA-HA-2019","21.88","13.44","3.35","16.45","11.18","14.01","7.56","75.06","41.66"
"JIRA-HA-2019","22.39","10.1","2.42","14.45","8.45","10.34","19.09","95.62","47.23"
"JIRA-HA-2019","[15.99,30.68]","[10.5,16.67]","[2.62,4.22]","[12.26,21.23]","[9,14.04]","[11.26,17.38]","[3.98,18.61]","[51.9,115.3]","[29.27,58.25]"
"JIRA-RA-2019","14.45","9.73","3.51","14.15","8.76","10.39","3.33","59.48","67.94"
"JIRA-RA-2019","16.37","11.22","5.14","13.17","8.01","8.97","3.66","134.63","231.15"
"JIRA-RA-2019","[10,19.72]","[6.92,13.87]","[2.52,6.2]","[10.69,18.77]","[6.49,11.4]","[7.98,13.67]","[2.37,4.68]","[34.68,141.3]","[28.7,243.29]"
"MA-SZZ-2020","12.76","4.75","2.5","6.67","4.34","4.91","10.27","30.81","35.14"
"MA-SZZ-2020","27.01","16.79","2.85","7.19","4.55","5.43","79.01","98.52","104.95"
"MA-SZZ-2020","[9.5,18.18]","[3.21,9.04]","[2.09,3]","[5.61,7.89]","[3.67,5.13]","[4.05,5.79]","[3.43,40.6]","[19.94,53.18]","[22.92,57.09]"
"IND-JLMIV+R-2020","12.41","5.68","3.19","13.13","6.52","7.86","9.16","38.89","54.68"
"IND-JLMIV+R-2020","30.89","5.7","2.94","9.01","5.4","6.8","37.9","92.06","74.64"
"IND-JLMIV+R-2020","[8.95,23.88]","[4.78,7.04]","[2.72,3.85]","[11.43,14.92]","[5.52,7.67]","[6.72,9.19]","[4.5,21.76]","[28.31,79.08]","[43.59,75.11]"
