"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","71.11","8.6","2.63","8.13","5.59","7.45","32.83","48.53","9.51"
"ECLIPSE-2007","59.28","1.54","0.52","1.09","1.16","0.17","47.23","12.1","0.96"
"ECLIPSE-2007","[14.94,110.49]","[6.83,9.52]","[2.17,2.97]","[7.2,8.84]","[4.8,6.3]","[7.28,7.56]","[3.69,87.32]","[36.69,56.59]","[8.9,10.08]"
"Metrics-Repo-2010","146.73","28.84","35.24","44.7","29.62","45.41","299.26","221.26","85.05"
"Metrics-Repo-2010","459.3","27.33","57.24","58.55","25.87","57.01","1930.85","687.2","244.5"
"Metrics-Repo-2010","[76.46,404.3]","[22.65,36.31]","[23.65,55.71]","[32.89,64.17]","[23.17,36.82]","[35.51,71.19]","[39.29,1583.51]","[106.05,569.56]","[40.56,201.98]"
"JIRA-HA-2019","21.67","13.03","2.71","17.6","12.58","13.57","20.57","309.59","34.69"
"JIRA-HA-2019","21.2","9.9","2.84","15.71","12.86","12.56","91.58","1439.47","62.81"
"JIRA-HA-2019","[15.85,29.42]","[10.33,16.33]","[1.98,3.79]","[13.75,23.82]","[9.35,17.33]","[10.19,18.26]","[5.35,78.45]","[62.84,1224.36]","[21.92,67.87]"
"JIRA-RA-2019","22.14","10.6","4.27","19.93","13.15","15.83","10.8","69.34","54.2"
"JIRA-RA-2019","18.77","8.99","3.81","15.77","10.29","11.51","23.19","158.34","56.89"
"JIRA-RA-2019","[16.55,28.21]","[8.18,13.59]","[3.29,5.47]","[14.82,24.62]","[10.38,16.6]","[12.22,19.25]","[5.58,20.54]","[40.44,174.63]","[39.84,74.52]"
"MA-SZZ-2020","4.87","1.82","2.02","8.28","3.74","5.31","8.73","5.83","10.08"
"MA-SZZ-2020","6.4","2.65","2.34","8.69","5.47","9.33","26.97","8.86","18.08"
"MA-SZZ-2020","[3.97,5.92]","[1.46,2.32]","[1.67,2.43]","[6.92,9.61]","[2.98,4.77]","[4.18,7.11]","[5.12,13.92]","[4.64,7.59]","[7.98,14.01]"
"IND-JLMIV+R-2020","8.22","5.56","1.98","23.63","5.56","7.97","14.13","13.17","25.95"
"IND-JLMIV+R-2020","9.78","7.74","1.34","10.95","6.64","8.13","46.56","12.85","37.12"
"IND-JLMIV+R-2020","[7.18,9.46]","[4.74,6.51]","[1.85,2.15]","[22.43,24.89]","[4.94,6.49]","[7.15,9.08]","[10.62,22.35]","[11.84,14.84]","[22.94,31.74]"
