fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap
activemq-5.1.0(5.0.0).csv,-3,-36,1,0.0,0.2
activemq-5.2.0(5.1.0).csv,-20,-23,-25,0.0,0.0
"activemq-5.2.0(5.1.0,5.0.0).csv",-16,-39,-59,0.0,0.0
activemq-5.3.0(5.2.0).csv,-7,1,-31,0.0,0.2
"activemq-5.3.0(5.2.0,5.1.0).csv",-18,-2,2,0.0,0.2
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",-31,-19,-58,0.0,0.0
activemq-5.8.0(5.3.0).csv,-11,-29,-39,0.0,0.0
"activemq-5.8.0(5.3.0,5.2.0).csv",-47,-31,-14,0.0,0.0
"activemq-5.8.0(5.3.0,5.2.0,5.1.0).csv",-21,1,-1,0.0,0.2
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",-17,-20,0,0.0,0.2
camel-2.9.0(1.4.0).csv,-14,-10,-38,0.0,0.0
camel-2.10.0(2.9.0).csv,-58,-23,-17,0.0,0.0
"camel-2.10.0(2.9.0,1.4.0).csv",-25,-8,0,0.0,0.2
camel-2.11.0(2.10.0).csv,-58,-26,1,0.0,0.2
"camel-2.11.0(2.10.0,2.9.0).csv",-55,-60,-60,0.0,0.0
"camel-2.11.0(2.10.0,2.9.0,1.4.0).csv",-14,-17,-11,0.0,0.0
derby-10.3.1.4(10.2.1.6).csv,-39,-50,2,0.0,0.2
derby-10.5.1.1(10.3.1.4).csv,-6,-1,-6,0.0,0.2
"derby-10.5.1.1(10.3.1.4,10.2.1.6).csv",0,-1,-44,1.0,0.5
groovy-1.6.BETA1(1.5.7).csv,-31,-2,-3,0.0,0.0
groovy-1.6.BETA2(1.6.BETA1).csv,0,-12,-13,1.0,0.2
"groovy-1.6.BETA2(1.6.BETA1,1.5.7).csv",-24,-3,1,0.0,0.2
hbase-0.95.0(0.94.0).csv,-2,-4,-47,0.0,0.2
hbase-0.95.2(0.95.0).csv,-64,-36,-24,0.0,0.0
"hbase-0.95.2(0.95.0,0.94.0).csv",-32,-6,-29,0.0,0.0
hive-0.10.0(0.9.0).csv,-25,-18,-30,0.0,0.0
hive-0.12.0(0.10.0).csv,-3,-10,-56,0.0,0.0
"hive-0.12.0(0.10.0,0.9.0).csv",-5,-7,-47,0.0,0.0
jruby-1.4.0(1.1.0).csv,-1,-2,-7,0.0,0.2
jruby-1.5.0(1.4.0).csv,-2,-28,-2,0.0,0.2
"jruby-1.5.0(1.4.0,1.1.0).csv",-7,-11,-15,0.0,0.0
jruby-1.7.0.preview1(1.5.0).csv,-18,-7,-50,0.0,0.0
"jruby-1.7.0.preview1(1.5.0,1.4.0).csv",-4,-15,1,0.0,0.2
"jruby-1.7.0.preview1(1.5.0,1.4.0,1.1.0).csv",-2,1,-15,0.0,0.5
lucene-2.9.0(2.3.0).csv,-12,-8,-1,0.0,0.0
lucene-3.0.0(2.9.0).csv,0,-4,1,1.0,0.5
"lucene-3.0.0(2.9.0,2.3.0).csv",-9,1,-4,0.0,0.2
lucene-3.1.0(3.0.0).csv,0,-1,1,1.0,1.0
"lucene-3.1.0(3.0.0,2.9.0).csv",0,0,-8,1.0,0.5
"lucene-3.1.0(3.0.0,2.9.0,2.3.0).csv",0,-1,-1,1.0,0.5
wicket-1.3.0.beta2(1.3.0.beta1).csv,-4,-22,-1,0.0,0.0
wicket-1.5.3.0(1.3.0.beta2).csv,-8,-32,2,0.0,0.2
"wicket-1.5.3.0(1.3.0.beta2,1.3.0.beta1).csv",0,-14,-9,1.0,0.2
