fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap
calcite-1.1.0(1).csv,-30,-40,-11,0.0,0.0
calcite-1.2.0(1).csv,-27,-24,-10,0.0,0.0
calcite-1.2.0(2).csv,-1,-24,-17,0.0,0.2
calcite-1.3.0(1).csv,-6,-31,-8,0.0,0.0
calcite-1.3.0(2).csv,-18,-11,-15,0.0,0.0
calcite-1.3.0(3).csv,-3,-29,-34,0.0,0.0
calcite-1.4.0(1).csv,-41,-42,-20,0.0,0.0
calcite-1.4.0(2).csv,-17,-24,-5,0.0,0.0
calcite-1.4.0(3).csv,-8,-1,-14,0.0,0.2
calcite-1.4.0(4).csv,-7,0,0,0.0,0.5
calcite-1.5.0(1).csv,-41,-10,-33,0.0,0.0
calcite-1.5.0(2).csv,-24,-6,-20,0.0,0.0
calcite-1.5.0(3).csv,-9,-6,-16,0.0,0.0
calcite-1.5.0(4).csv,0,-14,-12,1.0,0.2
calcite-1.5.0(5).csv,-6,-12,-22,0.0,0.0
calcite-1.6.0(1).csv,0,-41,-27,1.0,0.2
calcite-1.6.0(2).csv,-12,-7,-35,0.0,0.0
calcite-1.6.0(3).csv,-22,-1,-16,0.0,0.2
calcite-1.6.0(4).csv,0,-28,1,1.0,0.5
calcite-1.6.0(5).csv,0,0,-16,1.0,0.5
calcite-1.6.0(6).csv,0,-22,-17,1.0,0.2
calcite-1.7.0(1).csv,-18,-1,-33,0.0,0.2
calcite-1.7.0(2).csv,-4,0,-37,0.0,0.2
calcite-1.7.0(3).csv,-38,-10,-11,0.0,0.0
calcite-1.7.0(4).csv,-4,-37,-5,0.0,0.0
calcite-1.7.0(5).csv,0,-9,-9,1.0,0.2
calcite-1.7.0(6).csv,0,-1,-15,1.0,0.5
calcite-1.7.0(7).csv,0,0,-8,1.0,0.5
calcite-1.8.0(1).csv,-36,-5,-17,0.0,0.0
calcite-1.8.0(2).csv,-33,-35,-36,0.0,0.0
calcite-1.8.0(3).csv,-39,-22,-19,0.0,0.0
calcite-1.8.0(4).csv,0,-4,0,1.0,0.5
calcite-1.8.0(5).csv,0,-5,-14,1.0,0.2
calcite-1.8.0(6).csv,0,-8,-18,1.0,0.2
calcite-1.8.0(7).csv,0,-2,-2,1.0,0.2
calcite-1.8.0(8).csv,0,-3,1,1.0,0.5
calcite-1.9.0(1).csv,0,-16,-30,1.0,0.2
calcite-1.9.0(2).csv,-2,-5,-12,0.0,0.2
calcite-1.9.0(3).csv,0,-2,-5,1.0,0.2
calcite-1.9.0(4).csv,0,-28,-10,1.0,0.2
calcite-1.9.0(5).csv,0,-15,-9,1.0,0.2
calcite-1.9.0(6).csv,0,-9,-12,1.0,0.2
calcite-1.9.0(7).csv,0,-12,-5,1.0,0.2
calcite-1.9.0(8).csv,0,-16,1,1.0,0.5
calcite-1.9.0(9).csv,0,-32,-8,1.0,0.2
calcite-1.10.0(1).csv,-22,-2,-17,0.0,0.0
calcite-1.10.0(2).csv,-43,-23,-38,0.0,0.0
calcite-1.10.0(3).csv,-10,-25,-9,0.0,0.0
calcite-1.10.0(4).csv,-32,-25,-20,0.0,0.0
calcite-1.10.0(5).csv,-10,-30,-18,0.0,0.0
calcite-1.10.0(6).csv,-1,-17,-14,0.0,0.2
calcite-1.10.0(7).csv,0,-14,-7,1.0,0.2
calcite-1.10.0(8).csv,0,-7,-1,1.0,0.2
calcite-1.10.0(9).csv,-6,1,-9,0.0,0.2
calcite-1.10.0(10).csv,0,-5,-11,1.0,0.2
calcite-1.11.0(1).csv,-5,0,-22,0.0,0.2
calcite-1.11.0(2).csv,-11,-4,-29,0.0,0.0
calcite-1.11.0(3).csv,-14,-36,-8,0.0,0.0
calcite-1.11.0(4).csv,0,-13,1,1.0,0.5
calcite-1.11.0(5).csv,-1,-27,-20,0.0,0.2
calcite-1.11.0(6).csv,-22,0,-1,0.0,0.2
calcite-1.11.0(7).csv,-2,-4,-6,0.0,0.2
calcite-1.11.0(8).csv,0,-22,-4,1.0,0.2
calcite-1.11.0(9).csv,0,-12,-12,1.0,0.2
calcite-1.11.0(10).csv,-21,-33,-14,0.0,0.0
calcite-1.11.0(11).csv,-20,-12,-3,0.0,0.0
knox-0.4.0(1).csv,-16,-24,-19,0.0,0.0
knox-0.5.0(1).csv,-40,-13,-32,0.0,0.0
knox-0.5.0(2).csv,-29,-31,-18,0.0,0.0
knox-0.6.0(1).csv,-4,-41,-5,0.0,0.0
knox-0.6.0(2).csv,-18,-11,-11,0.0,0.0
knox-0.6.0(3).csv,-26,0,-12,0.0,0.2
knox-0.7.0(1).csv,-34,-35,-14,0.0,0.0
knox-0.7.0(2).csv,-34,-4,-34,0.0,0.0
knox-0.7.0(3).csv,-39,0,-33,0.0,0.2
knox-0.7.0(4).csv,-26,-41,-32,0.0,0.0
knox-0.8.0(1).csv,-4,-26,1,0.0,0.2
knox-0.8.0(2).csv,-26,-40,-28,0.0,0.0
knox-0.8.0(3).csv,-12,-30,-35,0.0,0.0
knox-0.8.0(4).csv,-41,-3,-29,0.0,0.0
knox-0.8.0(5).csv,-1,-14,-19,0.0,0.2
kylin-2.0.0(1).csv,-3,-32,-30,0.0,0.0
kylin-2.1.0(1).csv,-2,-32,-15,0.0,0.2
kylin-2.1.0(2).csv,-41,-34,-15,0.0,0.0
kylin-2.2.0(1).csv,-11,-25,-11,0.0,0.0
kylin-2.2.0(2).csv,-8,-35,-35,0.0,0.0
kylin-2.2.0(3).csv,-2,-21,-39,0.0,0.2
mahout-0.5(1).csv,-22,-17,-14,0.0,0.0
manifoldcf-2.5(1).csv,-27,-40,1,0.0,0.2
manifoldcf-2.6(1).csv,-26,-36,0,0.0,0.2
manifoldcf-2.6(2).csv,-31,-35,-23,0.0,0.0
manifoldcf-2.7(1).csv,-27,-16,-9,0.0,0.0
manifoldcf-2.7(2).csv,-28,-31,-32,0.0,0.0
manifoldcf-2.7(3).csv,-33,-20,2,0.0,0.2
manifoldcf-2.8(1).csv,-10,-14,-3,0.0,0.0
manifoldcf-2.8(2).csv,-19,-21,-10,0.0,0.0
manifoldcf-2.8(3).csv,-18,-39,-7,0.0,0.0
manifoldcf-2.8(4).csv,-28,-9,-32,0.0,0.0
nutch-1.10(1).csv,-39,-25,-36,0.0,0.0
nutch-1.10(2).csv,-36,-30,-35,0.0,0.0
nutch-1.10(3).csv,-30,-12,-27,0.0,0.0
nutch-2.1(1).csv,-39,-8,-12,0.0,0.0
nutch-2.2(1).csv,-7,-33,-35,0.0,0.0
nutch-2.2(2).csv,-42,-19,-3,0.0,0.0
