Dataset,Indicator,shiftA,shiftB,shiftC,other,OOM
ECLIPSE-2007,Ranked1,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
Metrics-Repo-2010,Ranked1,0.05263157894736842,0.10526315789473684,0.49122807017543857,0.14035087719298245,0.21052631578947367
JIRA-HA-2019,Ranked1,0.15384615384615385,0.1282051282051282,0.3076923076923077,0.1794871794871795,0.23076923076923078
JIRA-RA-2019,Ranked1,0.0,0.047619047619047616,0.5952380952380952,0.0,0.35714285714285715
MA-SZZ-2020,Ranked1,0.05365853658536585,0.15609756097560976,0.6097560975609756,0.1024390243902439,0.07804878048780488
IND-JLMIV+R-2020,Ranked1,0.125,0.22115384615384615,0.4230769230769231,0.04807692307692308,0.18269230769230768
ECLIPSE-2007,Ranked2,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
Metrics-Repo-2010,Ranked2,0.15789473684210525,0.17543859649122806,0.17543859649122806,0.24561403508771928,0.24561403508771928
JIRA-HA-2019,Ranked2,0.05128205128205128,0.15384615384615385,0.10256410256410256,0.1794871794871795,0.5128205128205128
JIRA-RA-2019,Ranked2,0.16666666666666666,0.38095238095238093,0.07142857142857142,0.21428571428571427,0.16666666666666666
MA-SZZ-2020,Ranked2,0.12682926829268293,0.5219512195121951,0.12195121951219512,0.0975609756097561,0.13170731707317074
IND-JLMIV+R-2020,Ranked2,0.09615384615384616,0.3269230769230769,0.18269230769230768,0.20192307692307693,0.19230769230769232
ECLIPSE-2007,Ranked3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
Metrics-Repo-2010,Ranked3,0.10526315789473684,0.3508771929824561,0.0,0.17543859649122806,0.3684210526315789
JIRA-HA-2019,Ranked3,0.15384615384615385,0.15384615384615385,0.1282051282051282,0.28205128205128205,0.28205128205128205
JIRA-RA-2019,Ranked3,0.3333333333333333,0.09523809523809523,0.11904761904761904,0.30952380952380953,0.14285714285714285
MA-SZZ-2020,Ranked3,0.40487804878048783,0.06341463414634146,0.05853658536585366,0.3170731707317073,0.15609756097560976
IND-JLMIV+R-2020,Ranked3,0.25,0.1346153846153846,0.15384615384615385,0.3076923076923077,0.15384615384615385
ECLIPSE-2007,Top1_overlap,0.3333333333333333,0.6666666666666666,,,
Metrics-Repo-2010,Top1_overlap,0.5087719298245614,0.49122807017543857,,,
JIRA-HA-2019,Top1_overlap,0.6923076923076923,0.3076923076923077,,,
JIRA-RA-2019,Top1_overlap,0.40476190476190477,0.5952380952380952,,,
MA-SZZ-2020,Top1_overlap,0.3902439024390244,0.6097560975609756,,,
IND-JLMIV+R-2020,Top1_overlap,0.5769230769230769,0.4230769230769231,,,
ECLIPSE-2007,Top3_overlap,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,
Metrics-Repo-2010,Top3_overlap,0.47368421052631576,0.3508771929824561,0.0,0.17543859649122806,
JIRA-HA-2019,Top3_overlap,0.5641025641025641,0.3076923076923077,0.0,0.1282051282051282,
JIRA-RA-2019,Top3_overlap,0.35714285714285715,0.38095238095238093,0.0,0.2619047619047619,
MA-SZZ-2020,Top3_overlap,0.22439024390243903,0.4195121951219512,0.0,0.35609756097560974,
IND-JLMIV+R-2020,Top3_overlap,0.27884615384615385,0.5096153846153846,0.0,0.21153846153846154,
