Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.2,0.575,0.0,0.225
JIRA-HA-2019,Ranked1,0.15625,0.21875,0.5,0.125,0.0
JIRA-RA-2019,Ranked1,0.15625,0.21875,0.53125,0.09375,0.0
MA-SZZ-2020,Ranked1,0.375,0.0,0.20833333333333334,0.20833333333333334,0.20833333333333334
Metrics-Repo-2010,Ranked2,0.1,0.8,0.1,0.0,0.0
JIRA-HA-2019,Ranked2,0.0,0.5,0.21875,0.28125,0.0
JIRA-RA-2019,Ranked2,0.375,0.125,0.0,0.21875,0.28125
MA-SZZ-2020,Ranked2,0.20833333333333334,0.0,0.0,0.4166666666666667,0.375
Metrics-Repo-2010,Ranked3,0.8,0.0,0.0,0.1,0.1
JIRA-HA-2019,Ranked3,0.5,0.15625,0.0,0.21875,0.125
JIRA-RA-2019,Ranked3,0.125,0.28125,0.0,0.5,0.09375
MA-SZZ-2020,Ranked3,0.4166666666666667,0.0,0.0,0.20833333333333334,0.375
