Dataset,Indicator,shiftA,shiftB,shiftC,other,OOM
ECLIPSE-2007,Ranked1,0.0,0.0,1.0,0.0,0.0
Metrics-Repo-2010,Ranked1,0.03508771929824561,0.17543859649122806,0.5263157894736842,0.07017543859649122,0.19298245614035087
JIRA-HA-2019,Ranked1,0.05128205128205128,0.1282051282051282,0.358974358974359,0.02564102564102564,0.4358974358974359
JIRA-RA-2019,Ranked1,0.11904761904761904,0.16666666666666666,0.42857142857142855,0.0,0.2857142857142857
MA-SZZ-2020,Ranked1,0.06829268292682927,0.15121951219512195,0.3853658536585366,0.11707317073170732,0.2780487804878049
IND-JLMIV+R-2020,Ranked1,0.09615384615384616,0.10576923076923077,0.46153846153846156,0.08653846153846154,0.25
ECLIPSE-2007,Ranked2,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
Metrics-Repo-2010,Ranked2,0.05263157894736842,0.2631578947368421,0.10526315789473684,0.10526315789473684,0.47368421052631576
JIRA-HA-2019,Ranked2,0.07692307692307693,0.1794871794871795,0.20512820512820512,0.1282051282051282,0.41025641025641024
JIRA-RA-2019,Ranked2,0.09523809523809523,0.2619047619047619,0.16666666666666666,0.23809523809523808,0.23809523809523808
MA-SZZ-2020,Ranked2,0.12195121951219512,0.25853658536585367,0.13658536585365855,0.2048780487804878,0.2780487804878049
IND-JLMIV+R-2020,Ranked2,0.11538461538461539,0.25961538461538464,0.10576923076923077,0.16346153846153846,0.3557692307692308
ECLIPSE-2007,Ranked3,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
Metrics-Repo-2010,Ranked3,0.24561403508771928,0.03508771929824561,0.03508771929824561,0.17543859649122806,0.5087719298245614
JIRA-HA-2019,Ranked3,0.1794871794871795,0.07692307692307693,0.05128205128205128,0.1794871794871795,0.5128205128205128
JIRA-RA-2019,Ranked3,0.2619047619047619,0.09523809523809523,0.023809523809523808,0.23809523809523808,0.38095238095238093
MA-SZZ-2020,Ranked3,0.23902439024390243,0.1024390243902439,0.07317073170731707,0.25365853658536586,0.33170731707317075
IND-JLMIV+R-2020,Ranked3,0.14423076923076922,0.1346153846153846,0.11538461538461539,0.25961538461538464,0.34615384615384615
ECLIPSE-2007,Top1_overlap,0.0,1.0,,,
Metrics-Repo-2010,Top1_overlap,0.47368421052631576,0.5263157894736842,,,
JIRA-HA-2019,Top1_overlap,0.6410256410256411,0.358974358974359,,,
JIRA-RA-2019,Top1_overlap,0.5714285714285714,0.42857142857142855,,,
MA-SZZ-2020,Top1_overlap,0.6146341463414634,0.3853658536585366,,,
IND-JLMIV+R-2020,Top1_overlap,0.5384615384615384,0.46153846153846156,,,
ECLIPSE-2007,Top3_overlap,0.0,1.0,0.0,0.0,
Metrics-Repo-2010,Top3_overlap,0.49122807017543857,0.45614035087719296,0.0,0.05263157894736842,
JIRA-HA-2019,Top3_overlap,0.6153846153846154,0.28205128205128205,0.0,0.10256410256410256,
JIRA-RA-2019,Top3_overlap,0.5,0.23809523809523808,0.0,0.2619047619047619,
MA-SZZ-2020,Top3_overlap,0.4975609756097561,0.3804878048780488,0.0,0.12195121951219512,
IND-JLMIV+R-2020,Top3_overlap,0.47115384615384615,0.4230769230769231,0.0,0.10576923076923077,
