Dataset,Indicator,shiftA,shiftB,shiftC,other,OOM
ECLIPSE-2007,Ranked1,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
Metrics-Repo-2010,Ranked1,0.10526315789473684,0.12280701754385964,0.2982456140350877,0.2631578947368421,0.21052631578947367
JIRA-HA-2019,Ranked1,0.05128205128205128,0.2564102564102564,0.2564102564102564,0.358974358974359,0.07692307692307693
JIRA-RA-2019,Ranked1,0.09523809523809523,0.11904761904761904,0.30952380952380953,0.16666666666666666,0.30952380952380953
MA-SZZ-2020,Ranked1,0.09268292682926829,0.17560975609756097,0.3853658536585366,0.25365853658536586,0.09268292682926829
IND-JLMIV+R-2020,Ranked1,0.08653846153846154,0.3076923076923077,0.3942307692307692,0.07692307692307693,0.1346153846153846
ECLIPSE-2007,Ranked2,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0
Metrics-Repo-2010,Ranked2,0.20754716981132076,0.07547169811320754,0.16981132075471697,0.37735849056603776,0.16981132075471697
JIRA-HA-2019,Ranked2,0.07692307692307693,0.2564102564102564,0.10256410256410256,0.48717948717948717,0.07692307692307693
JIRA-RA-2019,Ranked2,0.023809523809523808,0.11904761904761904,0.11904761904761904,0.5,0.23809523809523808
MA-SZZ-2020,Ranked2,0.2182741116751269,0.2233502538071066,0.15736040609137056,0.3248730964467005,0.07614213197969544
IND-JLMIV+R-2020,Ranked2,0.18269230769230768,0.22115384615384615,0.22115384615384615,0.17307692307692307,0.20192307692307693
ECLIPSE-2007,Ranked3,0.0,0.0,0.0,1.0,0.0
Metrics-Repo-2010,Ranked3,0.09615384615384616,0.19230769230769232,0.09615384615384616,0.3269230769230769,0.28846153846153844
JIRA-HA-2019,Ranked3,0.18421052631578946,0.13157894736842105,0.07894736842105263,0.4473684210526316,0.15789473684210525
JIRA-RA-2019,Ranked3,0.14285714285714285,0.16666666666666666,0.07142857142857142,0.35714285714285715,0.2619047619047619
MA-SZZ-2020,Ranked3,0.16494845360824742,0.11855670103092783,0.09278350515463918,0.5051546391752577,0.11855670103092783
IND-JLMIV+R-2020,Ranked3,0.1650485436893204,0.08737864077669903,0.08737864077669903,0.4563106796116505,0.20388349514563106
ECLIPSE-2007,Top1_overlap,0.6666666666666666,0.3333333333333333,,,
Metrics-Repo-2010,Top1_overlap,0.7017543859649122,0.2982456140350877,,,
JIRA-HA-2019,Top1_overlap,0.7435897435897436,0.2564102564102564,,,
JIRA-RA-2019,Top1_overlap,0.6904761904761905,0.30952380952380953,,,
MA-SZZ-2020,Top1_overlap,0.6146341463414634,0.3853658536585366,,,
IND-JLMIV+R-2020,Top1_overlap,0.6057692307692307,0.3942307692307692,,,
ECLIPSE-2007,Top3_overlap,0.6666666666666666,0.3333333333333333,0.0,0.0,
Metrics-Repo-2010,Top3_overlap,0.543859649122807,0.3508771929824561,0.017543859649122806,0.08771929824561403,
JIRA-HA-2019,Top3_overlap,0.5641025641025641,0.3076923076923077,0.0,0.1282051282051282,
JIRA-RA-2019,Top3_overlap,0.6666666666666666,0.2619047619047619,0.0,0.07142857142857142,
MA-SZZ-2020,Top3_overlap,0.44878048780487806,0.35121951219512193,0.0,0.2,
IND-JLMIV+R-2020,Top3_overlap,0.3557692307692308,0.49038461538461536,0.0,0.15384615384615385,
