Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.0,0.475,0.0,0.525
JIRA-HA-2019,Ranked1,0.0,0.09375,0.6875,0.0,0.21875
JIRA-RA-2019,Ranked1,0.0,0.0,1.0,0.0,0.0
MA-SZZ-2020,Ranked1,0.0,0.0,1.0,0.0,0.0
Metrics-Repo-2010,Ranked2,0.0,0.325,0.45,0.0,0.225
JIRA-HA-2019,Ranked2,0.1875,0.625,0.1875,0.0,0.0
JIRA-RA-2019,Ranked2,0.40625,0.59375,0.0,0.0,0.0
MA-SZZ-2020,Ranked2,0.20833333333333334,0.5833333333333334,0.0,0.0,0.20833333333333334
Metrics-Repo-2010,Ranked3,0.325,0.4,0.075,0.0,0.2
JIRA-HA-2019,Ranked3,0.71875,0.1875,0.0,0.09375,0.0
JIRA-RA-2019,Ranked3,0.5,0.40625,0.0,0.09375,0.0
MA-SZZ-2020,Ranked3,0.375,0.20833333333333334,0.0,0.20833333333333334,0.20833333333333334
