fileName,Ranked1,Ranked2,Ranked3
activemq-5.1.0(5.0.0).csv,0,-15,0
activemq-5.2.0(5.1.0).csv,0,0,-4
"activemq-5.2.0(5.1.0,5.0.0).csv",0,-25,0
activemq-5.3.0(5.2.0).csv,0,-58,-20
"activemq-5.3.0(5.2.0,5.1.0).csv",-1,-6,-20
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",0,-6,1
activemq-5.8.0(5.3.0).csv,-2,-17,1
"activemq-5.8.0(5.3.0,5.2.0).csv",0,0,-2
"activemq-5.8.0(5.3.0,5.2.0,5.1.0).csv",-2,-2,2
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",-2,1,-2
camel-2.9.0(1.4.0).csv,0,0,0
camel-2.10.0(2.9.0).csv,-1,-1,-1
"camel-2.10.0(2.9.0,1.4.0).csv",0,0,-30
camel-2.11.0(2.10.0).csv,0,-4,-7
"camel-2.11.0(2.10.0,2.9.0).csv",0,-1,1
"camel-2.11.0(2.10.0,2.9.0,1.4.0).csv",0,0,0
derby-10.3.1.4(10.2.1.6).csv,0,-3,-1
derby-10.5.1.1(10.3.1.4).csv,0,-4,-5
"derby-10.5.1.1(10.3.1.4,10.2.1.6).csv",0,0,0
groovy-1.6.BETA1(1.5.7).csv,-10,-33,-14
groovy-1.6.BETA2(1.6.BETA1).csv,0,0,-9
"groovy-1.6.BETA2(1.6.BETA1,1.5.7).csv",0,-6,-2
hbase-0.95.0(0.94.0).csv,0,0,0
hbase-0.95.2(0.95.0).csv,0,0,0
"hbase-0.95.2(0.95.0,0.94.0).csv",0,-1,1
hive-0.10.0(0.9.0).csv,-4,-6,-39
hive-0.12.0(0.10.0).csv,0,-4,1
"hive-0.12.0(0.10.0,0.9.0).csv",0,0,0
jruby-1.4.0(1.1.0).csv,0,-1,-2
jruby-1.5.0(1.4.0).csv,-1,1,-25
"jruby-1.5.0(1.4.0,1.1.0).csv",0,-1,-2
jruby-1.7.0.preview1(1.5.0).csv,0,-1,-1
"jruby-1.7.0.preview1(1.5.0,1.4.0).csv",0,0,0
"jruby-1.7.0.preview1(1.5.0,1.4.0,1.1.0).csv",0,-2,1
lucene-2.9.0(2.3.0).csv,0,0,0
lucene-3.0.0(2.9.0).csv,0,0,-4
"lucene-3.0.0(2.9.0,2.3.0).csv",-3,-1,2
lucene-3.1.0(3.0.0).csv,0,0,0
"lucene-3.1.0(3.0.0,2.9.0).csv",0,0,0
"lucene-3.1.0(3.0.0,2.9.0,2.3.0).csv",0,0,-1
wicket-1.3.0.beta2(1.3.0.beta1).csv,0,-3,1
wicket-1.5.3.0(1.3.0.beta2).csv,-2,-18,-3
"wicket-1.5.3.0(1.3.0.beta2,1.3.0.beta1).csv",0,-3,-34
