fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap,IL/Ins
zeppelin-0.7.0(0.6.2).csv,-38,-2,-27,0.0,0.0,0.07482993197278912
"zeppelin-0.7.0(0.6.2,0.6.1).csv",-5,1,0,0.0,0.5,0.07325383304940375
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0).csv",-2,0,2,0.0,1.0,0.0730593607305936
zeppelin-0.6.1(0.6.0).csv,0,0,-31,1.0,0.5,0.0726643598615917
"zeppelin-0.6.2(0.6.1,0.6.0).csv",-1,-1,-30,0.0,0.5,0.07216494845360824
zeppelin-0.6.2(0.6.1).csv,-7,-41,-34,0.0,0.0,0.07167235494880546
flume-1.5.2(1.5.1).csv,-24,-1,1,0.0,0.5,0.07142857142857142
flume-1.5.1(1.5.0).csv,-12,1,-23,0.0,0.2,0.07142857142857142
"flume-1.6.0(1.5.2,1.5.1).csv",-4,-4,-26,0.0,0.0,0.07142857142857142
"flume-1.6.0(1.5.2,1.5.1,1.5.0).csv",-35,-24,-21,0.0,0.0,0.07142857142857142
flume-1.6.0(1.5.2).csv,-19,1,-26,0.0,0.2,0.07142857142857142
"flume-1.5.2(1.5.1,1.5.0).csv",-10,1,-27,0.0,0.2,0.07142857142857142
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0).csv",-24,-10,-41,0.0,0.0,0.0686427457098284
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6).csv",-1,1,-3,0.0,0.5,0.06860902255639098
"flume-1.5.2(1.5.1,1.5.0,1.4.0).csv",-4,-20,-16,0.0,0.0,0.06769016050244243
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6,0.5.5).csv",-7,-7,-7,0.0,0.0,0.06655844155844155
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6).csv",-5,1,-13,0.0,0.2,0.06623376623376623
"flume-1.5.1(1.5.0,1.4.0).csv",-36,-3,-35,0.0,0.0,0.06574761399787911
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1).csv",-5,0,-40,0.0,0.2,0.06538796861377506
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6,0.5.5,0.5.0).csv",-17,-5,-41,0.0,0.0,0.06465833945628215
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0).csv",0,-1,-4,1.0,0.5,0.06459143968871596
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6,0.5.5).csv",-41,-22,-40,0.0,0.0,0.06396588486140725
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1).csv",-26,0,-26,0.0,0.2,0.06374722838137473
"zeppelin-0.6.1(0.6.0,0.5.6).csv",-11,-7,-8,0.0,0.0,0.06289308176100629
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",-20,-5,-7,0.0,0.0,0.06268768768768769
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0,0.5.6).csv",-2,0,-10,0.0,0.5,0.062457569585879155
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1).csv",-9,0,-2,0.0,0.2,0.06224899598393574
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1,0.6.0).csv",0,-5,-6,1.0,0.2,0.061946902654867256
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6,0.5.5,0.5.0).csv",-37,-40,-18,0.0,0.0,0.061855670103092786
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5).csv",-1,-4,2,0.0,0.5,0.061547836684948204
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2,0.6.1,0.6.0).csv",-7,-1,-1,0.0,0.2,0.06125356125356125
"flume-1.5.1(1.5.0,1.4.0,1.3.1).csv",-5,-6,0,0.0,0.2,0.060882800608828
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",-9,0,-4,0.0,0.2,0.06071757129714812
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6).csv",-6,0,-3,0.0,0.2,0.0605416887944769
"zeppelin-0.6.1(0.6.0,0.5.6,0.5.5).csv",-3,1,-39,0.0,0.2,0.06046511627906977
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5,0.5.0).csv",-4,-12,-16,0.0,0.0,0.060451977401129946
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6).csv",-16,1,-9,0.0,0.2,0.06015693112467306
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5).csv",-8,-1,2,0.0,0.5,0.05997074597757192
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1).csv",-1,-41,-8,0.0,0.2,0.059743954480796585
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5).csv",-38,-16,-2,0.0,0.0,0.05970755483346873
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",0,-3,-1,1.0,0.2,0.05960490463215259
flume-1.5.0(1.4.0).csv,-29,-6,-24,0.0,0.0,0.059602649006622516
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2,0.6.1).csv",0,-5,-10,1.0,0.2,0.05943863511282334
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5,0.5.0).csv",-39,-41,-2,0.0,0.0,0.05917431192660551
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2,0.6.1,0.6.0,0.5.6,0.5.5,0.5.0).csv",0,-27,-4,1.0,0.2,0.05905055962948669
zeppelin-0.7.3(0.7.2).csv,-31,-35,-25,0.0,0.0,0.058394160583941604
"zeppelin-0.7.1(0.7.0,0.6.2).csv",-39,-24,-11,0.0,0.0,0.05832147937411095
"zeppelin-0.6.1(0.6.0,0.5.6,0.5.5,0.5.0).csv",-42,0,2,0.0,0.5,0.05813953488372093
"flume-1.5.1(1.5.0,1.4.0,1.3.1,1.3.0).csv",0,-8,-1,1.0,0.2,0.05760095011876484
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",-1,-29,-3,0.0,0.2,0.05723630417007359
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0,0.6.2).csv",-2,-5,2,0.0,0.5,0.05708661417322835
"zeppelin-0.7.2(0.7.1,0.7.0,0.6.2).csv",0,-1,1,1.0,1.0,0.05660377358490566
"zeppelin-0.7.3(0.7.2,0.7.1).csv",-13,-1,-28,0.0,0.2,0.05602923264311815
"flume-1.5.0(1.4.0,1.3.1).csv",-2,-17,1,0.0,0.5,0.05461165048543689
"flume-1.5.1(1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",-13,-5,-28,0.0,0.0,0.05368098159509203
zeppelin-0.7.2(0.7.1).csv,-36,-40,-21,0.0,0.0,0.05365853658536585
zeppelin-0.5.6(0.5.5).csv,-23,-32,-26,0.0,0.0,0.05357142857142857
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0).csv",-2,1,-2,0.0,0.5,0.053462940461725394
"zeppelin-0.7.3(0.7.2,0.7.1,0.7.0).csv",0,0,-16,1.0,0.5,0.052845528455284556
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0,1.4.0,1.3.1).csv",-2,-5,-1,0.0,0.2,0.0528169014084507
"flume-1.7.0(1.6.0,1.5.2,1.5.1,1.5.0).csv",0,-12,-1,1.0,0.2,0.052083333333333336
