Dataset,c,20%SLOC,10%,20%,30%
Metrics-Repo-2010,0.575,0.35,0.525,0.65,0.675
JIRA-HA-2019,0.15625,0.5625,0.78125,0.78125,0.6875
JIRA-RA-2019,0.59375,0.75,0.875,0.8125,0.78125
MA-SZZ-2020,0.1875,0.10416666666666667,0.375,0.4375,0.6041666666666666
Metrics-Repo-2010,0.6,0.575,0.675,0.725,0.725
JIRA-HA-2019,0.65625,0.78125,0.78125,0.875,0.9375
JIRA-RA-2019,0.53125,0.625,0.84375,0.65625,0.6875
MA-SZZ-2020,0.4791666666666667,0.3125,0.375,0.5208333333333334,0.5833333333333334
Metrics-Repo-2010,0.95,0.8,0.775,0.9,0.95
JIRA-HA-2019,0.3125,0.59375,0.59375,0.8125,0.84375
JIRA-RA-2019,0.3125,0.5625,0.6875,0.75,0.71875
MA-SZZ-2020,0.625,0.4791666666666667,0.5,0.7083333333333334,0.7291666666666666
Metrics-Repo-2010,0.625,0.55,0.525,0.675,0.625
JIRA-HA-2019,0.75,0.84375,0.84375,0.8125,0.78125
JIRA-RA-2019,0.875,0.84375,0.90625,0.875,0.625
MA-SZZ-2020,0.6041666666666666,0.3541666666666667,0.625,0.6458333333333334,0.4791666666666667
Metrics-Repo-2010,0.725,0.425,0.725,0.725,0.75
JIRA-HA-2019,0.84375,0.8125,0.90625,0.84375,0.84375
JIRA-RA-2019,0.8125,0.875,0.875,0.90625,0.78125
MA-SZZ-2020,0.6875,0.5208333333333334,0.6458333333333334,0.7291666666666666,0.7708333333333334
Metrics-Repo-2010,0.875,0.75,0.725,0.825,0.9
JIRA-HA-2019,0.9375,0.9375,0.9375,0.84375,0.8125
JIRA-RA-2019,0.8125,0.9375,0.9375,0.875,0.84375
MA-SZZ-2020,0.7291666666666666,0.7916666666666666,0.9375,0.7916666666666666,0.7708333333333334
Metrics-Repo-2010,0.175,0.1,0.075,0.175,0.25
JIRA-HA-2019,0.09375,0.5,0.03125,0.0,0.0
JIRA-RA-2019,0.09375,0.65625,0.1875,0.03125,0.03125
MA-SZZ-2020,0.125,0.16666666666666666,0.125,0.08333333333333333,0.0625
Metrics-Repo-2010,0.3,0.225,0.25,0.325,0.3
JIRA-HA-2019,0.65625,0.625,0.65625,0.625,0.625
JIRA-RA-2019,0.65625,0.21875,0.375,0.5,0.46875
MA-SZZ-2020,0.375,0.2916666666666667,0.3541666666666667,0.375,0.3958333333333333
Metrics-Repo-2010,0.8,0.575,0.65,0.75,0.725
JIRA-HA-2019,0.34375,0.53125,0.5,0.5,0.4375
JIRA-RA-2019,0.375,0.1875,0.15625,0.1875,0.28125
MA-SZZ-2020,0.5,0.5625,0.6666666666666666,0.7291666666666666,0.6041666666666666
Metrics-Repo-2010,0.175,0.125,0.225,0.225,0.3
JIRA-HA-2019,0.28125,0.71875,0.25,0.0625,0.125
JIRA-RA-2019,0.5,0.78125,0.375,0.1875,0.09375
MA-SZZ-2020,0.25,0.125,0.08333333333333333,0.14583333333333334,0.22916666666666666
Metrics-Repo-2010,0.35,0.1,0.25,0.35,0.3
JIRA-HA-2019,0.65625,0.34375,0.5,0.5,0.5625
JIRA-RA-2019,0.75,0.5,0.53125,0.5,0.40625
MA-SZZ-2020,0.3125,0.1875,0.5,0.3333333333333333,0.2916666666666667
Metrics-Repo-2010,0.425,0.275,0.275,0.425,0.45
JIRA-HA-2019,0.6875,0.46875,0.46875,0.59375,0.59375
JIRA-RA-2019,0.59375,0.78125,0.71875,0.625,0.625
MA-SZZ-2020,0.6041666666666666,0.6041666666666666,0.6666666666666666,0.75,0.625
Metrics-Repo-2010,0.475,0.225,0.25,0.5,0.5
JIRA-HA-2019,0.125,0.1875,0.375,0.5,0.40625
JIRA-RA-2019,0.28125,0.28125,0.4375,0.40625,0.40625
MA-SZZ-2020,0.0625,0.16666666666666666,0.1875,0.2916666666666667,0.14583333333333334
Metrics-Repo-2010,0.35,0.15,0.2,0.3,0.325
JIRA-HA-2019,0.40625,0.625,0.71875,0.71875,0.75
JIRA-RA-2019,0.34375,0.375,0.5,0.53125,0.40625
MA-SZZ-2020,0.2708333333333333,0.2916666666666667,0.2916666666666667,0.375,0.375
Metrics-Repo-2010,0.725,0.425,0.55,0.725,0.725
JIRA-HA-2019,0.25,0.46875,0.5,0.5625,0.5
JIRA-RA-2019,0.0,0.15625,0.25,0.28125,0.25
MA-SZZ-2020,0.625,0.3541666666666667,0.3125,0.4166666666666667,0.3958333333333333
Metrics-Repo-2010,0.575,0.175,0.225,0.55,0.55
JIRA-HA-2019,0.59375,0.59375,0.65625,0.625,0.65625
JIRA-RA-2019,0.71875,0.5625,0.71875,0.59375,0.53125
MA-SZZ-2020,0.2916666666666667,0.3333333333333333,0.2916666666666667,0.4375,0.375
Metrics-Repo-2010,0.5,0.225,0.25,0.35,0.475
JIRA-HA-2019,0.625,0.34375,0.59375,0.625,0.59375
JIRA-RA-2019,0.625,0.4375,0.75,0.71875,0.5625
MA-SZZ-2020,0.6666666666666666,0.25,0.3333333333333333,0.5,0.4583333333333333
Metrics-Repo-2010,0.45,0.125,0.225,0.225,0.4
JIRA-HA-2019,0.5625,0.5,0.625,0.59375,0.5625
JIRA-RA-2019,0.625,0.59375,0.53125,0.625,0.5625
MA-SZZ-2020,0.75,0.7708333333333334,0.7291666666666666,0.7291666666666666,0.6666666666666666
