name,original_length,intersection_length,percent
ant-ivy-1.4.1.csv,240,240,1
ant-ivy-2.0.0.csv,352,352,1
ant-ivy-2.1.0.csv,357,357,1
ant-ivy-2.2.0.csv,363,363,1
ant-ivy-2.3.0.csv,451,451,1
ant-ivy-2.4.0.csv,474,474,1
archiva-1.0.csv,429,429,1
archiva-1.1.csv,449,449,1
archiva-1.2.csv,433,433,1
archiva-1.3.csv,434,434,1
archiva-2.0.0.csv,420,420,1
archiva-2.1.0.csv,419,419,1
archiva-2.2.0.csv,418,418,1
calcite-1.0.0.csv,1075,1075,1
calcite-1.1.0.csv,1103,1103,1
calcite-1.10.0.csv,1310,1310,1
calcite-1.11.0.csv,1331,1331,1
calcite-1.12.0.csv,1415,1415,1
calcite-1.13.0.csv,1275,1275,1
calcite-1.14.0.csv,1308,1308,1
calcite-1.15.0.csv,1352,1352,1
calcite-1.2.0.csv,1108,1108,1
calcite-1.3.0.csv,1115,1115,1
calcite-1.4.0.csv,1127,1127,1
calcite-1.5.0.csv,1176,1176,1
calcite-1.6.0.csv,1193,1193,1
calcite-1.7.0.csv,1252,1252,1
calcite-1.8.0.csv,1301,1301,1
calcite-1.9.0.csv,1310,1310,1
cayenne-3.0.0.csv,1708,1708,1
cayenne-3.1.0.csv,1578,1578,1
commons-bcel-5.0.csv,325,325,1
commons-bcel-5.1.csv,334,334,1
commons-bcel-5.2.csv,335,335,1
commons-bcel-6.0.csv,376,376,1
commons-bcel-6.1.csv,378,378,1
commons-bcel-6.2.csv,378,378,1
commons-beanutils-1.0.csv,3,3,1
commons-beanutils-1.1.csv,4,4,1
commons-beanutils-1.2.csv,5,5,1
commons-beanutils-1.3.csv,29,29,1
commons-beanutils-1.4.csv,43,43,1
commons-beanutils-1.5.csv,62,62,1
commons-beanutils-1.6.csv,64,64,1
commons-beanutils-1.7.0.csv,87,87,1
commons-beanutils-1.8.0.csv,101,101,1
commons-beanutils-1.9.0.csv,104,104,1
