relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity
src\java\org\apache\commons\io\CopyUtils.java,1.18181818181818,2,2.49186387113525,4.1614208690778,9,0.385694607919935,13,7.27272727272727,1,1,10,1,11,11,11,0,11,22,83,44,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
src\java\org\apache\commons\io\DirectoryWalker.java,1.8,7,4.26121624901955,4.80401297561899,11,1.64113781667882,27,5.73333333333333,2,2,0,15,15,15,15,15,0,38,109,75,0,2,0,10,0,10,15,0,0,0,3,4,0,0.0,0.0,0,0,0,4,1,1,10,0,10,0,0.0
src\java\org\apache\commons\io\EndianUtils.java,1.06451612903226,2,4.10649284321487,4.2871914145617005,29,0.245670100189158,33,6.387096774193551,0,0,30,1,31,31,31,1,30,52,200,105,0,0,0,0,0,0,31,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0.005
src\java\org\apache\commons\io\FileCleaner.java,1.7142857142857095,3,4.79002114062891,4.16890303254843,3,0.699854212223765,12,5.571428571428571,4,4,7,0,7,7,7,1,6,13,79,55,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,3,3,3,6,0,6,0,0.0
src\java\org\apache\commons\io\FileDeleteStrategy.java,1.6,3,3.604023645937701,3.18366707792091,3,0.8,8,4.8,3,3,0,5,5,5,5,2,3,5,38,25,0,1,0,1,0,1,5,0,0,0,1,1,0,0.0,0.0,0,0,0,1,3,2,0,0,0,0,0.0
src\java\org\apache\commons\io\FileSystemUtils.java,4.0,8,4.32563581513303,5.8259935021417,4,2.86356421265527,40,17.9,9,9,2,8,10,10,10,0,10,18,220,141,0,1,0,3,0,3,10,0,0,0,3,3,0,0.0,0.0,0,0,0,2,2,2,13,0,13,5,0.022727272727272728
src\java\org\apache\commons\io\FileUtils.java,2.92982456140351,9,4.949870816269071,6.321219716628339,22,2.13459104200072,167,11.280701754386001,4,4,55,2,57,57,57,6,51,111,649,436,0,0,0,0,0,0,57,0,0,0,0,0,0,0.0,0.0,0,0,0,9,1,1,75,0,75,7,0.01078582434514638
src\java\org\apache\commons\io\FilenameUtils.java,3.80555555555556,21,4.10420026620423,5.74536393646441,16,4.80057545418859,137,12.694444444444402,5,5,35,1,36,36,36,4,32,52,471,339,0,0,0,0,0,0,36,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,7,0,7,2,0.004246284501061571
src\java\org\apache\commons\io\HexDump.java,3.5,9,3.46857662968787,4.3681759548417,1,3.20156211871642,14,15.0,5,5,3,1,4,4,4,2,2,6,75,54,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,3,2,0,0,0,1,0.013333333333333334
src\java\org\apache\commons\io\IOCase.java,1.6363636363636398,4,4.04538876066874,4.42537579295892,8,1.06794001131552,18,4.5454545454545485,6,6,1,10,11,11,11,2,9,13,58,41,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,1,4,2,0,0,0,1,0.017241379310344827
