relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity
core\src\main\java\org\apache\mahout\Version.java,1.0,1,2.66353275480426,3.97017552146435,4,0.0,4,2.75,0,0,3,1,4,4,4,1,3,1,13,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
integration\src\main\java\org\apache\mahout\benchmark\VectorBenchmarks.java,8.5,37,5.53024902925587,6.271727189366291,3,8.71779788708135,136,42.125,17,17,1,15,16,16,16,5,11,28,693,682,0,0,0,0,0,0,16,0,0,0,0,0,0,0.0,0.0,0,0,0,18,9,6,133,0,133,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\common\FixedSizePriorityQueue.java,1.0,3,3.42204236083514,4.3615999841589,7,0.8660254037844392,8,4.0,4,4,0,8,8,8,8,1,7,5,38,30,0,1,0,4,0,4,8,0,0,0,2,2,0,0.0,0.0,0,0,0,0,3,2,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\common\MinK.java,1.0,1,2.9794705707972504,3.19584681511172,4,0.0,4,3.0,4,0,0,4,4,10,4,2,2,4,16,9,1,0,1,2,2,0,2,6,2,1,0,0,1,0.19444444444444395,0.2,0,0,0,0,0,0,4,4,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\common\NoSuchItemException.java,1.0,1,2.0,2.24643934467102,3,0.0,3,2.3333333333333304,0,0,0,3,3,7,3,0,3,2,8,6,2,0,2,0,0,0,3,4,0,2,0,0,1,0.166666666666667,0.0,0,0,0,0,0,0,2,2,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\common\NoSuchUserException.java,1.0,1,2.0,2.24643934467102,3,0.0,3,2.3333333333333304,0,0,0,3,3,7,3,0,3,2,8,6,2,0,2,0,0,0,3,4,0,2,0,0,1,0.166666666666667,0.0,0,0,0,0,0,0,2,2,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\common\Refreshable.java,0.0,0,1.92192809488736,2.0,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\common\TasteException.java,1.0,1,2.40666631674069,2.25,4,0.0,4,2.5,0,0,0,4,4,4,4,0,4,4,12,8,1,1,1,0,0,0,4,0,0,1,2,2,1,0.133333333333333,0.0,0,0,0,0,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\common\TopK.java,1.0,1,2.9794705707972504,3.19584681511172,4,0.0,4,3.0,4,0,0,4,4,10,4,2,2,4,15,9,1,0,1,2,2,0,2,6,2,1,0,0,1,0.19444444444444395,0.2,0,0,0,0,0,0,4,4,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\common\Weighting.java,1.0,1,2.0,0.0,2,0.0,2,0.0,2,2,0,2,2,2,2,0,2,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,1,2,1,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\eval\DataModelBuilder.java,0.0,0,2.58496250072116,2.3219280948873595,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,2,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\eval\IRStatistics.java,0.0,0,3.1699250014423104,3.0,7,0.0,0,1.0,0,0,0,7,7,7,7,0,7,1,9,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\eval\RecommenderBuilder.java,0.0,0,2.58496250072116,2.3219280948873595,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\eval\RecommenderEvaluator.java,0.0,0,3.23592635062903,4.0,5,0.0,0,1.8,0,0,0,5,5,5,5,0,5,7,14,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\eval\RecommenderIRStatsEvaluator.java,0.0,0,2.3219280948873595,3.80735492205761,1,0.0,0,7.0,0,0,0,1,1,1,1,0,1,7,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,6,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\eval\RelevantItemsDataSplitter.java,0.0,0,2.25162916738782,3.7216117239699,2,0.0,0,4.5,0,0,0,2,2,2,2,0,2,9,11,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,4,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\hadoop\EntityCountWritable.java,1.08333333333333,2,4.18852262209335,4.18833970469061,11,0.276385399196283,13,3.5833333333333304,2,1,0,12,12,18,12,0,12,8,51,32,1,0,1,5,5,0,7,6,5,1,0,0,1,0.430681818181818,0.277777777777778,1,1,0,1,0,0,20,15,5,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\hadoop\EntityEntityWritable.java,1.3076923076923102,3,4.39872628993145,4.362859946819641,10,0.6056929133855239,17,3.61538461538462,2,2,1,12,13,13,13,1,12,10,58,36,0,0,0,0,0,0,13,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,10,0,10,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\hadoop\EntityPrefWritable.java,1.08333333333333,2,4.18852262209335,4.21611748246838,11,0.276385399196283,13,3.5833333333333304,2,1,0,12,12,18,12,0,12,8,51,32,1,0,1,5,5,0,7,6,5,1,0,0,1,0.430681818181818,0.277777777777778,1,1,0,1,0,0,17,15,2,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\hadoop\EntityPrefWritableArrayWritable.java,1.0,1,2.8453509366224403,2.8993974703477,4,0.0,4,3.0,0,0,0,4,4,4,4,0,4,1,15,9,1,0,1,0,0,0,4,0,0,1,0,0,1,0.133333333333333,0.0,0,0,0,1,0,0,0,0,0,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\hadoop\RecommendedItemsWritable.java,1.57142857142857,3,3.83140184539217,4.85817193947184,4,0.7284313590846841,11,6.428571428571429,1,1,0,7,7,7,7,0,7,4,51,39,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,3,1,1,8,0,8,0,0.0
core\src\main\java\org\apache\mahout\cf\taste\hadoop\TasteHadoopUtils.java,1.25,2,3.83659166810898,4.87111536516927,3,0.43301270189221897,5,5.25,1,1,3,1,4,4,4,1,3,4,24,14,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,6,1,1,12,0,12,1,0.04166666666666666
