relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity
src\plugin\language-identifier\src\java\org\apache\nutch\analysis\lang\HTMLLanguageParser.java,4.0,8,5.96728168336807,5.48141254205972,2,2.32992949004287,28,14.0,11,11,1,6,7,7,7,3,4,10,210,154,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,10,8,7,10,0,10,0,0.0
src\plugin\language-identifier\src\java\org\apache\nutch\analysis\lang\LanguageIndexingFilter.java,1.16666666666667,2,4.14895590415999,4.63814769620483,5,0.37267799624996506,7,3.8333333333333295,2,2,0,6,6,6,6,0,6,5,30,19,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,7,2,2,6,0,6,0,0.0
src\java\org\apache\nutch\api\ConfManager.java,0.0,0,3.33523774531212,3.22824746702,6,0.0,0,1.0,0,0,0,6,6,6,6,0,6,7,8,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0.0
src\java\org\apache\nutch\api\JobManager.java,0.0,0,4.22806205286034,3.31952129837964,5,0.0,0,1.0,0,0,0,5,5,5,5,0,5,9,10,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0.0
src\java\org\apache\nutch\api\NutchServer.java,1.7692307692307698,5,5.214754526399799,6.52368676873641,8,1.24985206225169,23,10.2307692307692,17,17,4,9,13,13,13,3,10,6,153,119,1,0,1,0,0,0,13,0,0,1,0,0,1,0.154761904761905,0.0,0,0,0,13,12,4,11,0,11,0,0.0
src\java\org\apache\nutch\api\impl\JobFactory.java,1.6666666666666698,2,4.4329096175675,4.04620900083549,1,0.471404520791032,5,6.33333333333333,1,1,0,3,3,3,3,1,2,7,33,22,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,9,1,1,0,0,0,0,0.0
src\java\org\apache\nutch\api\impl\JobWorker.java,1.85714285714286,3,4.32484872960213,5.05890112750056,2,0.6388765649999399,13,8.142857142857139,4,4,0,7,7,7,7,1,6,7,63,42,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,6,4,4,42,0,42,0,0.0
src\java\org\apache\nutch\api\impl\NutchServerPoolExecutor.java,1.6,3,4.66727776130852,5.2228081896437315,6,0.8,16,6.2,2,2,0,10,10,10,10,4,6,13,69,47,1,0,1,0,0,0,10,0,0,1,0,0,1,0.15151515151515196,0.0,0,0,0,2,2,1,5,0,5,1,0.014492753623188406
src\java\org\apache\nutch\api\impl\RAMConfManager.java,2.1111111111111103,3,4.14174624281055,5.1864291660006385,3,0.8748897637790899,19,7.1111111111111125,2,2,0,9,9,9,9,2,7,9,69,49,0,0,0,0,0,0,9,0,0,0,0,0,0,0.0,0.0,0,0,0,3,2,2,11,0,11,0,0.0
src\java\org\apache\nutch\api\impl\RAMJobManager.java,1.625,3,4.54246943193525,5.2345279744407005,4,0.695970545353753,13,6.125,3,3,0,8,8,8,8,2,6,15,59,38,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,8,2,2,31,0,31,0,0.0
src\java\org\apache\nutch\api\impl\db\DbIterator.java,3.0,5,4.29417732066744,5.0929888972075,1,1.4142135623731005,15,11.6,7,7,0,5,5,5,5,2,3,7,66,48,1,0,1,0,0,0,5,0,0,1,0,0,1,0.138888888888889,0.0,0,0,0,5,6,6,10,0,10,0,0.0
src\java\org\apache\nutch\api\impl\db\DbPageConverter.java,5.0,13,3.71419244709324,5.61198693508381,0,4.04969134626332,25,16.6,0,0,5,0,5,5,5,4,1,8,85,63,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,5,0,0,21,0,21,0,0.0
src\java\org\apache\nutch\api\impl\db\DbReader.java,3.0,4,3.86769031604866,5.25270304119955,0,0.707106781186548,12,11.5,1,1,0,4,4,4,4,2,2,7,49,34,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,6,1,1,19,0,19,0,0.0
