relName,AvgWMC,CCMax,CDE,CIE,NTM,SDMC,WMC,AvgSLOC,NA,NAIMP,NCM,NIM,NLM,NM,NMIMP,NMNpub,Nmpub,NumPara,loc,stms,AID,CLD,DIT,DP,DPA,DPD,NMA,NMI,NMO,NOA,NOC,NOD,NOP,PII,SIX,SP,SPA,SPD,CBO,DAC,DACquote,ICP,IHICP,NIHICP,bug,bugDensity
giraph-core/src/main/java/com/yammer/metrics/core/NoOpCounter.java,1.0,1,3.53408762011463,3.6818808028034002,8,0.0,8,1.25,1,1,0,8,8,8,8,1,7,5,20,11,0,0,0,0,0,0,8,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
giraph-core/src/main/java/com/yammer/metrics/core/NoOpExecutorService.java,1.0,1,4.24915008254223,4.486595314029451,17,0.0,17,3.7058823529411806,0,0,0,17,17,17,17,0,17,29,82,33,0,0,0,0,0,0,17,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
giraph-core/src/main/java/com/yammer/metrics/core/NoOpGuage.java,1.0,1,2.29989639116789,1.5849625007211599,2,0.0,2,1.0,1,1,0,2,2,2,2,0,2,0,6,5,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,1,1,0,0,0,0,0.0
giraph-core/src/main/java/com/yammer/metrics/core/NoOpHistogram.java,1.0,1,3.9705843997621,4.35655833541667,12,0.0,12,1.16666666666667,1,1,0,12,12,12,12,1,11,5,28,22,1,0,1,0,0,0,12,0,0,1,0,0,1,0.153846153846154,0.0,0,0,0,0,1,1,0,0,0,0,0.0
giraph-core/src/main/java/com/yammer/metrics/core/NoOpMeter.java,1.0,1,3.6741128784834998,4.44063635267327,11,0.0,11,1.45454545454545,1,1,0,11,11,11,11,1,10,4,29,19,1,0,1,0,0,0,11,0,0,1,0,0,1,0.152777777777778,0.0,0,0,0,1,1,1,0,0,0,0,0.0
giraph-core/src/main/java/com/yammer/metrics/core/NoOpTimer.java,1.0,1,4.35528211601364,4.90911277113331,18,0.0,18,1.22222222222222,1,1,0,18,18,18,18,1,17,6,42,34,1,0,1,0,0,0,18,0,0,1,0,0,1,0.157894736842105,0.0,0,0,0,1,1,1,0,0,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/Algorithm.java,0.0,0,1.92192809488736,1.5,2,0.0,0,1.0,0,0,0,2,2,2,2,0,2,0,4,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/GiraphRunner.java,2.4,5,4.22640976555739,4.8885463761105905,3,1.74355957741627,12,8.2,2,2,1,4,5,5,5,1,4,5,51,31,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,3,2,2,12,0,12,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/Aggregator.java,0.0,0,2.8352377453121202,2.5503407095463904,5,0.0,0,1.0,0,0,0,5,5,5,5,0,5,2,7,6,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/AggregatorUsage.java,0.0,0,2.52164063634332,2.25162916738782,1,0.0,0,1.0,0,0,0,1,1,1,1,0,1,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/AggregatorWrapper.java,1.0,1,3.8718956694089597,4.33554601331695,11,0.0,11,3.7272727272727297,4,4,0,11,11,11,11,0,11,5,47,33,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1,1,0,0,0,1,0.02127659574468085
giraph-core/src/main/java/org/apache/giraph/aggregators/AggregatorWriter.java,0.0,0,3.4182958340544904,3.5898980954642896,3,0.0,0,1.6666666666666698,1,1,0,3,3,3,3,0,3,4,9,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/BasicAggregator.java,1.0,1,2.88954943086209,2.41379956460568,4,0.0,4,3.0,1,1,0,4,4,4,4,0,4,1,19,10,0,1,0,0,0,0,4,0,0,0,24,24,0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/BooleanAndAggregator.java,1.0,1,2.6464393446710197,2.6887218755408697,2,0.0,2,3.0,1,0,0,2,2,6,2,0,2,1,10,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/BooleanOrAggregator.java,1.0,1,2.6464393446710197,2.6887218755408697,2,0.0,2,3.0,1,0,0,2,2,6,2,0,2,1,10,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/BooleanOverwriteAggregator.java,1.0,1,2.6464393446710197,2.6464393446710197,2,0.0,2,3.0,1,0,0,2,2,6,2,0,2,1,11,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,1,1,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/DoubleMaxAggregator.java,1.0,1,2.6464393446710197,3.3278195311147796,2,0.0,2,3.5,1,0,0,2,2,6,2,0,2,1,11,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/DoubleMinAggregator.java,1.0,1,2.6464393446710197,3.3278195311147796,2,0.0,2,3.5,1,0,0,2,2,6,2,0,2,1,11,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/DoubleOverwriteAggregator.java,1.0,1,2.6464393446710197,2.6464393446710197,2,0.0,2,3.0,1,0,0,2,2,6,2,0,2,1,11,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,1,1,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/DoubleProductAggregator.java,1.0,1,2.6464393446710197,2.6887218755408697,2,0.0,2,3.0,1,0,0,2,2,6,2,0,2,1,10,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/DoubleSumAggregator.java,1.0,1,2.6464393446710197,2.6887218755408697,2,0.0,2,3.0,1,0,0,2,2,6,2,0,2,1,10,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/FloatMaxAggregator.java,1.0,1,2.6464393446710197,3.3278195311147796,2,0.0,2,3.5,1,0,0,2,2,6,2,0,2,1,11,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/FloatMinAggregator.java,1.0,1,2.6464393446710197,3.3278195311147796,2,0.0,2,3.5,1,0,0,2,2,6,2,0,2,1,11,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/FloatOverwriteAggregator.java,1.0,1,2.6464393446710197,2.6464393446710197,2,0.0,2,3.0,1,0,0,2,2,6,2,0,2,1,10,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,1,1,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/FloatProductAggregator.java,1.0,1,2.6464393446710197,2.6887218755408697,2,0.0,2,3.0,1,0,0,2,2,6,2,0,2,1,10,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
giraph-core/src/main/java/org/apache/giraph/aggregators/FloatSumAggregator.java,1.0,1,2.6464393446710197,2.6887218755408697,2,0.0,2,3.0,1,0,0,2,2,6,2,0,2,1,10,5,1,0,1,0,0,0,2,4,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,2,2,0,0,0.0
