"name_id","AvgWMC","CCMax","CDE","CIE","NTM","SDMC","WMC","AvgSLOC","NA.","NAIMP","NCM","NIM","NLM","NM","NMIMP","NMNpub","Nmpub","NumPara","loc","stms","AID","CLD","DIT","DP","DPA","DPD","NMA","NMI","NMO","NOA","NOC","NOD","NOP","PII","SIX","SP","SPA","SPD","CBO","DAC","DACquote","ICP","IHICP","NIHICP","bug"
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\CheckpointRebuilder.java",7.5,19,4.9912457155005,6.6012166780489,1,6.87386354243376,30,39.25,7,7,1,3,4,4,4,1,3,5,207,139,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,15,7,5,73,0,73,1
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\Commit.java",1,1,4.1653115322251,4.82471616243735,9,0,9,4.66666666666667,7,1,0,9,9,17,9,0,9,9,51,34,1,0,1,5,5,0,4,8,5,1,0,0,1,0.261538461538462,0.294117647058824,0,0,0,3,0,0,16,9,7,1
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\EventQueueBackingStore.java",0.5,1,4.94577248225106,4.79838331350296,18,0.5,9,2.05555555555556,6,6,0,18,18,18,18,3,15,10,45,35,0,2,0,9,0,9,18,0,0,0,1,3,0,0,0,2,0,2,0,1,1,0,0,0,0
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\EventQueueBackingStoreFactory.java",3.25,10,3.29614837474762,4.71369278319945,3,3.89711431702997,13,18.25,1,1,3,1,4,4,4,2,2,11,77,41,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4,1,1,40,0,40,1
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\EventQueueBackingStoreFile.java",2.35714285714286,8,5.53607663801321,6.37416009210316,6,2.09104016690064,33,13.8571428571429,20,14,2,12,14,26,14,7,7,15,219,152,1,1,1,8,6,2,8,12,6,1,2,2,1,0.259259259259259,0.230769230769231,3,2,1,4,7,6,34,18,16,1
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\EventQueueBackingStoreFileV2.java",1.83333333333333,4,4.43063240949075,5.3608480177761,4,1.21335164821342,11,9.16666666666667,24,4,0,6,6,29,6,5,1,7,64,51,2,0,2,4,4,0,3,23,3,2,0,0,1,0.205128205128205,0.206896551724138,0,0,0,2,0,0,19,14,5,1
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\EventQueueBackingStoreFileV3.java",3.4,6,4.18346518960165,5.98392613589431,2,2.0591260281974,17,29.6,22,2,1,4,5,30,5,2,3,11,155,101,2,0,2,1,1,0,4,25,1,2,0,0,1,0.190598290598291,0.0666666666666667,1,1,0,8,2,2,82,21,61,1
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\FileChannel.java",3.55555555555556,16,6.15274973650418,6.59559271472641,4,4.54877544232416,32,25,26,22,0,9,9,17,9,1,8,3,457,278,2,0,2,5,5,0,4,8,5,2,0,0,1,0.372649572649573,0.588235294117647,1,1,0,13,12,9,121,8,113,1
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\FileChannelConfiguration.java",0,0,3.96823496463239,0,0,0,0,0,20,20,0,0,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,1
"flume-ng-channels\flume-file-channel\src\main\java\org\apache\flume\channel\file\FlumeEvent.java",1.54545454545455,3,4.05964026195864,4.81724383457132,7,0.782029569731148,17,5.90909090909091,2,2,1,10,11,11,11,3,8,9,74,52,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1
