@relation wicket-1.5.3.0.arff

@attribute CountDeclMethodPrivate numeric
@attribute AvgLineCode numeric
@attribute CountLine numeric
@attribute MaxCyclomatic numeric
@attribute CountDeclMethodDefault numeric
@attribute AvgEssential numeric
@attribute CountDeclClassVariable numeric
@attribute SumCyclomaticStrict numeric
@attribute AvgCyclomatic numeric
@attribute AvgLine numeric
@attribute CountDeclClassMethod numeric
@attribute AvgLineComment numeric
@attribute AvgCyclomaticModified numeric
@attribute CountDeclFunction numeric
@attribute CountLineComment numeric
@attribute CountDeclClass numeric
@attribute CountDeclMethod numeric
@attribute SumCyclomaticModified numeric
@attribute CountLineCodeDecl numeric
@attribute CountDeclMethodProtected numeric
@attribute CountDeclInstanceVariable numeric
@attribute MaxCyclomaticStrict numeric
@attribute CountDeclMethodPublic numeric
@attribute CountLineCodeExe numeric
@attribute SumCyclomatic numeric
@attribute SumEssential numeric
@attribute CountStmtDecl numeric
@attribute loc numeric
@attribute CountStmtExe numeric
@attribute RatioCommentToCode numeric
@attribute CountLineBlank numeric
@attribute CountStmt numeric
@attribute MaxCyclomaticModified numeric
@attribute CountSemicolon numeric
@attribute AvgLineBlank numeric
@attribute CountDeclInstanceMethod numeric
@attribute AvgCyclomaticStrict numeric
@attribute PercentLackOfCohesion numeric
@attribute MaxInheritanceTree numeric
@attribute CountClassDerived numeric
@attribute CountClassCoupled numeric
@attribute CountClassBase numeric
@attribute CountInput_Max numeric
@attribute CountInput_Mean numeric
@attribute CountInput_Min numeric
@attribute CountOutput_Max numeric
@attribute CountOutput_Mean numeric
@attribute CountOutput_Min numeric
@attribute CountPath_Max numeric
@attribute CountPath_Mean numeric
@attribute CountPath_Min numeric
@attribute MaxNesting_Max numeric
@attribute MaxNesting_Mean numeric
@attribute MaxNesting_Min numeric
@attribute COMM numeric
@attribute ADEV numeric
@attribute DDEV numeric
@attribute Added_lines numeric
@attribute Del_lines numeric
@attribute OWN_LINE numeric
@attribute OWN_COMMIT numeric
@attribute MINOR_COMMIT numeric
@attribute MINOR_LINE numeric
@attribute MAJOR_COMMIT numeric
@attribute MAJOR_LINE numeric
@attribute bug {TRUE,FALSE}

@data
0,9,49,1,0,1,0,1,1,19,1,7,1,1,26,1,1,1,11,0,0,1,1,6,1,1,10,17,1,1.53,6,11,1,9,3,0,1,0,1,0,2,1,0,0.0,0,4,4.0,4,1,1.0,1,1,0.25,0,1,1,1,0,3,0.755102040816326,1.0,0,4,1,2,FALSE
0,7,45,1,0,1,0,1,1,15,1,5,1,1,24,1,1,1,10,0,0,1,1,4,1,1,10,15,1,1.6,6,11,1,9,3,0,1,0,1,0,2,1,0,0.0,0,4,4.0,4,1,1.0,1,0,0.0,0,0,0,0,0,0,0.8222222222222221,0.0,0,3,0,1,FALSE
0,12,51,2,0,1,0,2,2,20,1,5,2,1,24,1,1,2,11,0,0,2,1,7,2,1,12,21,5,1.14,6,17,2,14,3,0,2,0,1,0,3,1,1,1.0,1,4,4.0,4,2,2.0,2,1,1.0,1,0,0,0,0,0,0.7647058823529409,0.0,0,3,0,1,FALSE
0,7,53,1,0,1,0,1,1,22,1,9,1,1,28,1,1,1,10,0,0,1,1,4,1,1,10,15,1,1.87,10,11,1,9,6,0,1,0,1,0,2,1,0,0.0,0,4,4.0,4,1,1.0,1,0,0.0,0,0,0,0,0,0,0.8490566037735849,0.0,0,3,0,1,FALSE
0,5,180,4,0,1,1,20,1,8,0,3,1,14,67,1,14,17,26,0,5,7,14,27,17,17,24,89,20,0.75,24,44,4,26,0,14,1,79,1,0,0,2,7,3.14285714285714,0,6,1.5,1,4,1.21428571428571,1,2,0.294117647058824,0,0,0,0,0,0,0.7277777777777779,0.0,0,2,0,1,FALSE
0,3,77,1,0,1,1,5,1,7,0,3,1,5,41,1,5,5,11,1,0,1,4,5,5,5,11,27,4,1.52,9,15,1,9,0,5,1,100,1,0,5,2,2,1.0,0,4,2.2,0,1,1.0,1,0,0.0,0,0,0,0,0,0,0.6493506493506489,0.0,0,3,0,1,FALSE
4,5,116,2,0,1,2,9,1,8,1,2,1,8,40,1,8,9,22,0,2,2,4,30,9,8,17,61,12,0.66,15,29,2,19,0,7,1,87,1,0,1,1,4,2.5,0,8,2.75,1,2,1.125,1,1,0.3,0,0,0,0,0,0,0.646551724137931,0.0,0,2,0,1,FALSE
1,9,198,6,0,1,0,21,2,12,0,2,2,13,56,5,13,21,24,2,5,6,10,56,21,16,29,119,39,0.47,23,68,6,48,0,13,2,55,1,0,2,2,8,3.61538461538462,1,7,3.07692307692308,1,4,1.46153846153846,1,1,0.315789473684211,0,0,0,0,0,0,0.666666666666667,0.0,0,2,0,2,FALSE
0,4,34,1,0,1,0,1,1,7,1,3,1,1,25,1,1,1,3,0,0,1,1,1,1,1,3,8,1,3.12,1,4,1,2,0,0,1,0,1,0,2,1,2,2.0,2,3,3.0,3,1,1.0,1,0,0.0,0,0,0,0,0,0,0.852941176470588,0.0,0,2,0,1,FALSE
0,7,111,4,0,2,1,11,2,11,0,3,2,6,42,1,6,11,17,2,1,4,4,19,11,9,14,58,17,0.72,11,31,4,19,0,6,2,58,2,0,3,1,2,1.33333333333333,1,4,2.3333333333333304,1,4,1.8333333333333304,1,1,0.625,0,0,0,0,0,0,0.5495495495495499,0.0,0,3,0,0,FALSE
