@relation tika-1.9.arff

@attribute AvgWMC numeric
@attribute CCMax numeric
@attribute CDE numeric
@attribute CIE numeric
@attribute NTM numeric
@attribute SDMC numeric
@attribute WMC numeric
@attribute AvgSLOC numeric
@attribute NA numeric
@attribute NAIMP numeric
@attribute NCM numeric
@attribute NIM numeric
@attribute NLM numeric
@attribute NM numeric
@attribute NMIMP numeric
@attribute NMNpub numeric
@attribute Nmpub numeric
@attribute NumPara numeric
@attribute loc numeric
@attribute stms numeric
@attribute AID numeric
@attribute CLD numeric
@attribute DIT numeric
@attribute DP numeric
@attribute DPA numeric
@attribute DPD numeric
@attribute NMA numeric
@attribute NMI numeric
@attribute NMO numeric
@attribute NOA numeric
@attribute NOC numeric
@attribute NOD numeric
@attribute NOP numeric
@attribute PII numeric
@attribute SIX numeric
@attribute SP numeric
@attribute SPA numeric
@attribute SPD numeric
@attribute CBO numeric
@attribute DAC numeric
@attribute DACquote numeric
@attribute ICP numeric
@attribute IHICP numeric
@attribute NIHICP numeric
@attribute bug {TRUE,FALSE}

@data
1.57142857142857,2,3.6324524457395,4.1082921712933205,3,0.494871659305394,11,5.857142857142861,1,1,2,5,7,7,7,2,5,11,44,24,0,0,0,0,0,0,7,0,0,0,0,0,0,0.0,0.0,0,0,0,2,1,1,11,0,11,FALSE
1.46875,4,4.69153476188213,5.48734356717563,21,0.7493486755176121,47,6.53125,4,4,0,32,32,32,32,0,32,52,215,134,0,0,0,0,0,0,32,0,0,0,0,0,0,0.0,0.0,0,0,0,16,0,0,76,0,76,FALSE
1.0,1,2.8073549220576,2.25162916738782,1,0.0,1,3.0,0,0,0,1,1,1,1,0,1,1,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0,0,0,3,0,0,2,0,2,FALSE
1.0,1,2.40563906222957,2.25,2,0.0,2,3.0,0,0,0,2,2,2,2,0,2,2,8,5,1,0,1,0,0,0,2,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,0,0,0,0,0,0,FALSE
4.3125,21,6.28022572094056,6.73022427890974,5,5.16864041600884,69,20.375,13,13,0,16,16,16,16,10,6,28,404,281,0,0,0,0,0,0,16,0,0,0,0,0,0,0.0,0.0,0,0,0,19,7,7,53,0,53,FALSE
2.81818181818182,11,6.00754004031082,5.692125477666099,6,2.9792672014861696,31,14.8181818181818,21,21,1,10,11,11,11,5,6,11,270,193,0,0,0,0,0,0,11,0,0,0,0,0,0,0.0,0.0,0,0,0,4,11,7,8,0,8,TRUE
1.0,1,3.17512313511346,3.3219280948873595,6,0.0,6,2.6666666666666696,2,2,0,6,6,6,6,0,6,2,20,13,0,1,0,4,0,4,6,0,0,0,2,2,0,0.0,0.0,2,0,2,0,1,1,0,0,0,FALSE
1.0,1,2.8553885422075296,2.62351664121802,3,0.0,3,3.3333333333333304,2,2,0,3,3,3,3,0,3,2,14,10,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,1,1,1,0,0,0,FALSE
0.0,0,3.4182958340544904,2.8073549220576,3,0.0,0,1.0,1,1,0,3,3,3,3,0,3,0,6,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0,0.0,0,0,0,2,1,1,0,0,0,FALSE
2.6666666666666696,7,5.7728576935678495,6.299133981254911,8,1.9436506316151,48,11.6111111111111,18,18,0,18,18,18,18,9,9,27,241,161,0,2,0,0,0,0,18,0,0,0,1,3,0,0.0,0.0,2,0,2,9,13,7,8,0,8,FALSE
