@relation zeppelin-0.7.0.arff

@attribute AvgWMC numeric
@attribute CCMax numeric
@attribute CDE numeric
@attribute CIE numeric
@attribute NTM numeric
@attribute SDMC numeric
@attribute WMC numeric
@attribute AvgSLOC numeric
@attribute NA. numeric
@attribute NAIMP numeric
@attribute NCM numeric
@attribute NIM numeric
@attribute NLM numeric
@attribute NM numeric
@attribute NMIMP numeric
@attribute NMNpub numeric
@attribute Nmpub numeric
@attribute NumPara numeric
@attribute loc numeric
@attribute stms numeric
@attribute AID numeric
@attribute CLD numeric
@attribute DIT numeric
@attribute DP numeric
@attribute DPA numeric
@attribute DPD numeric
@attribute NMA numeric
@attribute NMI numeric
@attribute NMO numeric
@attribute NOA numeric
@attribute NOC numeric
@attribute NOD numeric
@attribute NOP numeric
@attribute PII numeric
@attribute SIX numeric
@attribute SP numeric
@attribute SPA numeric
@attribute SPD numeric
@attribute CBO numeric
@attribute DAC numeric
@attribute DACquote numeric
@attribute ICP numeric
@attribute IHICP numeric
@attribute NIHICP numeric
@attribute bug {TRUE,FALSE}

@data
1.9166666666666696,5,4.78727315961866,5.54504186304698,7,1.32024829314624,23,13.0,15,9,0,12,12,39,12,4,8,14,180,120,1,0,1,6,6,0,6,27,6,1,0,0,1,0.259018759018759,0.153846153846154,1,1,0,5,7,4,5,2,3,FALSE
1.07142857142857,2,4.38326923538912,6.380769362808759,26,0.257539376818856,30,11.714285714285701,4,4,0,28,28,28,28,3,25,5,358,233,0,0,0,0,0,0,28,0,0,0,0,0,0,0.0,0.0,0,0,0,4,3,3,155,0,155,FALSE
1.0,1,4.1956756628093,4.92603742902008,9,0.0,9,2.77777777777778,6,0,0,9,9,34,9,0,9,7,35,16,1,0,1,8,8,0,1,25,8,1,0,0,1,0.24747474747474696,0.235294117647059,0,0,0,7,0,0,10,2,8,FALSE
1.375,3,4.36447537371113,5.381864910988178,6,0.695970545353753,11,4.375,7,1,0,8,8,35,8,0,8,8,45,27,1,0,1,6,6,0,2,27,6,1,0,0,1,0.22727272727272704,0.17142857142857096,1,1,0,5,1,1,9,2,7,FALSE
11.0,11,6.2078198205647315,9.51254076801741,2,0.0,12,82.5,2,2,1,2,3,3,3,0,3,6,93,73,1,0,1,0,0,0,3,0,0,1,0,0,1,0.111111111111111,0.0,0,0,0,1,2,2,3,0,3,FALSE
1.0,1,3.5898980954642896,4.4990031377395,5,0.0,5,8.6,2,2,2,3,5,5,5,0,5,0,52,40,0,0,0,0,0,0,5,0,0,0,0,0,0,0.0,0.0,0,0,0,4,2,2,20,0,20,FALSE
2.0,5,5.655909647718611,6.784502588310421,8,1.31656117720877,30,11.6,19,13,5,10,15,42,15,2,13,22,202,132,1,0,1,6,6,0,9,27,6,1,0,0,1,0.321717171717172,0.14285714285714302,2,2,0,7,10,6,14,8,6,TRUE
1.25,2,4.27835181171131,5.1147123254757405,3,0.43301270189221897,5,6.5,4,4,0,4,4,4,4,0,4,0,50,35,0,0,0,0,0,0,4,0,0,0,0,0,0,0.0,0.0,0,0,0,8,4,4,19,0,19,FALSE
1.11111111111111,2,5.0892531152118,6.03863018579125,8,0.314269680527355,10,6.33333333333333,80,74,0,9,9,34,9,0,9,7,167,103,1,0,1,8,8,0,1,25,8,1,0,0,1,0.24747474747474696,0.235294117647059,0,0,0,5,74,7,21,16,5,FALSE
1.0,1,1.92192809488736,1.5,1,0.0,1,3.0,0,0,0,1,1,1,1,0,1,1,5,3,1,0,1,0,0,0,1,0,0,1,0,0,1,0.0833333333333333,0.0,0,0,0,0,0,0,0,0,0,FALSE
