@relation lucene-2.2.arff

@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug {TRUE,FALSE}

@data
10,3,0,13,42,7,1,12,9,0.638888889,280,0.5,0,0.72,0.28571428600000004,3,4,26.6,6,1.4,TRUE
10,1,1,4,21,0,1,3,1,0.6190476189999999,477,1.0,1,0.0,0.5,0,0,45.3,2,1.0,TRUE
17,2,0,11,42,0,2,10,15,0.5625,393,0.333333333,0,0.5862068970000001,0.352941176,1,5,21.94117647,2,0.8824,TRUE
5,2,5,17,7,10,12,6,4,2.0,14,0.0,0,0.75,0.466666667,1,1,1.8,1,0.8,FALSE
14,1,6,16,19,79,15,1,11,0.7230769229999999,133,1.0,0,0.0,0.7857142859999999,0,0,8.142857142999999,3,1.0,TRUE
12,1,0,3,12,66,3,0,12,2.0,12,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,FALSE
14,1,0,2,25,3,1,1,13,0.602564103,237,0.0,0,0.0,0.404761905,0,0,15.5,1,0.9286,FALSE
14,1,0,22,29,67,9,22,12,0.897435897,199,0.333333333,12,0.0,0.403846154,0,0,12.35714286,1,0.8571,TRUE
2,1,0,2,3,1,0,2,2,2.0,7,0.0,0,0.0,0.75,0,0,2.5,1,0.5,FALSE
18,1,0,12,44,0,8,4,4,0.678733032,981,0.461538462,1,0.0,0.243055556,0,0,52.77777778,4,1.3333,TRUE
15,2,2,4,30,21,3,1,9,0.705357143,438,0.625,0,0.538461538,0.328571429,1,4,27.66666667,7,1.2667,TRUE
6,1,0,9,29,0,2,7,0,0.45,395,0.666666667,5,0.0,0.4791666670000001,0,0,62.83333333,1,0.6667,TRUE
8,2,0,3,15,0,1,2,0,0.571428571,158,1.0,0,0.5625,0.425,1,3,17.875,1,0.875,FALSE
11,1,0,18,11,55,6,12,11,2.0,11,0.0,0,0.0,0.263636364,0,0,0.0,1,1.0,TRUE
17,2,0,12,55,12,3,10,13,0.625,407,1.0,0,0.428571429,0.158823529,2,4,22.70588235,7,2.0588,TRUE
15,1,2,19,18,105,19,0,15,2.0,196,0.0,0,0.0,0.311111111,0,0,12.06666667,1,0.9333,TRUE
8,1,0,6,19,0,3,3,8,0.666666667,160,1.0,2,0.0,0.34375,0,0,18.25,3,1.125,FALSE
28,2,0,17,61,0,1,16,17,0.682539683,664,1.0,1,0.697674419,0.157738095,1,9,22.46428571,6,1.3929,TRUE
7,2,1,7,25,0,2,5,5,0.520833333,201,1.0,2,0.571428571,0.30952381,1,3,26.57142857,1,0.8571,TRUE
12,3,0,8,47,0,2,8,12,0.590909091,353,1.0,0,0.592592593,0.208333333,2,2,28.08333333,7,1.75,FALSE
17,1,0,24,39,0,22,2,17,0.5,415,0.5,0,0.0,0.426470588,0,0,23.29411765,5,2.5882,TRUE
12,1,0,3,12,66,3,0,12,2.0,12,0.0,0,0.0,0.583333333,0,0,0.0,1,1.0,TRUE
5,1,0,6,12,0,5,1,0,0.6785714290000001,95,0.0,2,0.0,0.533333333,0,0,16.6,1,0.8,FALSE
4,3,0,9,19,0,3,7,0,0.5555555560000001,326,1.0,1,0.869565217,0.34375,1,1,79.75,4,1.5,TRUE
20,1,0,18,51,164,12,6,16,0.940789474,482,0.25,0,0.0,0.261111111,0,0,22.7,8,1.5,TRUE
1,1,0,18,1,0,17,1,1,2.0,1,0.0,0,0.0,1.0,0,0,0.0,1,1.0,FALSE
6,1,0,6,39,0,1,5,5,0.6,339,1.0,1,0.0,0.333333333,0,0,54.66666667,4,1.3333,TRUE
4,2,0,4,13,0,1,4,4,0.0,52,1.0,1,0.25,0.5,0,0,11.75,1,0.75,TRUE
18,1,0,17,61,69,2,16,0,0.8067226890000001,745,1.0,4,0.0,0.237373737,0,0,40.0,5,1.3333,TRUE
64,1,1,34,151,1520,1,33,40,0.893046107,3329,0.595238095,12,0.0,0.112169312,0,0,50.359375,23,2.4844,TRUE
2,2,0,4,4,1,1,3,2,2.0,10,0.0,0,0.666666667,0.666666667,0,0,4.0,1,0.5,FALSE
8,2,4,8,12,8,4,4,8,0.5,68,1.0,1,0.4166666670000001,0.3125,2,2,7.25,5,1.375,TRUE
27,2,0,19,64,171,12,11,22,0.7692307690000001,443,1.0,0,0.333333333,0.102564103,2,6,15.22222222,12,1.5926,TRUE
5,1,0,8,6,0,8,0,0,0.125,100,0.0,0,0.0,0.55,0,0,18.2,1,0.4,FALSE
12,1,0,71,21,0,71,0,9,0.13636363599999998,138,0.0,0,0.0,0.291666667,1,1,10.33333333,6,1.3333,TRUE
8,2,0,15,22,0,10,6,6,0.14285714300000002,100,1.0,1,0.6315789470000001,0.232142857,2,2,11.375,4,1.375,TRUE
1,4,0,28,2,0,28,0,1,2.0,5,0.0,0,1.0,1.0,0,0,4.0,0,0.0,FALSE
11,2,0,9,31,23,0,9,5,0.55,410,1.0,0,0.869565217,0.313131313,1,5,36.09090909,1,0.8182,TRUE
3,2,0,5,9,3,2,3,0,2.0,47,0.0,0,0.846153846,0.5555555560000001,1,3,14.66666667,4,1.6667,FALSE
18,1,3,36,33,141,32,4,18,0.8235294120000001,177,1.0,1,0.0,0.296296296,0,0,8.777777777999999,1,0.9444,TRUE
23,1,3,40,28,247,29,14,22,0.909090909,131,1.0,1,0.0,0.273913043,0,0,4.652173913,1,0.9565,TRUE
3,4,0,5,7,3,1,5,2,2.0,38,0.0,0,0.923076923,0.5,1,1,11.66666667,4,1.6667,TRUE
6,2,0,4,17,3,1,3,4,0.2,102,1.0,0,0.571428571,0.611111111,0,0,15.83333333,2,0.6667,TRUE
11,1,0,4,25,0,1,3,6,0.52,241,1.0,1,0.0,0.242857143,0,0,20.45454545,3,1.4545,FALSE
10,2,1,2,12,17,1,1,8,0.5555555560000001,185,0.75,0,0.608695652,0.36,1,3,17.1,1,0.9,FALSE
